{'短评内容': '也很干净，设施齐全，环境也非常好，你开会的地方非常近。', '短评打分': 5}
{'短评内容': '设施陈旧！价格偏高', '短评打分': 4}
{'短评内容': '服务态度不错 房间也还行', '短评打分': 5}
{'短评内容': '酒店可能因为年数比较久了确实是有点旧。但服务是真的挺好的。', '短评打分': 4}
{'短评内容': '位于万达广场边上，交通便利，客户很满意。', '短评打分': 5}
{'短评内容': '位于万达广场边上，交通便利，客户很满意。', '短评打分': 5}
{'短评内容': '位置好，价格合理。', '短评打分': 5}
{'短评内容': '设施差点，生活工作很方便', '短评打分': 4}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': '就在万达广场旁边，交通方便，去济南西半小时左右的车程。前台小哥很热情，还给升级了房间～床上有水暖，像水床还是热热的水床', '短评打分': 5}
{'短评内容': '空调给打开了。水床给调到36了。一进屋子全身暖和。心里更暖和。太棒了。', '短评打分': 5}
{'短评内容': '很好的酒店 下次还来住 好评哦', '短评打分': 5}
{'短评内容': '不错...............', '短评打分': 5}
{'短评内容': '服务不错，设施可以，周边交通不错，退房很快', '短评打分': 5}
{'短评内容': '酒店环境份很好服务很到位菜品很实惠交通很便利建议可以来哦', '短评打分': 5}
{'短评内容': '环境不错，交通便利', '短评打分': 5}
{'短评内容': '环境整洁，位置优越，价格合理，服务也不错。', '短评打分': 3}
{'短评内容': ' 早上匆忙退房，手机充电器忘拿，服务员给送了下来，非常不错！', '短评打分': 3}
{'短评内容': '酒店靠近万达和东图；房间有顶灯，光线好，干净整洁；不提供免费的洗漱用品；早餐简单价廉。总之物有所值。', '短评打分': 5}
{'短评内容': '酒店位置不错，万达广场旁边。有餐厅口味不错，点菜套餐均有。', '短评打分': 5}
{'短评内容': '位置好，周边很繁华，交通方便，二楼餐厅口味不错。', '短评打分': 5}
{'短评内容': '鲁能信谊设施新，很干净，为女儿中考，前台很体贴的安排我们住在11楼，很安静。谢谢前台美丽的服务员。', '短评打分': 3}
{'短评内容': '位置相当好，虽然大堂很小但房间装修不错，二楼餐厅小比较幽静，菜的味道不错。', '短评打分': 5}
{'短评内容': '交通便利，旁边就是万达广场。设施，服务还算好。推荐。', '短评打分': 3}
