{'短评内容': '酒店环境不错，就是房间没有免费的水。', '短评打分': 4}
{'短评内容': '房间有两张床，东西有些旧，空间还可以挺大', '短评打分': 3}
{'短评内容': '干净整洁，有停车场，适合带孩子，酒店位置好找', '短评打分': 5}
{'短评内容': '环境优美，卫生整洁，服务态度好', '短评打分': 5}
{'短评内容': '房间虽有些老旧但是很适合出差，出行方便，停车场很大有保安看守很放心，有三部电梯挺快，旁边的火锅也挺不错，推荐入住', '短评打分': 5}
{'短评内容': '0', '短评打分': 5}
{'短评内容': '老地方推荐入住，还是性价比比较高的，前台各项服务很到位非常不错，停车场师傅很负责，赞一个，这次要连续住两天', '短评打分': 4}
{'短评内容': '在潍城性价比已经不错啦，停车场很大很放心，房间就是有些老了，没有直饮水，前台服务到位效率还挺高，经常会有会议婚宴', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '还不错 经常住', '短评打分': 4}
{'短评内容': '每次必住的酒店', '短评打分': 5}
{'短评内容': '总的不错，住了多次。但每次在个携程预订好房间，到酒店总是查不到，你入住了，酒店也不通知携程。', '短评打分': 4}
{'短评内容': '房间面积很大，也挺干净，就是有股异味。', '短评打分': 4}
{'短评内容': '环境还可以，以后出差我还住这里', '短评打分': 5}
