{'descr': '总体上不太理想', 'star': 3}
{'descr': '服务挺好，就是酒店设施老旧，隔音也不好', 'star': 4}
{'descr': '总的来说可以', 'star': 5}
{'descr': '地理环境很好，方便，房间干净卫生', 'star': 5}
{'descr': '酒店位置很棒', 'star': 5}
{'descr': '好好好好好好好，写评价很烦，但真的很好', 'star': 5}
{'descr': '还不错吧，京东的酒店和携程合作的，挺划算的。', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '挺好的，就是清洁员打扫的不是和你彻底，感觉床单略脏。另外由于地处马路边，晚上睡觉略吵', 'star': 5}
{'descr': '环境不错', 'star': 5}
{'descr': '干净，卫生，服务好', 'star': 5}
{'descr': '还不错', 'star': 4}
{'descr': '还行吧', 'star': 4}
{'descr': '干净利落整洁的还不错', 'star': 4}
{'descr': '还可以，不错！', 'star': 5}
{'descr': '隔音效果太差，早餐差。隔壁叫床够大', 'star': 3}
{'descr': '挺好的，性价比高', 'star': 4}
{'descr': '还不错，这价格很实惠', 'star': 4}
{'descr': '代订，不予评价。', 'star': 3}
{'descr': '环境很不错。。。隔音效果貌似有点不太好，能听到隔壁传来的那种声音', 'star': 5}
{'descr': '环境和设施都还可以，下次还会光临。', 'star': 3}
{'descr': '环境很不错啊，确实喜欢的。下次去再体验下音乐风情水床房', 'star': 5}
{'descr': '交通便利，环境安静。周围有餐饮超市，出行方便', 'star': 5}
{'descr': '服务挺好', 'star': 3}
{'descr': '感觉不怎么好，还没汉庭好呢！', 'star': 5}
{'descr': '交通便利，停车方便，服务一流，就是晚上10点前楼上的健身房的噪声有点大。', 'star': 5}
{'descr': '干净卫生，服务态度好，价格适中，就是旁边楼上有个健身房，音乐声较大，白天休息怕是不行了。', 'star': 5}
{'descr': '还算干净 不过房间感觉小了', 'star': 3}
{'descr': '酒店位置太靠马路，感觉还是有点吵。不过店内设施不错，也很干净，服务也不错！', 'star': 5}
{'descr': '酒店服务很好，特别是前台薛蓓，赞', 'star': 3}
{'descr': '要做最好的服务，最优的质量，最舒适的环境，最温馨的问候！', 'star': 5}
