{'短评内容': '还好吧', '短评打分': 3}
{'短评内容': '还好吧', '短评打分': 3}
{'短评内容': '很一般', '短评打分': 4}
{'短评内容': '房间跟照片差别巨大，前4张是我自己刚刚进房间后拍的，后4张是酒店官方提供的照片，大家自己感受吧。不过这地方的优点是位置好，旁边吃饭比较多。', '短评打分': 3}
{'短评内容': '价格实惠,环境清幽,吃的选择少。环境不错,设施旧了点,但是价格很实惠。早餐也不错。常来的，每次都是住在这里，晚上很安静，有度假的感觉。 服务员也很热情，下次还会入住。积挺大,设施虽然有些旧了,房间宽敞明亮很干净，设计的也挺有意思。', '短评打分': 5}
{'短评内容': '交通很方便，离一些景点较近', '短评打分': 4}
{'短评内容': '不错啊很好的', '短评打分': 5}
{'短评内容': '房间有小，热水小，大晚上外面各种音响，大早上装修，吵的睡不着。测试房low到极点  。', '短评打分': 5}
{'短评内容': '一般。 一晚上折腾的基本没睡。 没沟通好', '短评打分': 4}
{'短评内容': '老式设备，不太方便！！！！！！！！', '短评打分': 2}
{'短评内容': '挺好的挺好的挺好的挺好的挺好的挺好的', '短评打分': 5}
{'短评内容': '前台服务差。  押金必须要现金。不可以微信支付宝之类的。     3星酒店房间里没有电吹风。  隔音效果很差。      没有窗户 窗户对着走廊。 真他妈烂', '短评打分': 3}
{'短评内容': '环境还好', '短评打分': 4}
{'短评内容': '还可以。', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '服务和环境都不错，是我们的据点', '短评打分': 5}
{'短评内容': '位置不错，好陈旧的装修…', '短评打分': 3}
{'短评内容': '还可以吧，房间特别小，隔音不好，卫生一般，前台服务不好~', '短评打分': 5}
{'短评内容': '去工体看演出，这是个好住处，逛街不远三里屯世茂，吃饭出门就是沸腾鱼乡。不错。', '短评打分': 5}
{'短评内容': '离工人体育场很近,看球方便,服务热情,值得推荐', '短评打分': 5}
{'短评内容': '双人间标间比较小，其他还行.总体来说还算满意， 不过不是很推荐双人入住', '短评打分': 1}
{'短评内容': '不错，服务环境，地理位置都还是不错的，酒店还是比较好找的', '短评打分': 5}
{'短评内容': '酒店不错，地理位置优越，就在工体的东门对面。房间有点小，不过还算干净，预订价格也实惠。', '短评打分': 5}
{'短评内容': '经济型酒店，位置特别好，就在工体的旁边。', '短评打分': 3}
{'短评内容': '以后还会向朋友推荐这么高性价比的酒店，房间还算干净，支持一下！', '短评打分': 5}
{'短评内容': '非常性价比的酒店，那么好的地段，那么好的价格，非常支持哦！', '短评打分': 5}
{'短评内容': '房间设施还好 但是前台服务员态度很差 楼层的服务员也是 一看就是没有经过专业训练', '短评打分': 1}
{'短评内容': '服务员态度 太差 吹风机都没有  房间设施还好', '短评打分': 1}
{'短评内容': '还可以，到三里屯太方便了', '短评打分': 3}
{'短评内容': '酒店环境还不错，算是物有所值，距离酒吧街很近，喜欢玩的可以考虑。', '短评打分': 5}
{'短评内容': '酒店位置很好，大床房的窗户朝走廊，让人觉得不是特别有安全感。床品还干净。前台服务态度也还好。价格略高。', '短评打分': 3}
{'短评内容': '距离马路太紧，比较吵，房间相对比较小。', '短评打分': 3}
{'短评内容': '卫生间是透明的，两个人一起住就很不方便，装修之后价格是提高了，但是感觉还不如以前好。', '短评打分': 1}
{'短评内容': '不错，简约。位置也不错。', '短评打分': 3}
{'短评内容': '环境还行，地理位置好，不过就是隔音效果不好～', '短评打分': 5}
{'短评内容': '房间地板很破，高低不平，地毯很脏。床很硬。总体感觉不好。', '短评打分': 1}
{'短评内容': '感觉不错，性价比较高', '短评打分': 3}
{'短评内容': '不错，就是稍偏，不过离星光影视挺近的。适合看完节目留宿一晚。就是那边太晚后不通车，幸好打到车。。周围有不少可以吃饭的地方。', '短评打分': 5}
{'短评内容': '交通方便，价格实惠，离三里屯很近,如果是去使馆办事，这里是最方便的了。', '短评打分': 5}
{'短评内容': '酒店有的插孔接触不良，但总的环境卫生还不错', '短评打分': 3}
{'短评内容': '卫生间应设置门锁', '短评打分': 3}
{'短评内容': '工体附近 一般把 图个方便!里面设施陈旧 不是恨好，在工体附近玩的 价格不是很贵', '短评打分': 5}
{'短评内容': '房间不大床小，有点吵。晚上很晚到，一大早就离开了，服务还好。办会员卡要40元钱。', '短评打分': 1}
{'短评内容': '酒店设施不太好，也很久。不过，在工体三里屯一带的酒店都很贵，这一间算是便宜的。', '短评打分': 5}
{'短评内容': '一般，不是很干净，而且一进屋就有很大的味道。不喜欢，下次不会再来了', '短评打分': 3}
{'短评内容': '房间比较小，不过这个价位来说也不错了。总体还可以。', '短评打分': 5}
{'短评内容': '酒店还不错，比较干净，房间有些小，工人体育场对面，吃完都方便', '短评打分': 5}
{'短评内容': '地点不错，办事很方便', '短评打分': 3}
{'短评内容': '酒店的地理位置很好，离三里屯酒吧和工体特别近，但是房间味道有点怪，设施比较旧。而且虽然有宽带但是网络很不稳定。总体还能接受，但是个人不太推荐入住。', '短评打分': 1}
{'短评内容': '酒店还是挺小的，不过设施很齐，还可以吧，相对规格和施设，价格小贵，唯一唯一的好处就是真的是离工体太近了，就在东门的正对面，要来看演唱会的朋友完全可以选择在这里', '短评打分': 5}
