{'短评内容': '卫生一般', '短评打分': 3}
{'短评内容': '我住的房间味太大，半夜还挺吵的，还没热水没法洗澡，性价比太差了', '短评打分': 2}
{'短评内容': '房间宽敞，环境安静，卫生不错。保洁大姐很亲切。', '短评打分': 5}
{'短评内容': '前台服务态度非常不好，需要整顿', '短评打分': 1}
{'短评内容': '服务态度非常不好', '短评打分': 1}
{'短评内容': '没毛病。 真心挺好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '酒店价格实惠，信价比较高，不错。', '短评打分': 5}
{'短评内容': '还是可以的，推荐入住', '短评打分': 3}
{'短评内容': '还是比较不错的，值得推荐', '短评打分': 3}
{'短评内容': '还不错的宾馆，包括设施和服务', '短评打分': 3}
{'短评内容': '整体不错，空调声音过大，制冷效果不明显', '短评打分': 4}
{'短评内容': '早餐不太好', '短评打分': 3}
{'短评内容': '酒店还可以，就是京东确认的速度一般。', '短评打分': 5}
{'短评内容': '服务质量好价格也和理', '短评打分': 3}
{'短评内容': '经理很热情，服务也很人性化，让人有回家的感觉。\n房间很干净，床很大很舒适\n早餐挺好吃的~', '短评打分': 5}
{'短评内容': '新开的，我预定的时候还没有看到别人的评论，房间很大，也很干净，就是新装修的现在还会有装修材料的味道，长时间闻会头痛，不过这个价位算是很好的了，就是酒店一楼有个餐厅，我入住时正好赶上有人结婚，早上五点就有人接亲十分吵闹，望酒店在这方面能有所协调', '短评打分': 5}
{'短评内容': '离汽车站比较近，其他一般，性价比还不错。', '短评打分': 5}
