{'短评内容': '酒店环境一般，服务还可以', '短评打分': 4}
{'短评内容': '晚上噪音大', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '很好 非常好工作人员服务态度好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店设施比较差，马桶，部分灯，遥控器都是坏的！像是民房改造的！', '短评打分': 3}
{'短评内容': '据说一般，门锁好像坏了', '短评打分': 4}
{'短评内容': '好好休息吧嗒？', '短评打分': 4}
{'短评内容': '一般般，设施还算全，应急下，还行', '短评打分': 5}
{'短评内容': '房间还好，主要方便！有超市，吃的喝得！', '短评打分': 5}
{'短评内容': '经济实惠，最主要有飞机接送！旁边有小吃！', '短评打分': 5}
{'短评内容': '离市区还是挺远，价格合适，还是值得肯定', '短评打分': 4}
{'短评内容': '酒店很好，我每次都住哪里，就那天隔壁一直咳嗽到半夜我一晚上没睡好，希望隔音好点', '短评打分': 5}
{'短评内容': '整体还不错，比较满意。', '短评打分': 5}
