{'短评内容': '挺好的！', '短评打分': 5}
{'短评内容': '在人广这一圈算性价比高的酒店，设施很好，对面就是地铁，周围一圈的吃的，后面还想续订，可惜已经没有了', '短评打分': 5}
{'短评内容': ' 不错，方便，卫生好。', '短评打分': 5}
{'短评内容': '位置不错，门口就是南京西路，早餐马马虎虎，服务什么的不要有太高期望，价格还合适。', '短评打分': 4}
{'短评内容': '这个位置，这个价位很不错了，服务不能要求太高，毕竟不是专门的酒店。', '短评打分': 4}
{'短评内容': '很舒适，房间大的不要不要的，在那地段性价比太高了.', '短评打分': 5}
{'短评内容': '去看病还是挺方便的，离医院近', '短评打分': 5}
{'短评内容': '地段很好，有点闹中取静的感觉，是一个不错的地方，出行方便，以后还会订的', '短评打分': 5}
{'短评内容': '感觉比较干净，实在。', '短评打分': 4}
{'短评内容': '房间太闷，床单不干净。', '短评打分': 3}
{'短评内容': 'tve vb ', '短评打分': 5}
{'短评内容': '来开会的，选在这就是方便开会，就在南京路上，去周边商业街逛逛很方便，周边很繁华！不错！', '短评打分': 4}
{'短评内容': '来开会的，选在这就是方便开会，就在南京路上，去周边商业街逛逛很方便，周边很繁华！不错！', '短评打分': 4}
{'短评内容': '酒店位置很好，地铁站就在对面，南京路步行街、黄河路美食街近在咫尺，出行非常方便。早餐也算丰富，服务人员还提醒里间有小馄饨和面条，态度满好的。房间卫生什么的都不错。总体满意啦。', '短评打分': 5}
{'短评内容': '所处位置，打扫卫生，前台服务态度都可给好评，但是设施真的只给差评', '短评打分': 4}
{'短评内容': '除了交通方便外， 真没什么好·里面毛巾也蛮旧的。早餐很一般。', '短评打分': 1}
{'短评内容': ' 房间很大,很安静.平板电视机也很大. 宽带网速超快. 冷热水很给力,早餐也不错.有一些小缺点,浴巾太破旧了,马桶不是很干净,卫生间的卫生有待加强.体育俱乐部位置极佳,逛街,购物,交通极便利.下次再去住.', '短评打分': 3}
{'短评内容': '1）酒店所在大厦位置很好，地铁出来就可以看到。但一般人从外面经过的话，不会知道里面有酒店；2）酒店很老了，设施不是很新，住的房间浴缸的塞子也断了，没人理。', '短评打分': 1}
{'短评内容': '酒店地理位置非常优越，就在人民广场地铁出口附近，对于来上海旅游的实在是方便，隔壁就是黄河路美食街和南京路，样样都很方便。唯一不足就是房间没有窗户', '短评打分': 5}
{'短评内容': '位置不错，繁华地段，地铁很方便！环境还不错！够干净！服务员态度也都不错', '短评打分': 5}
{'短评内容': '＋地理位置一流！', '短评打分': 3}
{'短评内容': '该酒店位置很好，就在市中心，与人民广场站8号出口仅一条马路之隔，去哪都很方便。房内设施不错，客服人员态度都很好，价格也能接受，早餐也不错，唯一遗憾的就是该酒店没有高楼层，个人感觉高档层看大上海的夜景应该不错的。能在南京路上找到这么好的酒店太幸运了。以后再来上海一定还要住这家酒店。', '短评打分': 5}
{'短评内容': '房间挺干净的，液晶，网速也非常快，很安静，总体来说很赞', '短评打分': 3}
{'短评内容': '如果从门口经过，谁也不会认为里面是酒店。不过真的闹中取静，位置绝佳。早餐简单。洗澡水很大，很给力。', '短评打分': 5}
{'短评内容': '地段超好，其它一般。设施看起来很新，但觉得档次很低，设计很俗气，感觉像进了家招待所，床比较小，早餐非常普通，而且过了九点就没有了 -- 其实就是家招待所。', '短评打分': 5}
{'短评内容': '房间很大，设施先进，推荐给旅行者入住，价格适合', '短评打分': 5}
{'短评内容': '运气挺好，免费升级至景观房。总体来说酒店尚可，原来的体委招待所，在这个地段这个价格来说，还是值得的', '短评打分': 5}
{'短评内容': '上海俱乐部环境卫生俱佳。', '短评打分': 3}
{'短评内容': '客户没有说什么意见，不过方便肯定比较方便的，靠近步行街', '短评打分': 5}
{'短评内容': '地点真的太好了！超级方便，其他也可以了，设备不是太新。', '短评打分': 5}
{'短评内容': '正好是地铁8号出口的对面，坐动车到上海再转地铁到这店酒店很方便。酒店地理位置好，出入也方便。如果是想去长征医院看病的客人，这里到医院10来分钟左右。但是房间的设施一般。', '短评打分': 5}
