{'短评内容': '第一次来到桂林  酒店服务人员给我介绍了好多景点和吃的  酒店很干净  住得很舒服  下次再来  挺好的', '短评打分': 5}
{'短评内容': '老板服务态度非常好，近西街。晚上还是比较安静的。', '短评打分': 5}
{'短评内容': '老板人不错，其它都很一般一般一般', '短评打分': 4}
{'短评内容': '主要是老板很热情，，三个人住一间房，也是比较宽松的，挺好的价格也算比较合理', '短评打分': 5}
{'短评内容': '订的双床房，房间比较小，但也还是够。但是客栈位置比较隐秘，不太好找，靠近很热闹的那条酒吧街，要去的朋友最好提前咨询客栈老板。老板特别热情，态度很棒，还帮忙订景区的票。总之还比较满意。', '短评打分': 5}
{'短评内容': '酒店还是不错的，宝宝说很喜欢，特别感谢老板帮我们送机场，虽是收费的，但还是很优惠的了，感谢啊！', '短评打分': 5}
{'短评内容': '房间虽小，但是东西什么的都很齐全，几年前来这里玩的时候也是在这里住', '短评打分': 5}
{'短评内容': '老板娘不错！很热心！', '短评打分': 5}
{'短评内容': '位置有点难找，在巷子里，三个人住的房间不是很大，但是很温馨，出去就有很多吃饭的地方跟酒吧，但不会很吵', '短评打分': 5}
{'短评内容': '位置有点难找，在巷子里，三个人住的房间不是很大，但是很温馨，出去就有很多吃饭的地方跟酒吧，但不会很吵', '短评打分': 5}
{'短评内容': '房间很小、局促，显旧，卫生状况一般，自带的洗簌用品和毛巾，没有一次性的拖鞋，床品不太亲肤&amp;透气，进入客栈需要走过一条巷子，巷子晚上没有灯光，客栈旁边在建房子，白天有噪音，灰尘大。不过老板很友善！', '短评打分': 3}
{'短评内容': '客栈温馨舒适，老板热情周到！', '短评打分': 5}
{'短评内容': '老板娘真的太好了，推荐的行程和土菜馆都很给力，玩得很开心。', '短评打分': 5}
