{'短评内容': '挺好的哦', '短评打分': 5}
{'短评内容': '服务还不错~~~就是网速很慢。。。总的还是很满意的~~~', '短评打分': 5}
{'短评内容': '酒店卫生还可以，但是门口停车实在不方便而且地方小，最多只能停四五辆车。', '短评打分': 3}
{'短评内容': '酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  ', '短评打分': 5}
{'短评内容': '酒店卫生还可以，但是门口的交通实在不方便，而且很乱。', '短评打分': 5}
{'短评内容': '房间有点小，卫生还干净，酒店装潢陈旧了，周围拆迁太乱', '短评打分': 1}
{'短评内容': '酒店不错，下次还回来这里。酒店不错，下次还回来这里。酒店不错，下次还回来这里。酒店不错，下次还回来这里。', '短评打分': 5}
{'短评内容': '经济实惠，配置较全，服务不错。就是毛巾很旧，房间较小，果断换了间高级大床房，感觉好多了。值得推荐。', '短评打分': 5}
{'短评内容': '服务差点 但房间不错 还有早餐。值得选择', '短评打分': 5}
{'短评内容': '酒店设施一般，服务太差，从前台到保安，前台给人的感觉就是我应该为他服务，牛哄哄的，房门口放个电焊用的气罐，让保安挪走，保安说不影响你睡觉，大清早就开始施工，感觉就是管理混乱！下次不会再住了\n', '短评打分': 1}
{'短评内容': '性价比不错的酒店，整洁干净，晚上也很安静，房间里还配备了电吹风，很方便，自助早餐也还不错，住的很舒服。酒店服务人员也很热情。唯一的不足就是电视不是数字电视。', '短评打分': 5}
{'短评内容': '酒店有无烟房，不抽烟的有福了。', '短评打分': 3}
{'短评内容': '比不上快捷酒店，装修比较久了，显得旧了一点，A座可能好点，但比B座贵不少', '短评打分': 1}
{'短评内容': '有滴水声！！并且水温一会儿冷一会儿热！', '短评打分': 3}
{'短评内容': '不错，房间虽然小但够用，床很舒服。', '短评打分': 3}
{'短评内容': '酒店还不错，服务态度也满意。就是附近的饭店的不多。', '短评打分': 5}
{'短评内容': '酒店的隔音效果不好，有待加强，而且热水不知道为什么是黄色的，服务和入住总体还是满意的。', '短评打分': 5}
{'短评内容': '前台服务很周到很热情，以后会上来。  感觉房间很干净很舒适。', '短评打分': 5}
{'短评内容': '挺干净，隔音不好，希望以后能有改进，挺干净，隔音不好，希望以后能有改进。', '短评打分': 5}
{'短评内容': '在韩森路上，距离办事地点很近，下次还来住。虽然自助早餐马马虎虎，但服务态度很好。不足是个别房间有股烟味。', '短评打分': 5}
{'短评内容': '地段有点偏僻，环境不好。不像网上说的那样，没听说有两餐的也没吃过。', '短评打分': 1}
{'短评内容': '交通稍远了点，附近吃饭的地方不是太多，服务人员的态度挺好，', '短评打分': 5}
{'短评内容': '房间很干净, 就是隔音有点差, 其他都很好', '短评打分': 3}
{'短评内容': '房间干净、舒适，在路边也比较好找到。周围吃饭的地方少了点。', '短评打分': 5}
{'短评内容': '还好吧  一切都和汉庭没什么区别  大厅的热咖啡就像水  不过还算服务不错', '短评打分': 5}
{'短评内容': '总体还可以，就是隔音效果差，附近只有一家小饭馆。', '短评打分': 1}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '，不错的环境，良好的服务态度！值！！！', '短评打分': 3}
{'短评内容': '已顺利入住,满意', '短评打分': 3}
{'短评内容': '隔音效果的确很差很差，外面总是 叮叮咚咚 的 ， 很吵。我还住的 是 他们 最好 的 高级商务电脑 房。早餐 是 自己 需要 掏钱 的。除非 你 在 附近 办事情，否则不建议住。', '短评打分': 3}
