{'短评内容': '房间不好', '短评打分': 3}
{'短评内容': '休闲，绿色，空气很好', '短评打分': 5}
{'短评内容': '风景不错！', '短评打分': 5}
{'短评内容': '酒店位置和环境一流，适合家庭度假。但房间里的家私和设施太过时了，急需更新。早餐虽不丰富，但富有潮州特色。', '短评打分': 4}
{'短评内容': '农家早餐', '短评打分': 5}
{'短评内容': '京东酒店订房很快！', '短评打分': 5}
{'短评内容': '这是我住过的渡假村中性格比最好的，环境优美绝伦，网上订购5佰多元一晚，超值。', '短评打分': 5}
{'短评内容': '酒店房间很一般', '短评打分': 4}
{'短评内容': '设施一般，有些旧。房间重新刷新过，隔音比较差，隔壁大声说话和开关厕所拉门的声音可以听到。床睡起来不是很舒服。周边环境一流，吸氧休闲不错。早餐还不错。晚餐还不错，不会很贵。', '短评打分': 4}
{'短评内容': '非常不错了，带家人出来休息。安静，空气好！如果早餐能好一点就好了。另外4岁多一点的小女孩也需要半价购买早餐券，也是醉了。', '短评打分': 4}
{'短评内容': '酒店的东西很难吃，服务也很差', '短评打分': 4}
{'短评内容': '环境清雅，风景秀美，作为休闲度假，确实是个不错的选择！', '短评打分': 5}
{'短评内容': '有点自助酒店的感觉，带好吃食，自我享受，风景不错，心情挺放松', '短评打分': 3}
{'短评内容': '还可以吧……但配不上四星。特别是早餐，房间隔音很差', '短评打分': 3}
{'短评内容': '无容置疑，山庄环境一流，但经营者没有用心经营管理，非常可惜！', '短评打分': 3}
{'短评内容': '可以，外面环境好，舒服', '短评打分': 3}
{'短评内容': '多次入住了，环境很好。', '短评打分': 4}
{'短评内容': '酒店感觉不错.清静', '短评打分': 3}
{'短评内容': '环境不错，物有所值。', '短评打分': 3}
{'短评内容': '酒店环境卫生不错、服务态度很好，山庄里很多绿色的植物使得空气很好呼吸起来舒服。\n餐饮方面就比较普通，早餐比较简单应该增加多点特色。\n酒店的卫生间其实可以不用将厕所、洗浴及洗脸盆区分开来。应该合为一体感觉会更好。\n可能由于酒店处于山庄的原因晚上开窗不时有一些小昆虫跑进来。', '短评打分': 5}
{'短评内容': '酒店外观和周围的环境不错，我们入住的是豪单房，房间就简陋些 ，与四星级酒店的房间设施还有一定的差距 ，小阳台视线空气很好 ！', '短评打分': 3}
{'短评内容': '环境不错，酒店舒适。\n缺点是酒店的餐厅很一般，建议在景点外面用餐。', '短评打分': 5}
{'短评内容': '酒店很好,风景也不错,可惜的是餐饮方面不完善,晚上没有什么东西可以吃,比较静,很适合度假.', '短评打分': 5}
{'短评内容': '环境不错，可特色菜单一，房间里有蚂蚁！', '短评打分': 3}
{'短评内容': '服务可以。价格偏高。', '短评打分': 3}
{'短评内容': '总的还不错，有大自然的生动气息。但结帐时3张入门票（两大一小）只能抵销两张，且小孩也收大人票。价格也偏贵些。', '短评打分': 5}
