{'descr': '比较小，但是还不错，比一些小旅馆干净，离十全街很近', 'star': 5}
{'descr': '不好，房间很小，各项服务设施都不好，真是很差劲！', 'star': 1}
{'descr': '不愧是99的价格，房间非常小，就放一张床的大小，而且什么卫生洗浴用品只给一套，东西很旧，房间里连电话都没，有什么事还要跑到楼下去找人，房间打扫的也不是很干净，反正各方面都不满意，给后面选择的朋友一个建议了，住了一定要后悔的！', 'star': 1}
{'descr': '房间小而温馨，服务员服务态度很好。设施齐全', 'star': 3}
{'descr': '比较干净，位置也比较好，就是房间有点小', 'star': 3}
{'descr': '物美价廉，适合旅行居住，会推荐朋友住。唯一不足就是工作人员少，遇到一些小问题不能很快帮处理掉，但态度较好，值得说道。', 'star': 3}
{'descr': '   还不错，服务好！舒适！就是房间比较小！', 'star': 3}
{'descr': '不错，性价比很高，是个不错的选择！！！！！！！！', 'star': 5}
{'descr': '条件还可以的 ，会推荐自己和朋友继续入住。。。', 'star': 5}
{'descr': '非常好的酒店。很喜欢。便宜。温馨。就是小点', 'star': 5}
{'descr': '走廊的空气不太好，但是卧室有窗户空气不错，房子大概12平左右，布局紧凑合理，整体感觉还是很经济实惠的，最主要的是地理位置很方便，到拙政园狮子林观前街的直达公交都有', 'star': 5}
{'descr': ' 交通便利 性价比高', 'star': 3}
{'descr': '挺经济合算的', 'star': 3}
{'descr': '主要是离目的地很近，所以定了这家，蛮实惠的，走廊里味道有点重，其他都ok，介于这个价格，性价比还是比较高的。', 'star': 5}
