{'短评内容': '服务态度特别好每次过来都住这', '短评打分': 4}
{'短评内容': '总体还行吧', '短评打分': 4}
{'短评内容': '位置在车站旁边    因为本人是去箱包批发的    离国际箱包城还有些距离       再说一下酒店设施    卫生间还算不错   地毯上有烟头烫的痕迹  带早餐  但是早餐就是榨菜拌黄瓜馒头稀饭鸡蛋油田就这几样', '短评打分': 4}
{'短评内容': '设备设施太老了，', '短评打分': 3}
{'短评内容': '感觉快关门了，设施陈旧看着不卫生，套房的客厅破烂不堪', '短评打分': 3}
{'短评内容': '房间非常舒适', '短评打分': 5}
{'短评内容': '这也叫星级，还不如一般的连锁酒店好呢，如果有可能我住大街上也不会住这里了', '短评打分': 1}
{'短评内容': '还行', '短评打分': 2}
{'短评内容': '环境服务都不错', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 3}
{'短评内容': '酒店很好，卫生干净', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '有点失望', '短评打分': 3}
{'短评内容': '环境好，设施齐全。卫生整洁下次继续', '短评打分': 5}
{'短评内容': '还可以，推荐大家', '短评打分': 4}
{'短评内容': '设施有些旧，别的都还不错的', '短评打分': 5}
{'短评内容': '交通便利，房间很干净，看的出很用心，布置的也很温馨，住的舒服，', '短评打分': 3}
