{'短评内容': '环境很一般，朋友说感觉被子很脏，不敢光着身子睡', '短评打分': 4}
{'短评内容': '不满意', '短评打分': 2}
{'短评内容': '隔音效果不好', '短评打分': 2}
{'短评内容': '不错可以。环境', '短评打分': 5}
{'短评内容': '还是不错的，还好提前预定，不然没能住下。注意需要入住每个人的身份证或户口，包括小孩', '短评打分': 5}
{'短评内容': '卫浴和床铺都很舒服啦，虽然没有窗户，但是也没关系。交通挺方便的，各个地方的公交车都可以到这一站。周围有一些厦门小吃，虽然不是特别出彩，但还是很正宗的。旁边就有一家小超市，买东西很方便。电视有点难用，但是可以连上网。', '短评打分': 3}
{'短评内容': '几乎厦门国庆期间市内OK的酒店中最便宜的了吧 但是不值300多', '短评打分': 3}
{'短评内容': '位置还行，出行方便，价格稍贵', '短评打分': 3}
{'短评内容': '首先是酒店所处地理位置极佳，门口就是一中站，出行坐公交车非常方便。旁边的一家面店做的肉夹馍很不错！房间里面积有点小，但该有的如冲凉房、座厕、电煲水壶、电视等都有，适合只求宿一宵的客人。可惜我们的房间天花漏水了，出外回来发现行李箱全湿了！唉，出门在外，大家互相体谅一下就算了，没有跟店家计较。如果下次房价能便宜点，我会考虑再来的。', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '酒店7月8号才开业，因为刚刚装修的原因，房间里面会有点味道。我们住的是无窗的房间。味道就更大了。酒店位置还是不错的，在厦门宾馆的旁边，很好找！离轮渡，中山路，鼓浪屿等景点也非常的近，出租车基本上就起步价！房间的装修是欧式风格。个人觉得床不是很舒服，太软了，老外应该喜欢的！总体来说还是可以！没早餐，不能开发票！', '短评打分': 5}
