{'短评内容': '位置好，出入吃饭购物方便，就是旁边是工地有一点吵。服务也好，房间内部设施齐全，电视的节目再多一点就好了', '短评打分': 5}
{'短评内容': '带孩子来每次都住如家，环境好，空间大。上次来还有自助早晨，这次没有了，希望下次还有早餐。逛街和去新华书店都很方便', '短评打分': 5}
{'短评内容': '厉害了。这家。服务特别好。', '短评打分': 5}
{'短评内容': '位置很好', '短评打分': 5}
{'短评内容': '很差，前台服务差', '短评打分': 1}
{'短评内容': '差点，朋务不好', '短评打分': 1}
{'短评内容': '服务热情，卫生干净，可以多种支付，方便快捷，周围环境便利', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '卫生很不错，还可以。', '短评打分': 5}
{'短评内容': '设备有些老旧，不过不影响使用，挺好的，来两次都在这里住', '短评打分': 5}
{'短评内容': '环境好，位置佳，服务态度周到，下次还好再来！', '短评打分': 5}
{'短评内容': '环境好，位置佳，服务态度周到，下次还好再来！', '短评打分': 5}
{'短评内容': '环境好，位置佳，服务态度周到，下次还好再来！', '短评打分': 5}
