{'短评内容': '无早餐，环境一般，离地铁站近', '短评打分': 4}
{'短评内容': '真实感受：位置不是太好找，没有停车场，屋子环境太差，空调温度低。没有热水 12月晚上盖被子感觉还很冷。比起其他的快捷酒店真是差多了', '短评打分': 2}
{'短评内容': '位置不错，交通方便', '短评打分': 5}
{'短评内容': '交通方便，房间小，不隔音。', '短评打分': 4}
{'短评内容': '其他都一般，临近地铁7号线，方便。', '短评打分': 3}
{'短评内容': '4569875468876456', '短评打分': 5}
{'短评内容': '服务好  交通方便', '短评打分': 5}
{'短评内容': '的都', '短评打分': 5}
{'短评内容': '预定了不住也不能退 感觉不太人性化', '短评打分': 3}
{'短评内容': '酒店在珠市口地铁站C出口，去天安门广场也不是很远，酒店的条件也就一般，在睡梦中就被清洁阿姨要清洁房间敲门给吵醒了，拖地也不干净，就只是简单的一拖而过，看到还有好多头发阿姨就出去了，要吹风筒还得交50块押金才行，不过相对来说靠近地铁站，交通还算方便，地段也不算很偏，价钱也算可以。唯一的不足就是不等别人出门就过来打扫房间，打扰清梦。', '短评打分': 3}
{'短评内容': '超级好，位置我的天啊，牛逼啊，价钱真心大甩卖了……真不错', '短评打分': 5}
{'短评内容': '酒店地点是不错，离前门大街，天坛都很近，公交车地铁也十分方便，就是不太好找，在胡同里，周边环境还可以，很安静，房间麻雀虽小五脏俱全，就是卫生条件很一般，希望卫生方面店家能够改善', '短评打分': 3}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '你们酒店打扫卫生的人只上半天班?我花钱住你们旅店是用来休息的，不是来听你们打扫卫生大姐的大嗓门的，带着这么严重情绪工作谁欠她的?态度相当的恶劣，半颗星都算抬举她了，我平均一个月来你们酒店住一周左右，这是嫌我烦了，那我考虑以后选择别的酒店入住', '短评打分': 1}
{'短评内容': '又来了，很好', '短评打分': 4}
{'短评内容': '交通很方便，出门就是地铁7号线，而且还有肯德基，离前门大街很近，周围环境一般，卫生还可以。', '短评打分': 4}
{'短评内容': '可以！', '短评打分': 4}
{'短评内容': '环境不错，干净卫生，下次一定再来！', '短评打分': 5}
