{'短评内容': '干净整洁，主要是不吵', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店位置离地铁站挺近的，可能是自己没订好的位置  感觉有点小  不过杭州寸土寸金  一个人出去玩的人话还是可以的', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '挺好的，实惠，符合大众消费', '短评打分': 5}
{'短评内容': '不错 地理位置还行，周围交通比较便利然后就是吃的也蛮多的这点比较好。很方便。不知道照片去哪儿了总之还是不错的性价比比较高还便宜主要周围很方便前台太度爷还不错????去哪儿都很方便的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '运气不错 主动给升级成了双人房虽然我是单人  很赞', '短评打分': 5}
{'短评内容': '走的时候把东西落在了屋里，酒店的人帮忙找到并收好，非常感谢', '短评打分': 5}
{'短评内容': '出来玩的话  住住就是干净就好啦  位置都还算方便  离地铁什么的都很近 附近吃的也多  晚上白天都可以走着去西湖', '短评打分': 5}
{'短评内容': '被子上有污渍', '短评打分': 1}
{'短评内容': '被子上有污渍', '短评打分': 1}
{'短评内容': '无线太差，极不稳定', '短评打分': 3}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '酒店还是蛮干净的，房间很清爽，地面是地板的那种。好像是新的擦的很干净。卫生间没有异味，比上次住干净很多', '短评打分': 5}
{'短评内容': '酒店还是蛮干净的，房间很清爽，地面是地板的那种。好像是新的擦的很干净。卫生间没有异味，比上次住干净很多', '短评打分': 5}
{'短评内容': '服务不错，挺好的，位置很好，出门很方便', '短评打分': 5}
{'短评内容': '酒店还是蛮干净的，房间很清爽，地面是地板的那种。好像是新的擦的很干净。卫生间没有异味，比上次住干净很多', '短评打分': 5}
{'短评内容': '酒店环境不错，卫生还可以，离西湖步行10分钟', '短评打分': 5}
