{'descr': '还算凑合着', 'star': 5}
{'descr': '卫生差', 'star': 3}
{'descr': '卫生不好！', 'star': 3}
{'descr': '就那样', 'star': 5}
{'descr': '卫生差', 'star': 3}
{'descr': '差得不得了。不建议入住，被子和浴巾没法看', 'star': 1}
{'descr': '一般吧，需要改良，希望酒店管理人员注意咯！！！！！！！！！！！希望下一次的卫生能够再干净一些！！！！！！！！！！！', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '帮父母订的，房间设施一般，价格在这儿。周边环境还行，就是市中心。据说楼下餐厅的饭和酒店的早饭都还不错，也不贵', 'star': 4}
{'descr': '无线网络连接不上，环境一般，暖气很给力，周边很方便', 'star': 4}
{'descr': '就住了一晚，凑合', 'star': 5}
{'descr': '一般，', 'star': 3}
{'descr': '环境一般，，', 'star': 3}
{'descr': '整体一般，为了方便出行就住这了', 'star': 3}
{'descr': '酒店设施陈旧  电视机还是大屁股的', 'star': 2}
{'descr': '周边交通便利，环境不错，设施简单', 'star': 3}
{'descr': '酒店服务极好,服务员主动热情,设施齐全干净。希望再次入住。', 'star': 3}
{'descr': '位置不错', 'star': 3}
{'descr': '空间有点小,卫生有点差,空调声音有点大.', 'star': 1}
{'descr': '酒店不错，下次还住这里。酒店不错，下次还住这里。酒店不错，下次还住这里。酒店不错，下次还住这里。酒店不错，下次还住这里。酒店不错，下次还住这里。酒店不错，下次还住这里。酒店不错，下次还住这里。酒店不错，下次还住这里。酒店不错，下次还住这里。', 'star': 5}
{'descr': '环境不是好,价格高', 'star': 3}
{'descr': '餐厅有老鼠，吃的也比较差，而且不卫生。恶心', 'star': 1}
{'descr': ' 卫生一般 价格高', 'star': 3}
{'descr': '卫生还算可以吧  就是感觉空间还是有点小，早餐很不给力，种类太少，还很难吃！', 'star': 5}
{'descr': '太贵了。。。虽然环境还好。。。。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '不错 稍有味道', 'star': 3}
{'descr': '不错的，下次还可以考虑，价格略高了些', 'star': 3}
{'descr': '这里的床 还真的很不错， 很大 很舒服 可以睡个好觉', 'star': 5}
{'descr': '环境不错,第一次入住,住这里的老外也很多,是个挺好的商务型酒店,相对价位也还合适', 'star': 5}
{'descr': '酒店去年开的,很新,正好在购物公园内,各方面都很方便', 'star': 5}
{'descr': '一般，入住时要注意免费的洗漱用品要再前台索取，房间内的是收费的。', 'star': 5}
{'descr': '这酒店很时尚.光亮及干净，房间空间又大。下次还会选择入住。', 'star': 3}
{'descr': '非常不错，房间很大，很干净。 服务很好，出行也方便，下次还会去的', 'star': 5}
{'descr': '该酒店设施和价格不匹配，另外一次性洗刷用品不应该收费。', 'star': 1}
{'descr': '环境还可以，稍微有点潮，前台很热情，下次还会入住。', 'star': 3}
{'descr': '酒店地处繁华地带，却能做到闹中取静。房内设施很好。', 'star': 3}
{'descr': '新建的酒店,在购物公园旁边,非常安静但有不显孤单,环境和房间布置都不错.', 'star': 5}
{'descr': '卫生太差，服务不好，已向酒店反映。希望以后改进。', 'star': 1}
{'descr': '感觉挺不错的，就是没电脑。标间可以配个，环境还不错。以后还会来这里\n感觉挺不错的，就是没电脑。标间可以配个，环境还不错。以后还会来这里\n感觉挺不错的，就是没电脑。标间可以配个，环境还不错。以后还会来这里', 'star': 5}
{'descr': ' 入住三位客人，今天退房', 'star': 3}
{'descr': '很棒，环境很好很安静，交通不错,服务也不错\n很棒，环境很好很安静，交通不错,服务也不错\n很棒，环境很好很安静，交通不错,服务也不错\n很棒，环境很好很安静，交通不错,服务也不错\n很棒，环境很好很安静，交通不错,服务也不错', 'star': 5}
{'descr': '价格贵吧也就算了，关键是在是一般的不能在一般了，早饭了有和哟一个样，那个难吃啊。周边也不方便，距离市中心那个远啊啊，那个不方便啊。', 'star': 1}
{'descr': '酒店房间比较宽敞，家具比较新，环境也蛮好，周围吃的很多，特别是对面有家悦足堂，出差累了可以去休闲下，服务挺不错哦！！', 'star': 5}
{'descr': '干净、舒适、含早餐，附近餐饮、交通方便。离火车站、汽车站距离适中，出行容易。房间干净、整洁，提供各种小食品，方便客户。', 'star': 5}
{'descr': '服务和环境一般，下次会选别家。', 'star': 3}
{'descr': '该酒店适宜旅游度假居住、网速很快。', 'star': 3}
{'descr': '新酒店，因为在购物公园内，房间不错，环境不错，前台态度一般。', 'star': 5}
{'descr': '房间太小，而且装修破旧，酒店该重新装修了。最奇特的是酒店的洗漱用品居然是收费的。卫生间，写字台上布满了商品，我不知道这是酒店还是超市。本人住了全国很多家酒店，是第一次遇见。洗澡后，裹上浴巾，浴巾颜色是浑浊不堪，而且浴巾上面也是像机关枪扫射过了，破烂不堪。早上8点20去餐厅吃早饭，服务员拿着手机，听着音乐，站在那纹丝不动，告诉我没有早餐了。总之该说的很多，本来打算住几天的，住了一天就赶紧换地方了', 'star': 1}
{'descr': '酒店很棒,设施很新,服务很周到,而且周边吃饭,购物,娱乐一切都很方便,基本满足出差的全部需求.', 'star': 5}
{'descr': '干净，但是楼下酒吧太吵。。。。。。。。。', 'star': 5}
{'descr': ' 还好', 'star': 3}
{'descr': '，非常好，强烈推荐', 'star': 3}
{'descr': 'Good!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', 'star': 5}
{'descr': 'Check-out 太慢了。早餐品种太少', 'star': 5}
{'descr': '这酒店真的很一般，软件：服务员态度生硬，表情冷漠；硬件，卫生较差，要了半天，连一个纸杯都不提供，真是可气。', 'star': 3}
{'descr': '环境还行 就是洗漱用品全部都需要花钱 没有免费的', 'star': 5}
{'descr': '房间不错，挺大的，周围配套也好，设施服务也都可以', 'star': 5}
{'descr': '新开的酒店，在购物公园内，环境不错。周边饭店酒吧商场超市一应俱全，步行去了旁边的张家港公园，离市中心车程也不远。酒店设备比较新，还有一些东西可能没来得及装吧，比如淋浴房里的隔板等，希望改进~', 'star': 5}
{'descr': '酒店环境相当不错~\n周围环境吃饭 停车都很方便\n值得推荐~~', 'star': 5}
{'descr': '很新的酒店，服务非常热情，房间也不错，唯一不满意的就是送的那瓶水，味道怪怪的。', 'star': 5}
{'descr': '早餐太差，窗户隔音也差，这样的高的价格不推荐，性价比不高', 'star': 1}
{'descr': '服务态度太差，酒店旁边盖楼，太吵，房间一般，没有连锁店的感觉。', 'star': 1}
{'descr': '除了热水不好，压力不够，窗帘不好，位置还可以，楼下就可以买火车票', 'star': 5}
{'descr': '条件实在一般，居然是电热水器洗澡，第一次见到，窗帘四面漏光，卫生间水压不足', 'star': 1}
{'descr': '不错  挺好的不错  挺好的不错  挺好的不错  挺好的不错  挺好的', 'star': 5}
{'descr': '挺好的 干净 地理位置较好 附近有吃的 游玩的', 'star': 5}
{'descr': '还不错。经济实惠。是个不错的选择。', 'star': 3}
{'descr': '先是同学推荐我的，说那里不错。环境很干净，很温馨的感觉，性价比很高，而且赶上抽奖，我还抽了个玖等奖，是一套简易洗漱套装，就是牙刷+牙膏+梳子什么的。如果说我下次还去天津，不出意外还住这！推荐给大家，住了应该是不会后悔的！电视稍微有点小，不过还是液晶的。能收来2、3十个频道！', 'star': 5}
{'descr': '酒店性价比较高，环境不错~~~~~~~~', 'star': 5}
{'descr': '酒店环境不错就是卫生间味道大了些，去的时候房间暖气还坏了也很阴冷，服务态度挺好的，价格算是合适。', 'star': 3}
{'descr': '位置靠近火车站， 比较方便， 房间设施显旧， 但服务态度不错，价格应再便宜些', 'star': 5}
{'descr': '比较一般的酒店，房间装修的比较简单，服务员办事效率，蛮快的，房间卫生条件很好，其他都还好', 'star': 3}
{'descr': '酒店距离火车站，汽车站蛮近的，出行比较方便，房间一些基础设施齐全，采光很好，卫生还可以，其他都一般', 'star': 3}
{'descr': '酒店距离火车站不是很远，房间大小适宜，卫生不错，干净整洁，还可以上网，住宿条件一般', 'star': 3}
{'descr': '酒店卫生还可以，打扫的比较干净，酒店有个小停车场，停车方便，其他一般', 'star': 5}
{'descr': '在当地来说，比较便宜的酒店了，性价比还可以，比较合理，地理位置优越，距离公交车站10分钟左右，卫生一般，环境还可以', 'star': 3}
{'descr': '性价比不错，住宿环境还可以，服务员态度还可以，卫生条件很好，干净整洁，住宿环境不错', 'star': 5}
{'descr': '这个酒店价格还是比较低的，离火车站较近。但酒店网速一般，房间家具年代比较久远，热水还可以，不过床上的卫生不敢让人恭维，枕头上有污斑，没敢睡，下午匆匆结账走人。不推荐', 'star': 1}
{'descr': '酒店位置不错，周边出行挺方便的，房间硬件设施齐全，服务很好，卫生条件不错，其他都一般', 'star': 5}
