{'短评内容': '他妈的，携程上订的居然比实体店还贵', '短评打分': 4}
{'短评内容': '位置好、景区在开发，但本身底子不错，黑森林那里要醉氧的感觉。，但其他都不敢恭维，到宾馆买门票出停车费不说，所谓的豪华房也要碰运气，也许就是一个离山壁不到两米被黑压压压迫的房子，设施陈旧、服务很一般，完全不配星', '短评打分': 4}
{'短评内容': '酒店的服务质量有待于提高！', '短评打分': 4}
{'短评内容': '早餐一般，中式，有包子、鸡蛋、西瓜、豆浆、蛋糕等。房间里有死蛾子！到房间要爬台阶。电梯3楼的向下键是坏的。', '短评打分': 4}
{'短评内容': '酒店周边环境很不错，房间略旧，吃的味道好', '短评打分': 5}
{'短评内容': '还不错，酒店环境不算太新，感受还行吧', '短评打分': 5}
{'短评内容': '酒店环境非常好，好久没有休息得这么舒服了，下次还去', '短评打分': 5}
{'短评内容': '老，旧，wifi都没有住起来非常不方便，洗浴用品太差，毛巾是不是更换一下，看着都脏，完全无法使用。餐厅饭菜还不错。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错的选择。', '短评打分': 4}
{'短评内容': '环境不错，景区里面，但是右边那栋住宿楼没有Wi-Fi。晚上有篝火晚会。房间大，除了没有Wi-Fi还算可以。', '短评打分': 4}
{'短评内容': '环境很好', '短评打分': 4}
{'短评内容': '很好，前台帮忙解决问题！', '短评打分': 3}
{'短评内容': '环境很不错  十分清静 空气质量好  就是Wifi信号太弱了上网不方便', '短评打分': 5}
{'短评内容': '不错啊，很好。可以再去啊', '短评打分': 3}
{'短评内容': '酒店在景区，晚饭后逛逛景区的什么的很方便。卫生间热水很大，洗澡很舒服。豪华标间是1.2米的床吧，并非1.5米的床。酒店餐厅点菜价格合适，分量很足味道也可以。早餐也挺不错。', '短评打分': 5}
{'短评内容': '酒店在景区，吃晚饭后逛逛景点什么的很方便。双标是1.2米的床吧，并非1.5米的床。酒店餐厅点菜还可以，分量很足味道也不错。卫生间热水很大，洗澡很舒服。', '短评打分': 5}
{'短评内容': '已入住辛夷花酒店！环境不错，比较别致。', '短评打分': 3}
