{'短评内容': '前台服务热情 徐汇 王亚南服务好 还赠送了早餐 感谢', '短评打分': 5}
{'短评内容': '前台王琰 赵宏宇 王亚南 徐汇 服务特别好 值得表扬  还赠送了早餐 非常值得 多次入住', '短评打分': 5}
{'短评内容': '刘家宇，王琰', '短评打分': 5}
{'短评内容': '酒店环境不错，前台牛丽娜态度很好', '短评打分': 5}
{'短评内容': '服务人员赵宏宇、刘家宇服务周到，酒店周四交通方便，环境非常好，值得信赖！', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '看起来还可以！你要做一个很棒！你', '短评打分': 5}
{'短评内容': '这个是第二站，出到青岛直接去的市南区，奥帆。第一印象还是不错的，感觉像个海边大都市。很高兴也很激动，然后去了八大关，有点中山陵漫步的感觉，但是感觉跟中山陵比还是差多了，主要在气势上差很多。然后穿了隧道去了金沙滩。然后我就郁闷了。青岛开车不是太好开！金沙滩很难停车！一进去任何东西都是钱，寄存钱，冲脚钱，当然钱能解决的都不是事，沙滩很细，但是很脏！各种乐色。一方面是我们外来游客素质低下，还有一方面就是管理是不是不到位？晚上入住这个酒店后一看设施就知道有年头了。好在还比较温馨，但是我还是有点后悔不如住如家。另外香江路还能让摆夜市，也可以看出青岛的包容。问题也有，周围全是乐色。给人一种脏兮兮的感觉。', '短评打分': 5}
{'短评内容': '酒店很舒服 很干净', '短评打分': 5}
{'短评内容': '客房服务很周到，京东应该对老会员多一些福利政策，现在不如以前那么有力度了', '短评打分': 5}
{'短评内容': '还不错 房间挺好 就是送的梨汁感觉每个房间一个大玻璃瓶那种会更好', '短评打分': 5}
{'短评内容': '物美价廉，酒店环境很好。楼下就是商场，买东西也非常方便。早餐东西不多不少，味道也还可以。总之下次还会来这里入住', '短评打分': 5}
{'短评内容': '准四星酒店，安静，房间大，特别是床好大舒服，停车场小了点。准四星酒店，安静，房间大，特别是床好大舒服，停车场小了点。准四星酒店，安静，房间大，特别是床好大舒服，停车场小了点。', '短评打分': 5}
{'短评内容': '位置方便，房间干净，服务较好，离海边比较远，八分钟车程，但离各百货商场，银行近，100米左右。各楼层有水果盘', '短评打分': 5}
{'短评内容': '酒店不错，大气，特别是早餐很丰富、停车场也比较大，就是感觉也点吵，也许是地段太好了，不过离海边近，性价比高！建议入住', '短评打分': 5}
{'短评内容': '唯一感觉不太好的就是洗手间热水非常小', '短评打分': 5}
{'短评内容': '不错的地方，什么都方便', '短评打分': 5}
{'短评内容': '酒店环境很棒', '短评打分': 5}
{'短评内容': '吃饭不算太方便，其他都很好', '短评打分': 5}
{'短评内容': '不错的酒店，地理位置很不错，交通便利，闹中取静，前台服务不错，热情，热情.房间布局合理舒适，很干净，布置的也很温馨，，性价比很高。房品很舒服，周边环境不错，距离单位相当近便，不错！！继续入住！', '短评打分': 5}
{'短评内容': '不错的酒店，地理位置很不错，交通便利，闹中取静，前台服务不错，热情，房间布局合理舒适，很干净，布置的也很温馨，，性价比很高。房品很舒服，周边环境不错，距离单位相当近便，不错！！继续入住！', '短评打分': 5}
{'短评内容': '不错的酒店，地理位置很不错，交通便利，闹中取静，前台服务不错，热情，房间布局合理舒适，很干净，布置的也很温馨，，性价比很高。房品很舒服，周边环境不错，距离单位相当近便，不错！！继续入住！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店位置很不错，总体来说大气，服务周到。房间干净舒适。因所预订的大床房已满，还免费升级为一个小套房，挺好的！还会考虑再次入住！', '短评打分': 5}
{'短评内容': '整体不错，略微有些旧了。性价比比较高。', '短评打分': 3}
{'短评内容': '酒店服务非常好，住的大床房，很大的床，早饭也很丰富，性价比很高，值得推荐', '短评打分': 5}
{'短评内容': '性价比很高的酒店，房间不错，设施，床还行，关键是网速极快，1G的文件下载只要4分钟。', '短评打分': 5}
{'短评内容': '不错。只是有点小贵！', '短评打分': 3}
{'短评内容': '酒店非常好，值得推荐。位置，服务，设施都很到位。', '短评打分': 5}
{'短评内容': '酒店的设施设备还是不错的，但是在黄岛这样的地方来说价格偏高，而且不提供早餐', '短评打分': 5}
{'短评内容': '酒店感觉不错，这次住高级商务套，房间挺大，孩子在里面来回的跑，藏猫猫都没问题。大床很大，一家三口睡很宽敞，被枕也很舒适。房间的空调有时不给力，感觉是定时供给暖风一样，好像早晨给一次，所以睡到半夜的时候会感觉有些冷。房间里有两台海信平板电视，这样大家看电视可以不用抢台了。这次住在15楼，房间可以无线上网，感觉很方便。酒店的客房服务也不错。中餐厅和自助餐厅的菜品还算丰盛，早餐能每天换样就更好了，总之在', '短评打分': 5}
{'短评内容': '环境干净位置不错。。。下次还会入住。。。', '短评打分': 5}
{'短评内容': '酒店位置不错，旁边有肯德基大商场，喜欢逛街的不容错过！\n自助餐花样偏少，菜有点偏咸！', '短评打分': 5}
{'短评内容': '环境挺不错', '短评打分': 3}
{'短评内容': '酒店的位置不错，值得入住，吃个肯德基逛个商场还是很方便的。', '短评打分': 5}
{'短评内容': '酒店的设施，地理位置和服务都不错，唯一问题就是早餐和自助餐的品种稍微单调了一点。', '短评打分': 5}
{'短评内容': '一直住的酒店，很好一直住的酒店，很好一直住的酒店，很好', '短评打分': 5}
{'短评内容': '这个酒店很新，但是吃饭什么的就不太方便了。', '短评打分': 5}
{'短评内容': '酒店真不错，我们国外同事比较满意。不过，早餐的时候，地方太小了。给人的感觉比较挤。', '短评打分': 5}
{'短评内容': '酒店相当不错，服务也蛮好，就是卫生间偏小，而且418的价格竟然不含早餐', '短评打分': 5}
{'短评内容': '房间太小，与网站上所标注的，行政大床房33平方米相差甚远，且不带早餐。酒店冷冷清清。', '短评打分': 1}
{'短评内容': '酒店环境很好，住宿很舒适，早餐很一般，总的来说还可以。', '短评打分': 5}
{'短评内容': '酒店总的来说不错，下次出差还会作为选择。', '短评打分': 5}
{'短评内容': '优秀的酒店，各个方面都很出色，值得推荐。', '短评打分': 3}
{'短评内容': '非常好，以后还会住的~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': 'OK!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1', '短评打分': 5}
{'短评内容': '地处黄岛经济技术开发区,旁边有很多大型超市和市场,还有大排档和各种小吃.4星级,酒店设施没得说,房间内还配备电脑,无限宽带,价格也还可以,性价比高!起码在黄岛应该是一流了.\n唯一希望改进的时房间内没有挂衣钩或挂衣架,衣服只能挂到衣柜里.', '短评打分': 5}
{'短评内容': '下午一点半入住，被告知房间没打扫，得等两小时，只好把行李存放前台，晚上取房卡发现房间非常小，和酒店自己介绍的差距很大，后经多次协调感谢前台一王姓服务员给免费升级至另一房间，早餐人极多，缺档，中评。', '短评打分': 1}
{'短评内容': '很好的', '短评打分': 3}
{'短评内容': '酒店服务非常好。', '短评打分': 3}
{'短评内容': '软件硬件都很不错 价格可以接受 服务态度相当好 酒店位置好 早餐有点贵 没舍得吃', '短评打分': 5}
{'短评内容': '海悦挺好的！房间空间不大，但挺精致的！就是不含早餐！', '短评打分': 3}
{'短评内容': '，青岛世贸海悦大酒店环境好价格合理。', '短评打分': 3}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '不错的酒店  硬件软件都不错  值得推荐', '短评打分': 3}
{'短评内容': '这家宾馆不错，交通很方便，离商业街也近。卫生不错，服务态度也不错，早餐的花样不少，第二次入住，还是很不错', '短评打分': 5}
{'短评内容': '在黄岛这个酒店是我住过的比较好的酒店，房间虽然不是很大但是卫生条件比较好，设施还算比较新，比很多这个地方的酒店强，我和同事们都比较满意', '短评打分': 5}
{'短评内容': '住到这里感觉很好。大堂挺宽敞的。住的床很舒服。酒店每天都会送水果和梨水，感觉很贴心。酒店周围比较繁华。吃饭，购物比较方便。下次来黄岛还会来这里住的。', '短评打分': 5}
{'短评内容': ' 酒店各方面设施都不错。到黄岛必住于此。就是早餐有点贵。', '短评打分': 3}
{'短评内容': '酒店很好！值得，就是价格比较高！早餐很好，服务很到位。房间设置不错，\n                                                                           ', '短评打分': 5}
{'短评内容': '不错的酒店！下次还会住！', '短评打分': 3}
{'短评内容': '非常不错的酒店。服务员都是面带微笑，感觉很舒心。硬件各方面也确实都是四星标准。中餐厅味道也值得推荐。', '短评打分': 5}
{'短评内容': '很好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！                ', '短评打分': 5}
{'短评内容': '这个酒店地段比较好,吃饭,购物都很方便.适合出差人员.', '短评打分': 5}
{'短评内容': '总的来说，在黄岛还是性价比不错的酒店。下次还会选择这里。', '短评打分': 5}
{'短评内容': '每次到黃島，我都會住這，早餐也很理想，推薦給大家', '短评打分': 5}
{'短评内容': '一般一般一般一般一般一般一般一般一般一般一般', '短评打分': 5}
{'短评内容': '我强烈推荐这家酒店，虽然在青岛的开发区里，但是位置不错，周围都是商场，吃饭很方便，最主要的是酒店的环境和卫生都很好，服务特别棒！我住了三天，服务员们见面都会微笑，门童帮我拿行李外，就连每次购物回来的包也都帮着拿，还有每天都送水果，酒店的设施很好，床也很舒服，住在里面很舒适，就像住在家里一样，下次去青岛还会入住，四星极的酒店五星级的享受，真的很好！', '短评打分': 5}
{'短评内容': '环境很好，交通也方便，令人难忘的是宾馆的服务人员态度很好，给人一种回家的感觉', '短评打分': 5}
{'短评内容': '住的378的特价间房间很小，比一些快捷酒店还小。\n\n早餐选择很多很丰富，还能自制果蔬汁，实属首见。不知道是否早餐问题，两天吃完后都吐出来了。\n\n酒店有台观光电梯，但往外看都没啥特别的，而且玻璃跟外墙都很脏，还不如没这电梯掉价。\n\n附近吃饭的都是小店，缺乏像样的饭店。\n\n', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '不错错错粗不好不好啊啊啊  不好不好啊啊啊  不好不好啊啊啊  ', '短评打分': 5}
{'短评内容': '住的挺好。又回来住的。', '短评打分': 3}
{'短评内容': '不错的，卫生不错，房间比较大，早餐比较丰盛', '短评打分': 5}
{'短评内容': '地理位置佳，早餐很丰富，硬件设施很好，下次还会选择该酒店', '短评打分': 5}
{'短评内容': '酒店很不错。强烈推荐入住', '短评打分': 3}
{'短评内容': '酒店位置饮食都好, 就是入住时最好分有烟, 无烟楼层, 我的房间烟味很重, 而本人不抽烟.熏!!!!!', '短评打分': 5}
{'短评内容': '酒店装修的味道还是太大，是参考别人的点评入住的，感觉之前的点评还是有些水份的。\n如果没有味道，还是不错的。灯光控制有点问题，只会自动感应开，不会感应关。晚上起夜还是烦人。', '短评打分': 5}
{'短评内容': '很好 价位合适 环境也不错 入住就餐都很好 ', '短评打分': 5}
{'短评内容': '＋刚入住，房间很干净，和上次一样好。', '短评打分': 3}
{'短评内容': '非常不错的酒店，服务很周到，完全对得起这个价格，居然还有电脑', '短评打分': 5}
{'短评内容': '酒店的超市应该再购置一些低价产品/产品品种最好再丰富一些', '短评打分': 5}
{'短评内容': '酒店早餐的馄饨和面条用汤最好再改善一下/特别是馄饨的馅应该改进', '短评打分': 5}
{'短评内容': '第一次入住开发区酒店/感觉真的不错/标间大小合适/房间干净整洁', '短评打分': 5}
{'短评内容': '酒店装修较新/价格比较便宜/网速较快/位置不错/值得推荐', '短评打分': 5}
{'短评内容': '这是一家值得推荐的酒店，一个月后印象还是很深', '短评打分': 5}
{'短评内容': '帮朋友订的，朋友说是个很好的酒店，住得非常舒适！', '短评打分': 5}
{'短评内容': '给同事出差订的，刚开始订的是行政套间，后来他自己给换成了更高一级的，他觉得还不错。', '短评打分': 5}
