{'短评内容': '比较实惠，打车方便，周围的小店多', '短评打分': 3}
{'短评内容': '非常不错的酒店，很干净，很安静。对面就是公园，可以看牡丹花展。', '短评打分': 3}
{'短评内容': '糟糕', '短评打分': 2}
{'短评内容': '在这个酒店住了快三年了，每次来洛阳都住这儿，', '短评打分': 3}
{'短评内容': '设施老旧，原来是军分区的招待所！', '短评打分': 4}
{'短评内容': '还行吧，价格便宜！', '短评打分': 5}
{'短评内容': '就在王城公園對面，交通尚算方便，可是房間的隔音不好，比較噪。只住了一個晚上。', '短评打分': 2}
{'短评内容': '整体来说还可以，可能临近景区，房间稍微有点小，床是1.8和1.5的，有电视，有空调，网上定的，价格还可以', '短评打分': 4}
{'短评内容': '好得很好得很好得很好得很好得很', '短评打分': 1}
{'短评内容': '这个酒店就是离王城公园近 去哪公交方便 但是很老旧的感觉 早餐简单得不得了 而且不能保证满足供应 房价还很贵 服务还行 不会再住了 如果不是时间紧了点 应该能找到其他的酒店 希望携程以后不要推荐这样的酒店', '短评打分': 4}
{'短评内容': '就一简陋的军分区招待所硬是按照三星级酒店收费！368居然！除了两张硬床和一台电视机外没看见什么，房间很小。去了几天马桶堵了几天！严重影响心情！另外有想去洛阳旅游的朋友我看还是趁早打消主意吧！真的很后悔去，漫天的梧桐树絮遮天蔽日！一阵风过来眼睛嘴巴全部是灰，景点除了要钱别的一概不管！哎！', '短评打分': 1}
{'短评内容': '印象最深的是该酒店的工作人员十分热情，让人有宾至如归的感觉！地理位置较好，处于王城公园正对面，紧邻军分区，挺有安全感。院内有停车场，有24小时的值班人员。出门百米右侧转弯的一条大街上有一家名为老洛阳的卤面馆，有当地特色菜，价廉物美，值得推荐。不太喜欢卫生间的浴帘，使得洗浴空间不够宽敞，水容易溅到地面。总的来说，房间简洁、干净，对于我们入住的价位来说算是性价比较高了！', '短评打分': 5}
{'短评内容': '印象最深的是该酒店的工作人员十分热情，让人有宾至如归的感觉！地理位置较好，处于王城公园正对面，紧邻军分区，挺有安全感。房间简洁、干净，对于我们入住的价位来说算是性价比较高了！不足之处在于房间的门隔音效果不太理想，对面房间开关门的声音能传进来。', '短评打分': 5}
{'短评内容': '酒店环境不错，卫生 服务都不错，和锦江之星差不多，网速还可以。性价比很高，下次来洛阳还住这。', '短评打分': 5}
{'短评内容': '环境很不错，性价比很高，很喜欢！', '短评打分': 3}
{'短评内容': '酒店很不错，很干净。好评！', '短评打分': 3}
{'短评内容': '就在王城公园大门对，面干净 卫生服务也很好，推荐。', '短评打分': 5}
