{'短评内容': '位置偏远，房间价格贵，设施、用具陈旧，被褥、床单有污渍，感觉极差！！！', '短评打分': 3}
{'短评内容': '很好 值得推荐 有无线网就完美了', '短评打分': 3}
{'短评内容': '环境好，位置好，服务好，三好酒店', '短评打分': 3}
{'短评内容': '还可以吧！！！！！！！！！！！！！', '短评打分': 3}
{'短评内容': '一下回到80年代！设施太落后！旁边在施工吵死了！', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '住着挺实惠的', '短评打分': 5}
{'短评内容': '总体还行', '短评打分': 4}
{'短评内容': '环境很差', '短评打分': 1}
{'短评内容': '环境很差', '短评打分': 1}
{'短评内容': '学苑宾馆住过几次了，优缺点一目了然。优点是空间较大，缺点是环境不是太好，设施不是太新', '短评打分': 4}
{'短评内容': '房间不错，很大，上午出差刚好。。。空调不是很给力。。', '短评打分': 5}
{'短评内容': '＋环境不错，很安静，房间也都挺干净的，就是被子有些潮湿', '短评打分': 3}
{'短评内容': '还可以吧, 房间较大, 初到房间有渗漏痕迹, 就给马上更换了. 可能8月是旅游旺季吧,觉的价格高点', '短评打分': 5}
{'短评内容': '还行，房间比较大 很安静。就是有点老。看需求了。', '短评打分': 5}
{'短评内容': '太旧的酒店，卫生太差。。。。建议不要入住', '短评打分': 1}
