{'短评内容': '对于七天酒店的印象越来越差，我是会员，前几天住房时不收取押金，紧接着入住是必须收取押金，入住的同时，晚上打电话送空调遥控器，等到凌晨也没有送来，洗头膏沐浴露里面加有杂物，总之对七天酒店的印象很差', '短评打分': 3}
{'短评内容': '设施太差，房间不隔音', '短评打分': 3}
{'短评内容': '房间还行', '短评打分': 4}
{'短评内容': '酒店早餐很实惠。7块钱吃的饱饱的，然后旁边还有大型的购物广场，逛逛实在市方便', '短评打分': 5}
{'短评内容': '地理位置优越，房间也不错，就是遥控器该换了', '短评打分': 5}
{'短评内容': '这个房间一直有很大的噪音。铲子刮地的声音从住进来到现在准备退房一直没停过，声音很大，幸好我没有神经衰弱不然一晚上都睡不着，还有每个房间没空调遥控器，非要打电话去要才可以，这是为哪般？洗个澡水一直下不去，感觉来了西安，这是过的最差的一晚', '短评打分': 4}
{'短评内容': '很满意的一次购物', '短评打分': 5}
{'短评内容': '位置比较好。', '短评打分': 5}
{'短评内容': '交通便利，地铁口，购物，就餐都很方便。不错。', '短评打分': 5}
{'短评内容': '酒店有早餐自费提供，7元一人，挺便宜的，关键是很丰富，营养齐全，有包子，豆浆，稀饭，鸡蛋水果，和咸菜，很好的。房间楼层很高，安排在29楼，窗户很大一面，采光特别好，视野也好，房间格局挺好的，有个矮矮地小阳台，可以坐在上面。很干净，浴巾是拿袋子装起来的，用着很放心。工作人员很热情，耐心地帮我介绍游玩路线，赞一个。', '短评打分': 5}
{'短评内容': '服务挺好的，价格挺不错', '短评打分': 5}
{'短评内容': '服务好，热情招待，值得推荐', '短评打分': 5}
{'短评内容': '连锁品牌，干净，入住退房太方便了。', '短评打分': 5}
{'短评内容': '方便，快捷。交通很方便！', '短评打分': 5}
{'短评内容': '总体还不错吧，不过去的时候好像在装修。', '短评打分': 5}
{'短评内容': '第一次在京东订酒店，居然比官网还便宜，以后就在京东了！', '短评打分': 5}
{'短评内容': 'dafhkiytecbnjgddjkdwfhkbfs', '短评打分': 5}
{'短评内容': '物有所值、不会连wifi', '短评打分': 5}
{'短评内容': '房间非常大，还每天送一盒牛奶', '短评打分': 5}
{'短评内容': '交通方便！位置优越！就是楼层高些！出行很便捷！去机场去西安北站很便捷！周围有大型超市，海底捞火锅店就在酒店对面！', '短评打分': 4}
{'短评内容': '在西安几天一直住这里，离着地铁近，交通方便，房间也大，屋里很暖和。', '短评打分': 5}
{'短评内容': '这是我住过最差的7天连锁。酒店前台服务员态度极其恶劣。不会再来第二遍，也不会再选择7天连锁。', '短评打分': 3}
{'短评内容': '价格太贵，楼层高电梯少，其它方面不错', '短评打分': 3}
{'短评内容': '宾馆29楼，电梯少，出门不方便，其他还行', '短评打分': 3}
{'短评内容': '性价比不高，不建议，就是交通方便', '短评打分': 3}
{'短评内容': '一般本吧还行不是很好也不差就是不会再来了', '短评打分': 3}
{'短评内容': '简洁，干净，入住舒适', '短评打分': 4}
