{'短评内容': '环境一般，服务还可以，主要是位置好，方便', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '出差江夏住的，早餐可以，可以下热干面，走廊的灯不错，外面修路。旁边一个大湖。附近有吃饭的地方，整体可以。', '短评打分': 5}
{'短评内容': '此酒店不错 早餐也不错 环境很好', '短评打分': 5}
{'短评内容': '本来各方面的都好的，我去考试，手机偶尔出点小毛病没有外音闹钟。昨天特地跟前台说早上7点叫醒服务，确认2次…今天早上还是根本没有叫，幸好隔壁起来吵醒了，不然考试迟到了。', '短评打分': 4}
{'短评内容': '脑子进水了，订了这家店，周边什么也没有，全是工地，而且，一进房间就一股下水道的味道，然后想洗澡，没热水，问什么时候有，说马上修，等到晚上12点还是没热水，只好睡觉了。第二天起来一问，根本就没修，回答说白天肯定修好。真能忽悠。太差了。果断退房，再不来了。', '短评打分': 1}
{'短评内容': '酒店服务不错，晚餐早点一应俱全！', '短评打分': 5}
{'短评内容': '设施齐全，环境不错！', '短评打分': 5}
{'短评内容': '还不错，酒店很干净，服务也很好。帮客户订的，离客户公司近，打车也方便。酒店设施也不错，咖啡茶包都有！', '短评打分': 5}
{'短评内容': '很好的酒店。                                             好！', '短评打分': 4}
{'短评内容': '周围什么都没有，酒店还行。', '短评打分': 4}
{'短评内容': '如果要出行，最好门口坐公交车2站然后换乘出租车，门口打车很困难。', '短评打分': 4}
{'短评内容': '还好，不错都是挺满意的，一次次都是入驻这里', '短评打分': 4}
{'短评内容': '设施齐全。早餐供应有点晚', '短评打分': 5}
{'短评内容': '你直接说是一下吧台的话，可是美女，值得关注', '短评打分': 4}
