{'短评内容': '好差', '短评打分': 3}
{'短评内容': '非常舒服，下次继续预订', '短评打分': 5}
{'短评内容': '没早餐，风景不错，隔音一般，有停车场，洗澡要放十分钟的水，十月份来的天气不错，不用开空调，没有网络，无线信号一般！', '短评打分': 4}
{'短评内容': '没早餐，风景不错，隔音一般，有停车场，洗澡要放十分钟的水，十月份来的天气不错，不用开空调，没有网络，无线信号一般！', '短评打分': 4}
{'短评内容': '酒店真的很多年了，附近有个大的停车场，但是酒店里面的设施真的觉得对不起这个价格，这是最无语的一次，房间的灯居然是一个旧旧的台灯（如图片）但是旁边有没有什么住的地方，', '短评打分': 3}
{'短评内容': '设施旧', '短评打分': 3}
{'短评内容': '装修比较旧，老式小电视，蚊子多，淋浴水压底。周边饮食方便，公园多，离广科近。', '短评打分': 4}
{'短评内容': '因为在科技学院考试，所以选在了那里，老牌的三星级酒店，设施比较陈旧了，需要更新换代才能适应社会发展了', '短评打分': 5}
{'短评内容': '方便', '短评打分': 4}
{'短评内容': '酒店建成时间较长，需要重新装修了', '短评打分': 4}
{'短评内容': '比较有历史的酒店，距离市区有点远，但周围环境不错。', '短评打分': 4}
{'短评内容': '离办事的地方近，很方便。很好。', '短评打分': 5}
{'短评内容': '还不错的', '短评打分': 5}
{'短评内容': '服务态度特别好  环境很好   非常满意', '短评打分': 3}
{'短评内容': '不错！以后还去住不错！以后还去住不错！。。', '短评打分': 3}
{'短评内容': '东莞的老酒店，设施很久，房间有点味道，但环境很好，空气很新鲜，适合度假。', '短评打分': 5}
{'短评内容': '酒店面积超大，而且很安静，就是比较久！', '短评打分': 5}
{'短评内容': '性价比高！好！', '短评打分': 3}
{'短评内容': '服务很好~~环境幽静~~交通方便\n设施就是旧了一点', '短评打分': 5}
{'短评内容': '环境一般，设施有点老。唯一的好处是周围的景色很好，地处东莞植物园、西湖公园附近，这点所谓优势其实算不上优势。', '短评打分': 1}
{'短评内容': '服务态度超差！！！原本订的是南苑别墅，可是那房间超差，去到灯也不开，路灯也不多，叫了服务差不多要半小时才过来服务，后来要求换房，给的房间连宾馆房间都不如，花了248元住了一间像杂物房一样的房间，厕所马桶是坏的，地毯上有花生壳，垃圾！！真是太过份了！我要求退款！！！严重货不对版。垃圾酒店！！有这样待客之道的！！退款！！', '短评打分': 1}
{'短评内容': '环境好，酒店装修旧了，需重装', '短评打分': 3}
{'短评内容': '酒店很舒服！', '短评打分': 3}
{'短评内容': '西湖大酒店，房间太旧了，环境太差，不过绿化环境还行，建议进行改造翻新。', '短评打分': 1}
{'短评内容': '位置有些偏，环境还行，房间硬件齐全，就是有些陈旧，服务挺好，卫生不错，其他都比较一般的', '短评打分': 3}
{'短评内容': '环境很好，房间硬件很不错，服务还行，位置挺好的，出行比较方便，住着挺舒服的', '短评打分': 5}
{'短评内容': '这边有山有湖，住这里环境挺不错的，地方也很大，有一些休闲的娱乐，算是一个小型的度假村，周边空气蛮清新的，环境很好', '短评打分': 5}
{'短评内容': '服务还行吧，住宿环境不错，性价比较高，出新方便，下次还会住的', '短评打分': 5}
{'短评内容': '这个酒店位置不错，在西湖世界边上，去哪都很方便，房间卫生条件很好，干净整洁，服务到位，性价比还行', '短评打分': 5}
{'短评内容': '大厅装修的比较气派，附近环境好，蛮安静的，地理位置不错，出行很方便，房间硬件齐全，卫生条件还是挺好的', '短评打分': 5}
{'短评内容': '床品和卫生间都打扫的很干净，住宿环境不错，房间硬件齐全，服务很好，价格能低些会更好的', '短评打分': 5}
{'短评内容': '房间硬件齐全，服务很好，卫生i条件不，住宿条件还可以', '短评打分': 5}
{'短评内容': '酒店装修的有些陈旧，房间卫生条件还可以，比较干净整洁，服务不错，周到热情，住宿条件还可以的', '短评打分': 5}
{'短评内容': '价格有些偏高，房间布置的比较温馨，住着挺舒服，服务还可以，需要什么东西，他们很快就会给拿过来，位置不错，交通出行还算方便', '短评打分': 5}
