{'短评内容': '吃饭购物方便', '短评打分': 5}
{'短评内容': '酒店离市场很近，吃饭购物方便。', '短评打分': 5}
{'短评内容': '还行吧，设施旧了点', '短评打分': 4}
{'短评内容': '停车方便，酒店在商业地段，方便！', '短评打分': 5}
{'短评内容': '位置处于市中心，酒店环境好，停车方便，设施齐全，卫生干净，温泉水很舒服，比较有安全感，性价比高，值得推荐！', '短评打分': 5}
{'短评内容': '卫生间的玻璃门感觉不习惯', '短评打分': 4}
{'短评内容': '房间小，床也小，退床时，毛巾有点灰还要赔', '短评打分': 2}
{'短评内容': '去的时候后正赶上泼水节，酒店价格偏高。酒店位置不错，周围吃饭购物方便，距离客运站不远。是当地的老酒店，设施偏旧。总体还不错。', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '还不错 可以是瑞丽比较好的酒店了', '短评打分': 4}
{'短评内容': '酒店位置很不错适合喜欢逛街的朋友，我们住的是便宜房间！！！', '短评打分': 4}
{'短评内容': '位置好，但设施有点老，总体性价不足。', '短评打分': 4}
{'短评内容': '环境可以，交通方便，就是房间设施有点陈旧。', '短评打分': 5}
{'短评内容': '位置好，停车方便，周边吃饭方便', '短评打分': 3}
{'短评内容': '酒店服务态度好，我们到了主动帮我们拿行李', '短评打分': 3}
{'短评内容': '房间算干静，卫生间是玻璃门透明的，如果有客人来而你又要去洗手间，那么只有叮嘱客人别动', '短评打分': 5}
