{'descr': '。。。。。可以吧', 'star': 5}
{'descr': '还行', 'star': 4}
{'descr': '一般般，离北邮很近', 'star': 5}
{'descr': '一般般，离北邮很近', 'star': 5}
{'descr': '酒店环境很好，很温馨，', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '在学校附近应该是最好的卖点了吧。没WiFi，没热水，床单不干净，隔音还差。但是凑合住吧，马上要走了', 'star': 3}
{'descr': '酒店', 'star': 3}
{'descr': '空调不热，下水道堵塞，洗澡水放十分钟才热，屋里早上起来巨冷，一次性拖鞋收费，烧水壶坏的，镜子前没有灯，屋子太小', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '价格实惠，家人比较满意', 'star': 4}
{'descr': '很一般房间特别小，地方在北邮旁边还比较好找', 'star': 4}
{'descr': '不错，环境什么的', 'star': 5}
{'descr': '圆床有点习惯，还有就是离走廊太近，只用帘子挡着有点没安全感', 'star': 5}
{'descr': '楼房很大，房间很小，室内干净，余味难消，地面积水，也难下水，卫生条件一半以上，服务态度一半以上，电脑虽有，不能开机', 'star': 4}
{'descr': '有免费的早餐，但是要记得晚上在前台登记。室内比较潮湿', 'star': 5}
{'descr': '交通有点不方便,其他性价比不错,房间比较温馨.', 'star': 5}
{'descr': '条件不错~', 'star': 3}
{'descr': '环境还可以，各地的风格都差不多，没窗子。', 'star': 3}
{'descr': '酒店很好~虽然房间有点小，但是看起来很有格调，也很安静。\n感觉和连锁酒店差不多，性价比也比较高。', 'star': 5}
{'descr': '房间装饰狠浪漫，没有窗户，不看表根本不知道白天晚上，被子太厚了，像是冬天的。', 'star': 1}
{'descr': '酒店还可以,位置不错，帮朋友订的，下次还会推荐这里。', 'star': 5}
{'descr': '没有窗户，室内较潮，有点异味，得开空调才行', 'star': 5}
{'descr': '好小的房间 好坑人的装潢 说是KTV也绝对有人信 更坑人的是我的床对着一个大大的玻璃 这个玻璃不是窗户 对着过道的 酒店用一块大红布遮住 红布没有固定 很容易就飞起来 房间号713 大家小心了', 'star': 1}
