{'短评内容': '凑合吧 呵呵呵呵呵呵', '短评打分': 3}
{'短评内容': '因为参加马拉松选择起跑就近的酒店，服务挺无奈的，退房时候服务员很轴，一个房间有人在穿鞋，其他要退房的就得在后面干等着！服务员怕乱了！我不明白有什么会乱的？你可以不结账，让查房的大姐先查房，这样也可以节省大家的宝贵时间啊！早上4点多就起了，退房耽误半个小时！', '短评打分': 1}
{'短评内容': '电视就两台还都是雪花，晚上去周围一片漆黑，好像进了山区的感觉，空调哇(⊙o⊙)哇叫，水管滴嗒嘀，一共就两个插座还有一个坏的，床垫质量差，被子又潮又霉，一晚上没睡好', '短评打分': 3}
{'短评内容': '环境不错 价格相对来说也还不错 离景点也很近 前台的服务态度很好 房间门是密码的比较安全 唯一不足房间有点潮 可能是地理位置的缘故吧 总体比较满意', '短评打分': 5}
{'短评内容': '好，安静', '短评打分': 5}
{'短评内容': '周边晚上很黑，屋内设施陈旧，电视信号不好。wifi信号差，唯一好处离避暑山庄近。', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '干净整洁，环境也比较安静！服务很好。空调，热水，wifi都有。酒店后面是大医院，门口有很多出租车和公交车，交通便利。 我住的房间wifi很弱，连哪个都很弱！电视收的频道非常少只有三个，淋浴喷头和马桶盖都是坏的。 住在二楼，窗外楼下正对着的垃圾回收处。。。', '短评打分': 3}
{'短评内容': '房间卫生还好，设备有些旧了，服务也还好，地点距离普宁寺（大佛寺）很近，步行即可。周围餐饮不是特别多，距离山庄的繁华地区大概不到2公里。是部队医院的招待所。', '短评打分': 4}
{'短评内容': '靠近山的位置，比较阴冷。酒店设置超级老旧。凑合住一晚。', '短评打分': 3}
{'短评内容': '值', '短评打分': 5}
