{'短评内容': '还行！价格不贵，设施还不错，大床比标间要好', '短评打分': 5}
{'短评内容': '还可以，就是隔音效果不怎么好，隔壁的电视声都能听见！我只想着重说一下早餐：就餐地点对于一个女孩子来说就有点恐怖了，需要走出四楼的楼外，在三楼与四楼的中间，台阶是露天的，稍有不慎就有可能掉下去的危险，好不容易到了一个类似于工地的小棚子，桌子上放了几个盆子，里面装着茶叶蛋、咸菜等等，别说食欲了，就连卫生条件都很难达标唉，早餐只好去肯德基喽', '短评打分': 5}
{'短评内容': '在303房间，138元，住了6天，卫生间大，水流量大，洗澡很爽，卫生较好，设施比较新（美中不足的是地毯有点脏）大堂的男性经理和另一位男性前接待很热情，楼层的服务员大姐也挺好的，能及时解决客人的问题，但是女前台稍冷，太“酷”，不够热情。早餐一般，有2个热菜，2个凉菜，我只吃过2、3次，位置不错，吃烧烤、去好又多、坐公交车都可以，住到第4天蚊子来袭，被咬的够呛，很毒的蚊子，买了药擦了到现在还没好（房间', '短评打分': 5}
{'短评内容': '电脑很有霸气啊， 搞得我都不敢用。。。。。。。', '短评打分': 5}
{'短评内容': '没有什么明显的优点也没什么缺点。那个电脑和电视的结合体无比霸气啊，后悔带着本本去了。', '短评打分': 5}
{'短评内容': '网上选了好久决定入住，事实证明选择没错，3月3日入住 酒店干净，无味，屋子很暖和，酒店是新建的老板说电话马上就安上。酒店免费早餐很丰富，周围皮草行很多，隔条街整个是一个烧烤城。交通还是很方便的。希望酒店能永远保持现状再接再励。', '短评打分': 5}
{'短评内容': '总的来说酒店还是不错的，但是店长就不干恭维了，我和前台已经定好第二天的房间，却被第二天上班的店长给否定了，交涉了很久很是生气，希望以后提高你们酒店的服务。', '短评打分': 1}
{'短评内容': '房间装修得简约、时尚，很人性化，热水大、暖气足，感觉有家的感觉，服务员态度非常好，就是早餐主食品种少些，不过有鸡蛋代替，卫生间洗浴水下的有得慢是个小瑕疵，可是这价格与服务、住的感觉比起来，性价比还是蛮高的，下次还会再来的，也会向身边的朋友们推荐的。', '短评打分': 5}
{'短评内容': '附近饭店很少，吃饭有点不太方便。房间很新，也很暖和，卫生间地漏不好使，洗澡水半天排不出去', '短评打分': 1}
{'短评内容': '感觉性价比不错 而且地理位置较好 但是 订的是大床房 靠近路边 有点吵 就感觉这是一点小瑕疵 下次订标间可能会好些 布置什么的都很满意 卫生间也不错 感觉很好', '短评打分': 5}
{'短评内容': '房间超大，地点离中央大街打车9元左右，电视42寸的，不足就是浴室是透明玻璃的，私密性差', '短评打分': 5}
{'短评内容': '宾馆刚建成两个月，我在网上找了很久才找到这个既干净又便宜的宾馆，我们是大年初五入住的，中央大街上的宾馆都特别贵，中加宾馆位置离火车站和中央大街都不远，从马迭尔宾馆打车到这儿只要9元钱。房间很干净，很暖和，早餐很丰富，价格便宜，性价比很高，以后上哈尔滨还来这家宾馆住。', '短评打分': 5}
{'短评内容': '中加宾馆离市中心较远，装修较新，房间较小，标间有大小床，暖气超暖，厕所有异味且只有玻璃间隔，价格低廉，物有所值。', '短评打分': 3}
{'短评内容': '位置真的不错，房间超级暖和，网速也很快，挺干净的，房间贴的花印墙纸很温馨，住的是标间唯一美中不足就是网线不能接自己的电脑（自带接的是酒店的电视所以显示器是超大的哦呵呵），我也发现一个问题周围饭店并不少主要是能吃到特色或是干净卫生的比较少，从火车站打车过来也就起步价，位置在承德街和南极街的交口处。', '短评打分': 5}
{'短评内容': '确实不错 比7天好 住的双床标间 一大一小 很干净 早餐不好 不过房价便宜 总体不错', '短评打分': 3}
{'短评内容': '我们己按所订房(休闲房2.大床房2)入住中佳宾馆.\r\n 该宾馆位置适中.干净.卫生.性价比高.', '短评打分': 3}
{'短评内容': '交通方便  去火车站和中央大街都挺近  就是附近饭店少  ', '短评打分': 5}
{'短评内容': '非常好的一家酒店，才开业不久，很干净，打扫很及时。非常的暖和，澡水也很热。服务人员也很热情。我们住的是标准间，两张床一张一米二，一张一米五，一家三口住都没有问题。非常适合旅游和出差。地理位置也很好，火车站有直达的公交车，机场大巴3号线在南极街下来，离他不过500米。虽然是在道外区，但是离中央大街不过4、5站路，打车也就十一二块钱。', '短评打分': 5}
{'短评内容': '服务好 环境也好 房间很干净 位置地点也很不错交通方便~', '短评打分': 5}
