{'descr': '房间有点小，总体还不错', 'star': 3}
{'descr': '还好吧，就是位置有点难找，枕头不舒服！', 'star': 3}
{'descr': '酒店环境一般，房间小，而且大厅乱糟糟的，不知道是服务员还是什么人，一会在前台一会在休息区大声说话，服务还很一般。\n', 'star': 1}
{'descr': '临时选的酒店，大床房，房间有点小！快捷酒店，还说得过去！', 'star': 5}
{'descr': '酒店很好很干净，交通便捷，就是有点难找，在苏州河边上', 'star': 5}
{'descr': '地理位置不错 \n环境比较干净 \n但是房间比较小', 'star': 5}
{'descr': '虽然出行不是很方便，但是酒店还可以………………', 'star': 5}
{'descr': '房间干净整洁，价格实惠，地理位置方便，服务态度好，特别是有位实习生', 'star': 5}
{'descr': '价格实惠，房间干净整洁，地理位置不错，服务态度好', 'star': 5}
{'descr': '价格实惠，服务态度好，房间干净整洁，地理位置也还可以', 'star': 5}
{'descr': ' 位置好 服务一般', 'star': 3}
{'descr': '酒店比较新，还有比较明显的装修味道。\n上一位客人离店后，卧具明显没有更换。', 'star': 5}
{'descr': '环境不错，服务态度也很好，处在市中心旁边。', 'star': 5}
{'descr': '新的酒店，电梯要刷房卡才能进入，虽然是经济型酒店，但保证了客人的私密性，很好。', 'star': 5}
{'descr': '环境挺好的   挺干净,就是有点难找.总的来说挺好', 'star': 5}
{'descr': '住房条件一般，有蟑螂，卫生要改善', 'star': 3}
{'descr': '酒店服务一般地理位置不错', 'star': 3}
{'descr': '很不错，位置较好，房间面积很大，很安静，只是刚入住时可能因为服务人员疏忽，有一个床的枕套没有更换。', 'star': 5}
{'descr': '不错的经济型酒店，干净，卫生间还可以，没味道，就是房间比较小，没有壁橱。服务还可以，出行比较方便，下次还会入住。', 'star': 5}
{'descr': '第一次住锦江之星，令人惊喜。房间非常干净整洁，布局合理，周围有超市，步行街，吃饭的地方有很多选择，而且交通还挺方便的。以后去都住他家了，最重要的是价格便宜', 'star': 5}
{'descr': '地理位置非常好，离外滩不远，属于上海的黄金位置。离火车站也还是比较方便的。酒店大堂和房间的卫生挺干净的，服务员态度也还行。随叫随到。酒店的餐厅味道不错，可以吃较满意的自助餐。这是一家连锁的高级酒店，设施很新。电视是是液晶电视，宽带网速也很快。\n\n', 'star': 5}
{'descr': '地理位置非常好，离外滩不远，属于上海的黄金位置。离火车站也还是比较方便的。酒店大堂和房间的卫生挺干净的，服务员态度也还行。随叫随到。酒店的餐厅味道不错，可以吃较满意的自助餐。这是一家连锁的高级酒店，设施很新。电视是是液晶电视，宽带网速也很快。\n\n\n', 'star': 5}
{'descr': '安排的是靠马路的位置，一大早就被车子声音吵醒，而且里面的卫生设施比较成旧，只有花洒没有喷淋，热水也不是很热，水龙头里只出冷水没有热水', 'star': 1}
{'descr': '综合还不错。.......................', 'star': 5}
{'descr': '地理位置优势！服务态度很好！房间干净卫生！', 'star': 5}
{'descr': '離市中心商場很近.方便.服務还可以.價格好', 'star': 5}
{'descr': '锦江之星西安大路店干净整洁服务热情交通方便快捷', 'star': 5}
{'descr': '酒店地理位置优越，靠近商业街，交通便利，店内环境不错，房间干净整洁，总体感觉满意。提点意见：上下电梯都要刷房卡不太方便。', 'star': 5}
{'descr': '酒店地理位置还不错，出行方便。房间很干净、整洁。设施也较新。唯一的缺憾是淋浴房太小', 'star': 5}
{'descr': '干净整洁', 'star': 3}
{'descr': '主要喜欢这个位置，距离南京路和外滩都很近，出行比较方便！！', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '内容', 'star': 3}
{'descr': 'G干净,位置好,餐厅不错.早餐15元很不错，服务热情。', 'star': 5}
{'descr': '比想象干净，尤其餐厅及菜谱非常满意，早餐丰富，晚餐菜单丰富，味道好\n', 'star': 5}
{'descr': '锦江之星的品质还是有保证的，让人很舒心的酒店。', 'star': 5}
{'descr': '舒适的卧具，贴心的服务，值得信任。', 'star': 3}
{'descr': '很巧,与上次一样的房间.服务不错,.就是没有衣柜,,不过很方便.下次再来把', 'star': 5}
{'descr': '出差的选择，交通方便。价格合适。网络也还不错', 'star': 5}
{'descr': ' 地理位置较好,房间小且设施简单,无衣柜.', 'star': 3}
{'descr': '酒店还是不错，就是旧了些！', 'star': 3}
{'descr': '酒店内部整体环境不错，设施新、齐全，床上用品很舒适，服务员服务态度也不错。\n', 'star': 5}
{'descr': '好地方', 'star': 3}
{'descr': '这个酒店地理位置还可以，交通方便，我们住的是商务大床房，房间大小还合适，不过地毯没有，以这个价位的酒店来说一般地毯都有的，电视频道太少，只有5个频道，有点郁闷的，下次不考虑光顾了...', 'star': 1}
{'descr': '房间内的设施比较舒适，安静，服务质量比较好。', 'star': 5}
{'descr': '服务态度好，服务质量好，安静，交通方便，距离火车站较近。', 'star': 5}
{'descr': '交通方便，服务态度好，到火车站和南京路都很近，环境好，不喧闹。', 'star': 5}
{'descr': '进屋就看到好大一只蟑螂！我们赶紧换了一间房。纯粹是为了离火车站近。', 'star': 1}
{'descr': ' 房间很干净，能上网。位置不错，离地铁很近，很方便。性价比算不错的。', 'star': 3}
{'descr': '房间并不大，比起别家格林豪泰的面积感觉小了一点，可能是地段的关系，靠近南京西路，交通方便，去人民广场打车5分钟，不行15-20分钟就可以走到。', 'star': 5}
{'descr': '环境和设施都还好，有些房间靠近马路，有些吵。', 'star': 5}
{'descr': '干净舒适，美中不足的是，早上门口走廊上清洁阿姨、住客走动声音很吵。', 'star': 5}
{'descr': '这里挺干静，交通也很方便，店面很好找。', 'star': 3}
{'descr': '不错', 'star': 3}
