{'descr': '位置挺偏的，门口有公交车，离地铁站略远。', 'star': 5}
{'descr': '酒店位置很不好找，找了半个小时找不到走路走好远，怪不得价格便宜', 'star': 1}
{'descr': '隔音一点都不好， 房间和房间之间就是一块木板隔着。 而且房价很不合理 ，这是我住过的最差的酒店 。房间特别小，我再也不会去这家 给钱也不去，太垃圾了。', 'star': 2}
{'descr': '这家店更贴切的名字应该叫旅社。一家五口定了两个房间，标准双人间和特价双人房，以为标准的会好些，入住后发现原来一样。基本零差别，窗户效果如图。就是一面死墙。屋里憋屈不说，一股味啊，又潮又臭。图中的脏乱还有好几处都不忍上传，厕所门一拉就吱呀呀的大响，把熟睡的大人都给弄醒了。住过很多家速8和连锁其他酒店，这只能算旅社。而且旅社中都算不上好的。', 'star': 2}
{'descr': '全家四口人出门，定了一套特价双人房和标准双人房，标准双人房比特价一晚多20元。以为会有不同，结果入住后发现一个内部完全模样，房间面积也没有差别。唯一差别是标准双人洗簌用品是六件套小盒装“梳子、洗发露、沐浴露、肥皂、牙刷、牙膏”而特价房这些物品是以零散的状态出现的。标准房连瓶矿泉水都没有！再说下酒店环境，如其他网友所说，是我住过的连锁酒店中最差的。边角污渍到处是。地板磨没皮了。酒店坐落在火车道旁，火', 'star': 4}
{'descr': '挨着天坛公园很近。室内环境也不错。唯一不满的给前台打电话问地铁坐到哪一站。她说坐到静态站。走十几分钟就到。结果我们走了快半个小时才到。个人建议坐车到蒲黄榆站。出地铁门口就有公交。坐到天坛南门站下车。希望对即将出行对你有帮助。', 'star': 3}
{'descr': '环境挺好的服务也很好', 'star': 5}
{'descr': '还行吧 一般般', 'star': 5}
{'descr': '给同事们订的房间，反馈说挺好，性价比高。', 'star': 5}
{'descr': '和家人外出办事，在城里住一晚，这个价位也值了', 'star': 4}
{'descr': '整体不错，每次都选择', 'star': 4}
{'descr': '临近铁路非常吵，其他都还行吧', 'star': 3}
{'descr': '酒店一般，电话是坏的，位置不好找', 'star': 3}
{'descr': '床还不错，但是空调和其它设备略老旧，总体来看这价位也差不多啦~勉强好评', 'star': 4}
{'descr': '总体不错，每次都选择这个地方，离天坛医院近，方便', 'star': 5}
{'descr': '总体来说还可以', 'star': 4}
{'descr': '一般，与描述不符，不推荐。。。。。。。', 'star': 2}
{'descr': '总体不错！还行！~环境不错', 'star': 5}
{'descr': '感觉还好', 'star': 3}
{'descr': '性价比比较高的快捷酒店 就是周边有些吵 其他都不错', 'star': 5}
{'descr': '近邻南二环 交通什么的比较方便 就是停车的地方比较小 去晚了就没地方了', 'star': 5}
{'descr': '建议房间内安装电脑，环境还可以，离天坛医院很近。', 'star': 5}
{'descr': '环境还可以,隔音不太好,房间内要是有电脑就好了.', 'star': 3}
{'descr': '其实不是很满意酒店，不过要是去天坛医院这里很方便，下次去天坛我还是会去住的', 'star': 5}
{'descr': '我住高级大床房，房间有一种异味，而且房间的床弹簧很硬，很不舒服。设施非常不全，比如浴帽，卫生纸，吹风机等。', 'star': 1}
{'descr': '交通还算便利，服务态度很好，有免费的停车场，停车场紧邻道路，进出也很方便，推荐给有需要的朋友们\n', 'star': 5}
{'descr': '不熟悉很难找的到，整体有异味，晚上比较吵', 'star': 3}
