{'短评内容': '卫生间换气扇坏了，踩死了二只蟑螂', '短评打分': 3}
{'短评内容': '早餐很普通，粥和馒头包子之类的，不是自助。位置有点偏，不大好找。有停车场。不知道能不能加床。适合带孩子。不过相对价格来说很实惠。', '短评打分': 5}
{'短评内容': '国庆节来的，酒店位置还行，空气不错。设施比较旧了，农家乐的设施，卫间一般。早餐比较简单，能吃饱。国庆节这个价吸有这样子了', '短评打分': 3}
{'短评内容': '房间跟价钱不成正比       还不如100多元的快捷酒店', '短评打分': 2}
{'短评内容': '过节去玩的 房价有点贵 环境很一般 但是饭菜还不错', '短评打分': 3}
{'短评内容': '感觉比较旧了，服务态度还好！', '短评打分': 3}
{'短评内容': '国庆岀游，酒店还行，位置稍远。', '短评打分': 5}
{'短评内容': '这次到三清山旅游，晚上到的，在他那里吃饭，叫了一个土鸡，80元一斤，鸡重4斤4两进去加工，出来就剩一斤一两了（切碎以后无法取证），缺斤短两严重。建议大家这家魔术店最好不要去了，太可怕了。', '短评打分': 1}
{'短评内容': '酒店在山里，蚊虫较多，设施有点老旧。酒店环境还行，离景区挺远，酒店不好找！', '短评打分': 4}
{'短评内容': '下次还来住，非常不错', '短评打分': 5}
{'短评内容': '楼梯房，离超市比较远。', '短评打分': 4}
{'短评内容': '还是可以的，态度热情！', '短评打分': 5}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '第二次选择这个宾馆就说明了其服务质量硬件设施均是物有所值，推荐来三清山的朋友优先选择，重点是卫生干净，环境优雅安静，服务太度好！', '短评打分': 5}
{'短评内容': '环境优美安静，房间干净整洁，服务热情周到，适合喜欢幽静安逸的旅行者居住', '短评打分': 5}
{'短评内容': '可以走去三清山，我们10.1去的，也没有堵路，也就是平时根本不必住这里，住远一点，可以便宜很多。这间酒店应该是在携程上花钱排名的，一路上可以看到比这间好很多还便宜很多的酒店，如果是自驾，可以考虑住得离三清山有几分钟车程的酒店。这里贵价还环境差，一早去爬山的客人吵死了。不值得推荐，因为附近有很多更好的酒店，查了价格比这里便宜又好', '短评打分': 3}
