{'短评内容': '发票要另收钱', '短评打分': 2}
{'短评内容': '脏 不会再住了', '短评打分': 2}
{'短评内容': '服务不好', '短评打分': 4}
{'短评内容': '没有早餐周边车辆有点少', '短评打分': 4}
{'短评内容': '性价比比较高，虽然房间装修时间比较早了，有些久，但床单被罩什么的都很干净，住着比较舒服，停车也比较方便。', '短评打分': 5}
{'短评内容': '配送速度快，配送员态度也非常好。', '短评打分': 5}
{'短评内容': '还行，卫生设施都可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '一般吧，不是尚客优的风格', '短评打分': 3}
{'短评内容': '开发票另外还要收税点！！！', '短评打分': 2}
{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '交通方便而已', '短评打分': 4}
{'短评内容': '酒店一般，设施旧，周边偏僻，什么都没有。本来携程定了两间豪华标间，还做了担保，到酒店居然没有，携程答应赔付，但还没收到赔付的钱。', '短评打分': 3}
{'短评内容': '房间蛮大的，还行以后来还住，价格有点高', '短评打分': 3}
{'短评内容': '不错的选择，价格还行。可以信赖。', '短评打分': 5}
{'短评内容': '服务良好，环境尚可，交通方便，', '短评打分': 5}
