{'短评内容': '房间很大，很安静，就是稍微偏僻点', '短评打分': 5}
{'短评内容': '离公司近，别的都没法说。', '短评打分': 3}
{'短评内容': '房间干净卫生', '短评打分': 5}
{'短评内容': '房间干净卫生', '短评打分': 5}
{'短评内容': '酒店位置不错，出行方便，酒店的服务很热情，房间收拾的很干净，是商务出车的好选择，酒店早餐很丰盛，品种多', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '离要去的地方很近。周围是住宅区，很安静。边上有地铁站很方便。', '短评打分': 5}
{'短评内容': '床大，够大，真大，带孩子去很合适。', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '不是特别好找，比较安静。标间的两个床都很大，不错。', '短评打分': 4}
{'短评内容': '离公司近，酒店还可以，设施有些老，周边环境一般', '短评打分': 4}
{'短评内容': '酒店其实还可以，就是不好找', '短评打分': 4}
{'短评内容': '位置不好找，有点偏僻。整体还不错。', '短评打分': 5}
{'短评内容': '设施可以，价格稍贵', '短评打分': 4}
{'短评内容': '条件一般，性价比不高。', '短评打分': 3}
{'短评内容': '前台服务员工作素质需要提高，特别是哪位负责的。', '短评打分': 1}
{'短评内容': '酒店的设施还是差，床睡得不舒服。', '短评打分': 3}
{'短评内容': '地方偏僻，靠近小河，意外的安静。楼下走的时候可以听到唱卡拉OK的声音，但是房间里什么都听布道。\n很多司机找不到地方，但是考虑到北京司机多半找不到旅馆，这也不是什么特别不方便的事。\n早饭花样极少且居然7天没有换过菜单！\n服务不错。东西干净且更换及时。', '短评打分': 5}
{'短评内容': '酒店干净，很静休息很好，早餐单调，打车实在不方便', '短评打分': 5}
{'短评内容': '性价比不错,卫生干净,打车不太方便,开发票机器坏了,还要再来一次', '短评打分': 5}
{'短评内容': '交通不便，房间不错，位置非常难找，打车也不方便', '短评打分': 1}
{'短评内容': '早餐太差，品种少，添菜不及时，住宿条件尚可，但房间有些小。', '短评打分': 1}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '房间挺大,装修不新.服务挺好,早餐不行.建议旅游或自驾车朋友可入住,因打车挺难.总体评价尚可.', '短评打分': 5}
{'短评内容': '性价比高，比较满意，以后还会选择入住这家酒店', '短评打分': 5}
{'短评内容': '位置太差，价格也不便宜，打车不好打，服务态度一般，设施比较差。', '短评打分': 1}
{'短评内容': '酒店太偏了！性价比不是很高。宾馆内部设施还不错吧！！！', '短评打分': 5}
{'短评内容': '房间较大，早餐品种多，卫生不错。\n交通不太便利，不大好找。', '短评打分': 5}
{'短评内容': '位置很好，四环惠新东桥北，出行很方便，去往机场高速、京承高速很方便，离鸟巢也不远，周边环境很好！餐饮方便，适宜商务、旅行！', '短评打分': 5}
{'短评内容': '不错的，房间也不小。环境也好，新。有自己的停车场，最好了这个。', '短评打分': 5}
{'短评内容': '酒店设施还可以。就是太靠里了，太不好找了！灯的开关是触摸式的，还是很不错的！', '短评打分': 5}
{'短评内容': '服务不错，朋友过来玩介绍过去的，旺季找到这个地方不容易。', '短评打分': 5}
{'短评内容': '第一晚入住还行，可是白天我们出去玩，上午十点到晚上十点回来，房间都没有打扫，一切该配备的东西都没有配送，请打扫的牌子挂在门外十二小时没人理睬，隔天服务员居然说没看见，也没见到酒店经理，前台说帮忙联系，据说会给减几十块钱，对网上会员预定价都要388的所谓', '短评打分': 1}
{'短评内容': '房间比较宽敞，比较大，卫生条件不错，打扫的很干净，也可以上网，网速还可以，总体感觉住宿条件很好', '短评打分': 5}
{'短评内容': '位置比较偏僻，如果是自驾游，那么这里能停车还算不错。', '短评打分': 5}
{'短评内容': '安排很好', '短评打分': 5}
{'短评内容': '房间舒适，安静是优点。\r\n有两点不足：\r\n1、位置比较偏，叫车有时叫不到，到外边路上打车很难打；\r\n2、住了一晚上，下午离店在前台办理手续时被告知房间里少了两条擦脸的方巾，虽然最终在我的坚持之下没有收费，但让人很不舒服。看来以后住酒店，每天服务员收拾完了之后，住店的客人还要自己清点一下，以免发生纠纷！！\r\n', '短评打分': 1}
{'短评内容': '除了位置比较偏僻难以找到外，其他的都很不错~酒店比较新，晚餐在餐厅吃的，厨师手艺不错。位置比较偏，但是去过一次后就会发现其实挺好走的，就是路比较窄，旁边有个公交车终点，有两趟公交车。旁边是个河沟，附近到是挺安静的。性价比很好啊！推荐大家去！', '短评打分': 5}
{'短评内容': '挺安静的酒店，但是打车不是很方便', '短评打分': 5}
{'短评内容': '交通不便 该给的游泳馆和健身票不给', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '给3颗星吧，总体还不错。以貌似348的豪华标准间（奥运3500RMB）当作例子&lt;br /&gt;\n浴室水很大，房间比较大。&lt;br /&gt;\n除了地段有些偏僻，周围环境还是不错的，高端小区内。&lt;br /&gt;\n离开鸟巢10分钟出租车程，但这个偏僻的地方，交通不便，很少有出租车。&lt;br /&gt;\n说说软件，这地方服务绝对有问题，典型的北京老国企味道。毛巾湿掉了，叫前台加一', '短评打分': 3}
{'短评内容': '酒店本身不错，性价比较高，但外面的路实在是不好走，而且靠近会所的一侧经常音乐震天，比较扰民。', '短评打分': 5}
{'短评内容': '因为是预订的，300的价位入住准四星的，所以给价格打了个高分。环境方面，主要是酒店所在位置太偏了，第一次特别不好找，所以打分低。总之，性价比还是不错的，房间很大，小东西配备得还挺全活，有剃须刀，尽管我没用。', '短评打分': 5}
{'短评内容': '夫妇大', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;离市区太远了，交通不便，在小区的最里面，买东西也不方便，楼下的超市东西太少。去过几次，看重的是房间里环境好，舒适。但现在又把房价提高了25％，太贵，不划算了，不再去了。&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;酒店的确太偏了，早晨与其价格相距太大，幸亏包早餐。酒店内的餐厅让人觉得很恐怖，服务员比客人多，如果点菜肯定无法吃得下，价格简直是要杀人，一个什么铁板牛柳好像要7、8十，每个菜都赶上吃海鲜的价格了。我们两人在外面吃了一顿北京火锅也就80元还包括啤酒。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;住宿还是不错的，房间很', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;这个酒店给人感觉很好。服务员训练有素，服务周到、细致并且很亲切，懂得尊重客人。不像国内有些酒店的服务员，要么一副拒人千里之外冷冰冰的面孔，要么像个喜欢打听别人隐私的侦探。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;这个酒店设施很新，毛巾、床具都很干净，维护得很好。有免费早餐，还可以免费宽带上网。酒店设施四星级，但', '短评打分': 5}
