{'短评内容': '网速，卫生都不行，电视卡的没法看。', '短评打分': 1}
{'短评内容': '老酒店了，设备比较陈旧，唯一觉得强点的是，周围相对热闹点，其他看个人吧', '短评打分': 3}
{'短评内容': '这个酒店估计时间比较长了，里面设施已经不新了，感觉对不起这个酒店的名字', '短评打分': 4}
{'短评内容': '设施陈旧，电视已坏', '短评打分': 2}
{'短评内容': '设备陈旧，没有早餐因为本身就不做，停车不放便。', '短评打分': 3}
{'短评内容': '房间应该装修了', '短评打分': 3}
{'短评内容': '方便干净就是隔音效果差点', '短评打分': 5}
{'短评内容': '干净方便。 就是隔音效果差了点', '短评打分': 5}
{'短评内容': 'okokokokokokokkkk*_vvvvhhhhhhhhhhhhhhhhhhhhhhhhhbbbb', '短评打分': 5}
{'短评内容': '真心不咋滴的酒店！！！！不值！！厕所不干净，马桶盖是坏的，退房速度奇慢！！！对不起国际二字，快捷都好过它！', '短评打分': 1}
{'短评内容': '服务一般，房间很是一般，价格可不一般，物无所值', '短评打分': 3}
{'短评内容': ' 县城里的准四星服务，感觉还不错。', '短评打分': 3}
{'短评内容': '钟祥是个好地方, 人纯朴, 风景美丽, 住宿只能将就了', '短评打分': 5}
{'短评内容': ',酒店硬件设施不错，性价比高', '短评打分': 3}
{'短评内容': '房间整体还可以，就是有点吵，可能我住的那个房间靠马路，隔音效果确实不怎么好。', '短评打分': 5}
{'短评内容': '条件很好，离市中心很近，房间的设施很好，装修的很好，下次还会在入住。', '短评打分': 5}
{'短评内容': '感觉在当地仅次于莫愁湖国际大酒店，位置不错，设施也还可以。', '短评打分': 3}
{'短评内容': '房间硬件设施不错，相关的娱乐休闲设施也方便，卫生间里感觉冷清了点，多点温馨的灯光会更好！！', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 3}
{'短评内容': '还不错的啦。。。。性价比比较高。。。基本满意的，，，，', '短评打分': 5}
{'短评内容': '酒店卫生搞的干净 住的舒适 价格也不贵', '短评打分': 3}
{'短评内容': '房间很大，装修还不错，就是隔音不太好，在房间里面还能听到外面说话的声音，周边便利，下面就是餐厅，客房服务不太人性化，太死板了。', '短评打分': 5}
