{'短评内容': '好哈哈哈', '短评打分': 5}
{'短评内容': '房间、卫生间干净整洁。', '短评打分': 5}
{'短评内容': '房间整洁，设备设施齐全。', '短评打分': 5}
{'短评内容': '……………………………………………………………………………………………………………………………………………………可以', '短评打分': 5}
{'短评内容': '还不错啊，。舒服，干净，卫生。…………………………………………………………………………………………………………', '短评打分': 5}
{'短评内容': '酒店不错，经济实惠，房间大设施也不错，关键楼下的咖啡馆早餐也好，住酒店用早餐还有优惠！', '短评打分': 5}
{'短评内容': '位置好，酒店设施老点，方便', '短评打分': 5}
{'短评内容': '差 感觉几百年没有洗被子了', '短评打分': 1}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '整体还行，就是床头旁边没有插座，不方便，衣架有点少，配的多头充电器挺好的，吹风机也有（我还没退房就把我房间打扫了，床单也抢换新的了，本来还想躺一下的，想想要退房了，还是别动了吧，环保！）', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '都还可以，就是水压太小，洗澡水很小', '短评打分': 3}
{'短评内容': '我就想知道弄个返现怎么就这么难呢，，，酒店还可以把', '短评打分': 3}
{'短评内容': '很好哦，3人间住着也不挤。而且离学校很近', '短评打分': 3}
{'短评内容': '交通方便，也挺干净，房也大，就是离吃的地方比较远', '短评打分': 3}
{'短评内容': '实惠，干净，简洁！\n实惠，干净，简洁！\n实惠，干净，简洁！', '短评打分': 5}
{'短评内容': '环境好，卫生和服务都到位，总体感觉各方面都不错，下次再住价格给优惠些就好了', '短评打分': 5}
{'短评内容': '垃圾酒店,客人没退房,没挂清理房间的挂牌,居然私自进入客人的房间', '短评打分': 1}
{'短评内容': '缺点：酒店房间设施陈旧，没有网络，没一次性拖鞋。优点：交通方便，停车位多。', '短评打分': 3}
{'短评内容': '与网络介绍相符。有停车位。对面有东北人饭馆，挺好的。', '短评打分': 5}
{'短评内容': '喜欢木质的地板，价格较合适。房间也蛮大的，就买东西较难些。', '短评打分': 5}
{'短评内容': ' 喜欢木质地板。', '短评打分': 3}
{'短评内容': '挺好的，比较满意，价格也比较适中，离上邦挺近的，下次还会考虑的', '短评打分': 5}
{'短评内容': '该酒店总体还是不错的。住的是单标房，房间格局不是很舒服。喜欢他们家的床，够舒服。以后还会继续光临！', '短评打分': 5}
{'短评内容': '酒店可以 位置很好', '短评打分': 3}
{'短评内容': '一般般吧！房间感觉比较旧，厕所有股味道，有网口的房间要一百七，不太划算', '短评打分': 3}
{'短评内容': '交通比较方便，离上邦很近，走五分钟就到了。\n但是酒店内感觉很老旧了。。。进房间后烟味儿很大。。。\n总感觉不是很干净。。。', '短评打分': 5}
{'短评内容': '刚入住，感觉不错，性价比很高。', '短评打分': 3}
{'短评内容': '订的是标准单人房：\n\n优点：酒店很干净，房间很大，价格不贵，周边购物商场蛮多的，购买东西很方便；服务态度还好。\n\n缺点：住的是靠路边的房间，有点吵；隔音设备不是很好，隐约能听到旁边房间的人聊天；男友要玩游戏，但经常有人下载，所以网速很差。', '短评打分': 5}
{'短评内容': '环境不错…推荐。', '短评打分': 3}
{'短评内容': '很干净 性价比还是蛮高的 地点也很方便 在低价位的酒店来说还是可以的 还会入住的', '短评打分': 5}
{'短评内容': '服务很不错的酒店，比较认真负责，住宿环境不错，房间干净整洁，下次还会考虑住的', '短评打分': 5}
{'短评内容': '房间里可以上网，蛮方便的，硬件挺齐全，服务不错，周到热情，环境还行，其他都比较一般', '短评打分': 3}
{'短评内容': '卫生方面很好，位置不错，门口就是车站，打车坐车都方便，服务员态度也还行', '短评打分': 5}
{'短评内容': '性价比高，环境好，卫生和服务都到位，总体感觉各方面都不错', '短评打分': 5}
{'短评内容': '很好的酒店，硬件比较齐全，服务好，房间很干净，性价比高', '短评打分': 5}
{'短评内容': '房间蛮宽敞的，布置的很简约，床软硬合适，硬件比较齐全，空调很好使，整体的舒适度不错', '短评打分': 5}
{'短评内容': '酒店还行，服务不错，环境挺好的，比较安静，住着舒服', '短评打分': 5}
{'短评内容': '酒店有自己的停车场，自驾方便，房间硬件齐全，东西摆放整齐，舒适度不错，服务也很到位', '短评打分': 5}
{'短评内容': '酒店位置不错，交通比较便利，房间布置的很简单，不过该有的硬件还算齐全，服务挺好，随叫随到，价格能再低些会更好', '短评打分': 5}
{'短评内容': '环境不错，价格实惠，房间舒适度很好，卫生打扫的干净，下次还会住的', '短评打分': 5}
