{'短评内容': '不错，大品牌值得拥有。做活动买的不错。推荐大家购买。', '短评打分': 5}
{'短评内容': '', '短评打分': 4}
{'短评内容': '早餐一般，其他很好', '短评打分': 5}
{'短评内容': '位置偏了一点', '短评打分': 4}
{'短评内容': '有停车场', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '每次出差都住这里，挺好的', '短评打分': 5}
{'短评内容': '服务很好。只是周边环境一般，没什么餐馆等配套，所加之大庆这边快捷酒店少，所以这家尤为宝贵。', '短评打分': 5}
{'短评内容': '环境不错，服务人员态度也非常好，下次还会入住。', '短评打分': 5}
{'短评内容': '大品牌在哪都好！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '听干净的，服务挺好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '如家服务好，干净整洁，设施齐全，大同小异。晚上很安静，但周边商铺比较少饭店少。', '短评打分': 4}
{'短评内容': '房间很干净！出乎我的意料！我以为这么便宜环境不会好！不愧是如家！没让我失望！', '短评打分': 5}
{'短评内容': '不错，吃的地方离得不远，好找', '短评打分': 5}
{'短评内容': '酒店很干净，服务态度很好，以前出差一直在这家酒店住，大家可以放心去住，网上订票很便宜的', '短评打分': 5}
{'短评内容': '周边没什么可逛的，餐厅还可以', '短评打分': 3}
{'短评内容': '很好 非常干净 服务也很好 满意  以后还会去住', '短评打分': 5}
{'短评内容': '前台服务态度很好 员工素质高 .早餐还可以 .房间宽敞明亮 .设备齐全 .值得推荐  ..', '短评打分': 5}
{'短评内容': '房间安静设备比较新，服务挺好', '短评打分': 3}
{'短评内容': '挺好挺干净', '短评打分': 3}
{'短评内容': '服务态度很好！', '短评打分': 3}
{'短评内容': '还不错。可以的价格合适吧。如家住的都还可以的', '短评打分': 5}
{'短评内容': '不错，碰到的最便宜的如家了，离枢纽站挺近', '短评打分': 3}
{'短评内容': '这个很好。很干净。值得推荐。我觉得比任何同价格的宾馆都好。', '短评打分': 5}
{'短评内容': '位置不错，离车站很近，服务态度也不错，很热情。', '短评打分': 5}
{'短评内容': '服务态度挺好的，也挺干净的，就是稍微有点隔音不还。别的还行。', '短评打分': 5}
{'短评内容': '很干净温馨舒适！以后出门就如家！', '短评打分': 3}
{'短评内容': '这个很不错~ 很干净......新开不久...期待更多的优惠.', '短评打分': 5}
{'短评内容': '不错的去处，住处和早餐挺干净的，就是交通不太方便！', '短评打分': 5}
{'短评内容': '之前预定了保利丰酒店，室内污染十分严重。所以入住如家，感觉像进家了一样。', '短评打分': 5}
