{'短评内容': '有停车场   ！', '短评打分': 5}
{'短评内容': '这个价位这样很不错了', '短评打分': 5}
{'短评内容': '酒店不含早餐。位置还行。周围餐饮店，小吃店不少，生活很方便，还有24小时营业的便利店。原来是浙商酒店，比较古板，现在改99优选店，网上订的最惠房，如果没有了，老板还会免费升级就有窗标间，很不错。', '短评打分': 3}
{'短评内容': '脏，异味', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '各方面不错的，大晚上找了很多', '短评打分': 5}
{'短评内容': '永远不会再去第二次，糖酒会房间太紧张了', '短评打分': 1}
{'短评内容': '比较不错！', '短评打分': 5}
{'短评内容': '入住多次，房间太小，没窗很闷，不怎么隔音', '短评打分': 3}
{'短评内容': '物有所值，性價比高。出遊佳選。', '短评打分': 5}
{'短评内容': '住的特价房，虽然便宜，但是真的很小啊。小到没朋友。床很短窄，一个人睡翻身都要碰墙。', '短评打分': 3}
{'短评内容': '房间很小很温馨，就是厕所没门，洗澡有点尴尬', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
