{'短评内容': '有点旧，没窗户', '短评打分': 5}
{'短评内容': '这是我觉得最坑爹的一次住宿。是看着设施里有游泳池才预定的。结果到了才发现，游泳池不是酒店的，要另外付258温泉票才能去。完全是欺骗！另外，房间没有窗户，特别闷，空间又小，特别不开心的一次住宿。', '短评打分': 4}
{'短评内容': '位置好，有停车场虽然车多，但几次都能找到位置，早餐不错，喜欢他家的粤式早茶，品种多基本就吃这个了。推荐', '短评打分': 5}
{'短评内容': '常住，很好。', '短评打分': 5}
{'短评内容': '早餐一般', '短评打分': 3}
{'短评内容': '很舒适，环境很好，性价比极高，值得推荐。', '短评打分': 5}
{'短评内容': '一如既往的好，一直支持！', '短评打分': 5}
{'短评内容': '一如既往的好，一直支持！', '短评打分': 5}
{'短评内容': '酒店很不错 住的很舒服', '短评打分': 5}
{'短评内容': '付款半天都不确认，后来一看原来是要涨价', '短评打分': 5}
{'短评内容': '还不错。就是需要缴纳押金这个不方便', '短评打分': 5}
{'短评内容': '这家酒店是第一次住，价格还可以，服务各方面条件还可以，以后还会考虑住。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '不错单位酒店', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '还不错了，位置好', '短评打分': 5}
{'短评内容': '周六入住的好特热公馆，升级了套房还送了两张温泉套票，酒店工作人员非常热心，酒店环境是中国风很漂亮。下午去了温泉，有游泳池比较严格必须有泳帽才可以游泳，我们就去了边上的温泉，温泉分为3个还有一个鱼疗池都体验了一下。男女各自有温泉也有干湿蒸面积大不显得人多。晚餐是5点半开餐赶上六日人比较多给早占地或者晚点再吃，吃的东西不错样式多。以后有机会带父母一起去。', '短评打分': 5}
{'短评内容': '预付了的房费，携程没给酒店支付，结账时现金支付给酒店。', '短评打分': 3}
{'短评内容': '不知道写啥', '短评打分': 3}
{'短评内容': '干净，服务好，在北京来说算是性价比极高??酒店', '短评打分': 5}
{'短评内容': '设施齐全适合度假，温泉24小时，略有点吵！', '短评打分': 4}
{'短评内容': '不错，交通方便，餐饮不错', '短评打分': 4}
{'短评内容': '感觉还不错', '短评打分': 4}
{'短评内容': '房间还可以，地毯实在是太脏了…', '短评打分': 4}
{'短评内容': '酒店温度不错，床具很舒服', '短评打分': 4}
{'短评内容': '订购含温泉套餐的住宿 可以泡温泉也有免费自助餐 其中自助餐种类丰富 非常值 每次都住这儿  希望经常有这种套餐', '短评打分': 3}
{'短评内容': '有韵味，早餐种类较少，希望增加', '短评打分': 5}
{'短评内容': '这价格是涨了不少，饭菜原料都不错，很可惜雇的一帮混球厨师，把很不错东西都糟践了，灰参都半生不熟，清蒸的鱼就是蒸玩了往上面浇一层大于几毫米的酱汁，鱼腥味根本不给去，所有饭菜大部分不是生了就是咸了。不知道是不是因为潮湿缘故，第三天身上就起了很多湿疹，我是住了两天又在里面泡了三天，感觉温泉好像不是地下水了，因为泡过温泉就应该皮肤光滑。给2分是因为饭菜实在太坑人了，材料好，花样多，可是厨师混蛋。', '短评打分': 2}
{'短评内容': '定的比较急没有640的了只好定了400元的，没有窗户，后墙和走廊就一层薄板走路都能听得见，带小孩一起泡个温泉，你猜怎么着？温泉前台服务员竟然说客人进去一次算一次钱，这不是流氓行为抢劫吗？以前24小时咱不提了，明明规定18小时内有效，而且老子是住店客人也没出你酒店啊？什么能力啊？老板雇佣这种饭桶不砸牌子？还和客人辩论。你当外地老帽进城头一回好欺负啊？愤怒！其他还可以，自助马马虎虎吧。', '短评打分': 1}
{'短评内容': '很高档的酒店，还可以免费去洗浴部那边洗浴和游泳。服务态度很好，一看就知道是受过专门培训的。去洗浴部的时候，偶尔侧着耳朵从他人的谈话中得知，来这里消费的人都是些有层次的人。什么国家信访局的，各地驻京办的。都是些有钱有闲的人。', '短评打分': 5}
{'短评内容': '挂牌四星，装修豪华气派，服务上乘，交通也很方便', '短评打分': 3}
{'短评内容': '酒店不错，床褥很干净，淋浴设施洗漱用品都不错。房间点餐份量很足，价格也不贵。', '短评打分': 3}
{'短评内容': '酒店装修豪华，推荐早餐：该有的都有，很不错！', '短评打分': 5}
{'短评内容': '泡温泉是不错的，据说不是加热的热水；其他的一般，', '短评打分': 5}
{'短评内容': '酒店房间跟洗浴一样，价格贵，说是送门票，其实房价已经带出门票，早餐没有什么东西，价格贵128元，服务一般，卫生一般', '短评打分': 1}
{'短评内容': '各方面还不错', '短评打分': 3}
{'短评内容': '之前定的小房间没有了，免费给升级成大房间了，很爽。房间很安静，就是浴袍有点破旧。', '短评打分': 5}
{'短评内容': '很不错的酒店，客房安静，挺好的，餐饮配套很好', '短评打分': 5}
{'短评内容': '真是好住啊，以后来北京还住这里', '短评打分': 3}
{'短评内容': '服务好，干净，交通方便，可惜的是没有wifi', '短评打分': 5}
{'短评内容': '枕头太硬……睡得脖子好疼……其他的还好，都还不错～', '短评打分': 3}
{'短评内容': '  比以前更好了，门口还有迎宾的，哈哈', '短评打分': 3}
{'短评内容': '  非常不错  设备老化了', '短评打分': 3}
{'短评内容': ' 房间很新，服务还可以，有时间还能在旁边洗桑拿', '短评打分': 3}
{'短评内容': '房间比较干净，电视也比较大，不错。', '短评打分': 3}
{'短评内容': '性价比较高，交通方便，环境安静，就是房间有点偏小', '短评打分': 5}
{'短评内容': '环境较好 房间干净 但偏小', '短评打分': 3}
{'短评内容': '这样的档次，价格还是合理的。外观大气，就是我住的那间房型太小，也没有窗户特别的闷~', '短评打分': 5}
{'短评内容': '感觉没以前好', '短评打分': 3}
{'短评内容': '性价比高，住宿条件不错，嘿有温泉和足浴，早餐比较简单，值得推荐。', '短评打分': 3}
{'短评内容': '很好，很干净，房间大 ，价格适中,很安静。 ', '短评打分': 5}
{'短评内容': '很好。房间很大 ，条件也很好。 就是有点贵而已。', '短评打分': 5}
{'短评内容': '不错。很干净。性价比比较好。另外比较安静。我觉得很不错', '短评打分': 5}
{'短评内容': '酒店条件一般，房间无冰箱，性价比不是很高', '短评打分': 3}
{'短评内容': '客房环境稍微有些闷。但房间里东西齐全。房间之间隔音太差。房费稍贵。', '短评打分': 3}
{'短评内容': '除了不太安静，特别是早上。其他还好。总体上感觉还是不错的', '短评打分': 5}
{'短评内容': '其实酒店还是不错的，也挺好找的，就在路边，进门右边是前台接待，左边是温泉，房间挺舒服的，不过就是有点热，虽然有窗，但是是内景窗，对的正好是温泉吃饭区域，饭点有点吵，毕竟有4顿饭。。。\n买的套票，号称包含两个温泉洗浴，缺点就是，不给温泉洗浴的手牌，给手牌的话必须要回屋拿鞋存温泉洗浴那边，导致只能回屋洗澡，而这里的特点是，男宾女宾分开后还能泡温泉，所以。。。十分不方便~也就是说，必须在屋里换衣服，然后', '短评打分': 5}
{'短评内容': '房间太差，墙上掉皮，门锁是坏的。。。。。。。', '短评打分': 1}
{'短评内容': '挺干净，住的很安静。', '短评打分': 3}
{'短评内容': '房间小，温度极高且无法调节，冬天睡觉感觉像夏天的桑拿天，全身出汗。', '短评打分': 1}
{'短评内容': '整体都不错，第二次入住了。点评不用要求字数吧，好就是好，废话多了也没用', '短评打分': 5}
{'短评内容': '总体感觉不错，但是很奇怪的是，房间里看见冰箱呀。在那里住宿可以享受洗浴门票的7折，温泉洗浴挺不错的。推荐。', '短评打分': 5}
{'短评内容': '酒店环境优雅，客房十分干净整洁，唯有不足的就是那天去的时候电视台正遇到调式 等了两个多小时才有电视看', '短评打分': 5}
{'短评内容': '酒店位置还比较好，周围有很多餐馆，吃饭方便，但是就是太热了，房间里的温度不能调，又关不了，必须要住有窗户的房间才可以开窗透气，这是最不好的地方，没有窗户的房间很憋闷，透不过气', '短评打分': 5}
{'短评内容': ' 环境不错，服务态度好，早餐太差。', '短评打分': 3}
{'短评内容': '除了网速太慢，别的都很好，性价比非常高，而且住客泡温泉还可享受7折', '短评打分': 5}
{'短评内容': '房间干净，就是离地铁远了点，早上有时难打车，其他都不错。', '短评打分': 5}
{'短评内容': '房间没有窗。服务还可以。周边商业设施多。打车很不方便，差点误了飞机', '短评打分': 1}
{'短评内容': '性价比适中，单纯作为住宿还是不错的。', '短评打分': 3}
{'短评内容': '房间够大，服务也好，就是打车不方便', '短评打分': 3}
{'短评内容': '房间可以但没有空调，凉风关闭', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店不错，可惜住的房子没有窗户，周边环境很好，交通也挺方便', '短评打分': 5}
{'短评内容': '服务不错    环境很好   还有温泉！', '短评打分': 5}
{'短评内容': '.来可以', '短评打分': 3}
{'短评内容': '价格有点小贵,但是房间很新很漂亮.周围吃饭的地方也不少', '短评打分': 5}
{'短评内容': '房间隔音不好，早晨不到7点就被人吵醒，另外打车不方便。如果就近办事还不错。早餐中餐选择少，西餐的东西还不错。', '短评打分': 5}
{'短评内容': '非常不错的酒店，非常的安静，而且还可以泡温泉，当然这个需要自己付钱，不含在酒店房费内。性价比真的很不错', '短评打分': 5}
{'短评内容': '值得推荐的一家酒店。安静、与挂星一致、早餐丰富、交通比较便利、周边饮食较多、不远处大小超市都有，购物方便。我订住的是无窗房间便宜舒适。', '短评打分': 5}
{'短评内容': '三环上少有的高质素酒店，房间很宽敞，住的很舒服，超级喜欢！环境及配套、服务都很好，开车去也很方便！！！！！！！！！\n\n', '短评打分': 5}
{'短评内容': '三环上少有的高质素酒店，房间很宽敞，住的很舒服，超级喜欢！环境及配套、服务都很好，开车去也很方便！！！！！！！！！', '短评打分': 5}
{'短评内容': '地理位置很好，金融大街旁边，靠近中国人民银行总行，离招商银行北京分行、工商银行总行、建设银行总行都非常近，但设施一般，房间面积不大', '短评打分': 5}
{'短评内容': '这次入住不是很满意，被子和枕头都很潮，加上昨天下雨，感觉房间冷冰冰的，睡得很不舒服。希望酒店今后不会有这种情况发生。其他都还好。', '短评打分': 5}
{'短评内容': '液晶电视足够大 房间也挺大 床很舒服 因为不临近主要马路 所以比较安静 卫生打扫的不是很彻底不过还好了...价格在四百多性价比就更高了', '短评打分': 5}
{'短评内容': '南三环附近比较好的四星酒店了 设施还好 有早餐比较方便 就是大床间太少了...提前订不到只能到前台碰运气了...', '短评打分': 5}
