{'短评内容': '卫生还好，房内温暖都不用开空调', '短评打分': 5}
{'短评内容': '服务态度特别好！地理位置优越！', '短评打分': 5}
{'短评内容': '温馨  舒适    出行必住噢噢  嘿嘿', '短评打分': 5}
{'短评内容': '地理位置不错，市中心，但隔音效果不好。。。', '短评打分': 5}
{'短评内容': '价格实惠，周围都很方便 。公交车也在旁边。吃饭的地方什么都有的。就是有时候浴巾有洞，感觉就旧旧的咯。', '短评打分': 5}
{'短评内容': '该酒店地理位置处于四明广场对面，交通方便，价格实惠，除了房间面积小点但对于119元的房价来说还是很值了！', '短评打分': 5}
{'短评内容': '家里停水了，出来住一晚上顺便洗个澡，客人不算多，酒店在闹市区，里面却很安静，而且wifi速度很快，祝此店生意兴隆！', '短评打分': 5}
{'短评内容': '地理位置很好，商业街上，旁边一条街吃饭很方便，推荐入住。', '短评打分': 5}
{'短评内容': '时间很久的一个酒店，房间不大。', '短评打分': 4}
{'短评内容': '周边吃的多  购物广场可以逛逛', '短评打分': 5}
{'短评内容': '酒店环境很好 隔音效果一般', '短评打分': 5}
{'短评内容': '一般般，一般般，一般般、一般般', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '经常住的酒店.这次电视有些不好其他都一直很棒', '短评打分': 5}
{'短评内容': '总的还不错，就是浴室的帘子坏了也没修，一洗澡地上都是水', '短评打分': 5}
{'短评内容': '还不错。环境好。位置好。价格合适。。。。。。。', '短评打分': 5}
{'短评内容': '还可以，就是房间小了点，感觉还是很温馨的有家的感觉', '短评打分': 5}
{'短评内容': '不错\n地理位置也好\n交通也很方便\n以后还会来', '短评打分': 5}
{'短评内容': '卫生还可以，房间不够大，没有wifi不方便。\n', '短评打分': 5}
{'短评内容': '还可以，电视有付费频道，设施新，住过好几次。不过隔音真的太差，隔壁冲马桶的声音都很清楚。', '短评打分': 5}
{'短评内容': '前台服务一般，隔音比较差，其他都还可以，设施新，地理位置好', '短评打分': 5}
{'短评内容': '房间太小了', '短评打分': 3}
{'短评内容': '我是单人房，大床，很软很舒服，很干净,房间小了点，窗户在过道很吵，旁边吃的很方便，很热闹的街。市中心。', '短评打分': 5}
{'短评内容': '房间很干净很温馨，可惜不提供早餐停车很麻烦，要停在外面马路上有点不放心！', '短评打分': 5}
{'短评内容': '坏境好，设备新，打扫得也干净，服务也好。唯一不足就是除了数码大床房，其他都没有电脑，数码年代了，现在酒店的电脑是标配，', '短评打分': 5}
{'短评内容': '是个“曰”字形的住宿，这两天客满了。挺好的，特别是“曰”字外一圈，网上订的给留的就是外一圈，特好。', '短评打分': 5}
{'短评内容': '酒店位置还好，设施一如既往干净。空间小，街对面就有几家快餐店。跑远了反而吃饭的地方少。', '短评打分': 5}
{'短评内容': '给人一种家的感觉，房间虽小但让人很温馨，色彩搭配很和谐，整体感觉不错，干净整洁', '短评打分': 5}
{'短评内容': '这边唯一一家连锁酒店\n没事千万不要在杨梅季节来住，价格翻倍还多', '短评打分': 5}
{'短评内容': '还不错的酒店，方便，出门打车吃饭都方便。支持', '短评打分': 5}
