{'descr': '我觉得不错', 'star': 5}
{'descr': '啊啊啊啊啊啊啊啊啊', 'star': 5}
{'descr': '服务态度好', 'star': 5}
{'descr': '可以的 可以的', 'star': 5}
{'descr': '酒店距离公交站台一步之遥，出行非常方便', 'star': 5}
{'descr': '。', 'star': 5}
{'descr': '还行吧！给朋友定的。。。', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '酒店设施都很新。就是卫生间的天花板漏水。。。半夜滴答滴答的响，实在是那个点懒得打电话到前台了。第二天上午跟前台反应，没有任何回复。连句不好意思都没有，就一句哦。也是醉了。。。卫生间的马桶冲水按不动。淋浴的门下面有问题，不太好关。', 'star': 4}
{'descr': '很便捷的酒店，新翻修，设备很先进', 'star': 4}
{'descr': '和照片不符，房门隔音不好，空调系统不好，本人当晚就感冒，退房下午就连续两天高烧', 'star': 5}
{'descr': '还可以', 'star': 4}
{'descr': '网络不错，设施老了', 'star': 5}
{'descr': '挺好的，主要是离客户近', 'star': 3}
{'descr': '还可以，网络很好', 'star': 5}
{'descr': '感觉不错，经常入住，就在家门口', 'star': 3}
{'descr': '还可以，挺好的，就是有点吵感觉', 'star': 3}
{'descr': '速８酒店环境配套都不错哦', 'star': 5}
{'descr': '房间比较一般，周边吃饭很不方便，交通还可以，价格和房间设施有点不符。', 'star': 1}
{'descr': '房间比较一般，周边吃饭很不方便，交通还可以，价格和房间设施有点不符。', 'star': 1}
{'descr': '空调制热效果差\n卫生间竟然只有小小的香皂，没有沐浴露，很无语\n杯子竟然是用一次性的塑料透明杯，更无语\n卫生间水压不大\n房间里灯光很晕暗，让人没安全感\n...\n反正下次是不会去住的', 'star': 1}
{'descr': '空调制热效果差\n卫生间竟然只有小小的香皂，没有沐浴露，很无语\n杯子竟然是用一次性的塑料透明杯，更无语\n卫生间水压不大\n房间里灯光很晕暗，让人没安全感\n...\n反正下次是不会去住的', 'star': 1}
{'descr': ' 宾馆厕所不干净', 'star': 3}
{'descr': ' 宾馆厕所不干净', 'star': 3}
{'descr': '还可以吧  价格物有所值 价格是周围最便宜的 不带早餐 ', 'star': 5}
{'descr': '还可以吧  价格物有所值 价格是周围最便宜的 不带早餐 ', 'star': 5}
{'descr': '比较偏一点，周边也没什么东西，不过好在房间够大，而且比较安静，睡得还是比较舒服的。还会来', 'star': 5}
{'descr': '比较偏一点，周边也没什么东西，不过好在房间够大，而且比较安静，睡得还是比较舒服的。还会来', 'star': 5}
{'descr': '酒店位置还好，离火车站也挺近，周边吃饭的地方也挺多的，内部环境挺干净的，总体感觉还不错。', 'star': 5}
{'descr': '酒店位置还好，离火车站也挺近，周边吃饭的地方也挺多的，内部环境挺干净的，总体感觉还不错。', 'star': 5}
{'descr': '服务态度挺热情，网速挺快挺好用，离火车挺近，赶火车还是很方便。', 'star': 3}
{'descr': '服务态度挺热情，网速挺快挺好用，离火车挺近，赶火车还是很方便。', 'star': 3}
{'descr': '酒店挺经济实惠，安全，干净，出行方便，挺实惠学生一族。', 'star': 3}
{'descr': '酒店挺经济实惠，安全，干净，出行方便，挺实惠学生一族。', 'star': 3}
{'descr': '房间挺干净，隔音很好，晚上不是很吵，睡眠质量挺好的。', 'star': 3}
{'descr': '房间挺干净，隔音很好，晚上不是很吵，睡眠质量挺好的。', 'star': 3}
{'descr': '服务卫生挺好的，位置也不错，交通挺便利，总体感觉性价比挺高的。', 'star': 5}
{'descr': '服务卫生挺好的，位置也不错，交通挺便利，总体感觉性价比挺高的。', 'star': 5}
{'descr': '房间面积还可以，卫生还好，隔音效果挺好，不是很吵，就是设施有些陈旧了。', 'star': 3}
{'descr': '房间面积还可以，卫生还好，隔音效果挺好，不是很吵，就是设施有些陈旧了。', 'star': 3}
{'descr': '位置不错，吃饭交通游玩都很方便，价格也比较合理。', 'star': 5}
{'descr': '位置不错，吃饭交通游玩都很方便，价格也比较合理。', 'star': 5}
{'descr': '客房还好，打扫的还干净，基本设施都，位置很好，交通挺便利，价格也挺合适。', 'star': 5}
{'descr': '客房还好，打扫的还干净，基本设施都，位置很好，交通挺便利，价格也挺合适。', 'star': 5}
{'descr': '酒店离商业中心挺近，出行还是很方便，前台服务挺好，办事效率挺快的。', 'star': 5}
{'descr': '酒店离商业中心挺近，出行还是很方便，前台服务挺好，办事效率挺快的。', 'star': 5}
{'descr': '酒店的卫生和服务都挺好，价格也挺合适的。', 'star': 3}
{'descr': '酒店的卫生和服务都挺好，价格也挺合适的。', 'star': 3}
