{'短评内容': '房间有点小', '短评打分': 5}
{'短评内容': '讲真的环境一般，想吃顿饭都得去三五公里之外的地方，地理位置特别偏僻，我住的是一楼特别吵一夜睡不好，最主要的是那个前台的服务。和欠了那个前台八百万一样 。都别去听了前台说话特别气人。大家一定要三思不要去', '短评打分': 1}
{'短评内容': '停车免费，位置好找，环境不错,面积挺大,设施虽然有些旧了,但洗手间还算整洁,性价比不错。服务挺好,帮忙把行李送到房间，一路还有简单介绍。 住的大床房，床很大，一家人睡觉都还比较宽。周边环境也优美，服务比较到位，房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的', '短评打分': 5}
{'短评内容': '服务态度都很不错！', '短评打分': 5}
{'短评内容': '可以 很实惠', '短评打分': 5}
{'短评内容': '服务员超级热情 服务态度超级好 酒店也干净卫生 点赞', '短评打分': 5}
{'短评内容': '京东活动还行。不过这酒店不怎么样。隔音不好', '短评打分': 5}
{'短评内容': '第一次在京东订酒店，体验很好，只是当时在本地没带证件没能住，京东退订服务也很好，感谢!', '短评打分': 5}
{'短评内容': '不错 地理位置还行，周围交通比较便利然后就是吃的也蛮多的这点比较好。很方便。不知道照片去哪儿了总之还是不错的性价比比较高还便宜主要周围很方便前台太度爷还不错????去哪儿都很方便的', '短评打分': 5}
{'短评内容': '便宜，比美团，等其他的网站便宜多了', '短评打分': 4}
{'短评内容': '多次入住，挺好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '比较差的速8了，应该是加盟店。价格便宜，不方便', '短评打分': 3}
{'短评内容': '临近小吃街，一开空调，各种油烟味。挖掘机从早到晚施工，隔音效果差。', '短评打分': 3}
{'短评内容': '速8给我的感觉是价格较低，服务和一般快捷酒店一样，设施一般，在快捷酒店里属于中等。性价比较高', '短评打分': 4}
{'短评内容': '非常不错的宾馆，非常好的一次旅行', '短评打分': 5}
{'短评内容': '酒店位置绝佳，服务态度也很好，周边环境不是太好，经济实惠的选择', '短评打分': 5}
{'短评内容': '价格实惠，环境不错，被褥干净，卫生，屋子大，服务不错，比速8花园路店好多了！', '短评打分': 5}
{'短评内容': '去住过多次了，每次去服务态度都挺好，但是办理速度都很慢，入住慢退房更慢。。。。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
