{'descr': '房间比较宽敞干净，挺不错，下次会继续入住~', 'star': 5}
{'descr': '挺划算的，设备也挺好，加上交通也很便利，不错', 'star': 5}
{'descr': '这个酒店很值，希望大家经常去，这里的条件很好中央空调', 'star': 5}
{'descr': '11楼还有蚊子，一晚上没睡着，房里没有前台电话，还要自己跑去前台要蚊香。天稍微一亮就不知道哪来的噪音，响的不得了。前台服务态度差的可以，一边玩手机一边和顾客说话，说两句话就很不耐烦。一分价钱一分货，要想省点钱，就去他家吧，还可以享受前台个别服务员的', 'star': 1}
{'descr': '考步行街，方便，便宜。11楼还有蚊子，一晚上没睡着，房里没有前台电话，还要自己跑去前台要蚊香。天稍微一亮就不知道哪来的噪音，响的不得了。前台服务态度差的可以，一边玩手机一边和顾客说话，说两句话就很不耐烦。一分价钱一分货，要想省点钱，就去他家吧，还可以享受前台个别服务员的BS。', 'star': 1}
{'descr': '性价比很高，就在市中心，交通方便，还有免费停车场。房间干净，更神奇的是洗手间比房间还要新净，虽然临街，但有双层窗很隔音。只是电梯十分老旧，前台简陋得吓人，光看前台和电梯可以吓走客人', 'star': 5}
{'descr': '蛮好，干净，卫视，安静', 'star': 3}
{'descr': '酒店的房间较大很宽敞，打扫很干净，地理位置很好，交通很方便，对面就是步行街等购物区，边上是大统华超市，出去购物买东西都只要步行即可，推介推介~~~', 'star': 5}
{'descr': '酒店不错的，位置也好的，空间挺大的。。。。。。。', 'star': 5}
{'descr': '很不错，很宽敞，楼层高，窗户大，风景不错。', 'star': 5}
{'descr': '不错我觉得还可以不错我觉得还可以不错我觉得还可以', 'star': 5}
{'descr': '房间的台盆是口漏的', 'star': 3}
{'descr': '地段很好,对面就是商业街,房间略显旧,总体还不错', 'star': 5}
{'descr': '市中心，便宜，房间大。卫生间水流太小，凑合洗澡，不够洗头。房间附近不知道是什么机器，通宵工作，噪音大，吵到睡不着。', 'star': 1}
{'descr': '房间很大  就是灯少了点   如果在中间装一个日光灯就好了   现在我只能用床头灯', 'star': 5}
{'descr': '感觉很不错哦   房间很大   装修典雅   在市中心   开窗市景尽在眼底', 'star': 3}
{'descr': '位置市中心服务差', 'star': 3}
{'descr': '宾馆市中心房间面积很大性价比高就是前台服务较差', 'star': 3}
{'descr': '，还不错吧！就是房间没有空调', 'star': 3}
{'descr': '房间设施有点老,总体还算干净,早饭在隔壁的华亭里,不错', 'star': 5}
{'descr': '房间很大，酒店对面就是步行街，我的住房对面就是西九，能看到全部的景色，感觉非常好，以后还会入住此酒店', 'star': 5}
{'descr': '性价比很高！正如楼下几位说的，装修一下，会有很大的改观。值得一住！不过电梯该换了，有点恐怖的，感觉用脚一剁，就会掉下去。', 'star': 5}
{'descr': '不错，挺好。', 'star': 3}
{'descr': '环境不错，房间超大，这个价格会有如此大的房间，几乎没有的，性价比超高', 'star': 5}
{'descr': '地理位置很好，就在市中心，有自己的一个小停车场，对面就是步行街，设施有点旧。', 'star': 5}
{'descr': '房间很宽敞，只是进去有一股味道，还有衣橱有点小', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '房间很大 。 有窗户比较通风。里面的洗漱用品比较齐全，很方便。价格也很合算。交通便利，在市区。', 'star': 5}
{'descr': '房间很好，很大，赠送的早餐也不错，会向朋友推荐', 'star': 5}
{'descr': '还可以，要是略加装修出新，那生意应该会有质的腾飞', 'star': 5}
{'descr': '服务太度不错', 'star': 3}
{'descr': '房间很大，在市中心交通方便，吃饭也很方便。宾馆硬件设施有些旧', 'star': 5}
