{'短评内容': '感觉很好，老板很热情，是一次愉快的出游。', '短评打分': 5}
{'短评内容': '老板挺不错的，我们从西栅回来晚了还专门来景区门口来接我们回客栈。其他一切都好，就是晚上停电导致没有热水，比较郁闷。', '短评打分': 4}
{'短评内容': '16年春节初二来的。价格奇高呀，高出大城市的五星级酒店，可设施实在不敢恭维，空调打到最高还是不暖和，只好找房东多要床被子。不要贪小便宜不买门票，除非你不想进一些景点，就在街上逛逛，游览景点例如茅盾故居等都还是要门票才能进去的。不过这个景区确实坑爹，东栅、西栅联票只能一天有效。补充一句，千万不要赶在节日来，人多价高，据说平时价格还是适中的。', '短评打分': 2}
{'短评内容': '16年春节初二来的。价格奇高呀，高出大城市的五星级酒店，可设施实在不敢恭维，空调打到最高还是不暖和，只好找房东多要床被子。不要贪小便宜不买门票，除非你不想进一些景点，就在街上逛逛，游览景点例如茅盾故居等都还是要门票才能进去的。不过这个景区确实坑爹，东栅、西栅联票只能一天有效。补充一句，千万不要赶在节日来，人多价高，据说平时价格还是适中的。', '短评打分': 2}
{'短评内容': '王姐很热情，王姐的哥哥也很热情，都很热情，态度超好????????', '短评打分': 5}
{'短评内容': '太差太差，一股味道，脏乱差，以后再也不住了，住过的最恶心的房间。想骂人！', '短评打分': 1}
{'短评内容': '王姐很热情 总体很满意 很好', '短评打分': 5}
{'短评内容': '王姐一家很热情，从车站接到西栅，然后到了晚上十点半我们从西栅出来后，又把我们接到东栅住宿，省去了东栅门票。', '短评打分': 3}
{'短评内容': '环境不错王大姐也特别热情', '短评打分': 5}
{'短评内容': '老板服务很周到，车接车送。\n给个好评，下次有机会还去住那边！', '短评打分': 5}
{'短评内容': '老板非常热情，以后去乌镇的话还会选择住他们家。', '短评打分': 5}
{'短评内容': '王姐人很好的,态度也不错.其实,东栅除了比西栅小点外,因为它本身就有当地居民住,所以更有小桥流水人家的感觉.', '短评打分': 5}
{'短评内容': '很干净，主人很热情，人不错值得一住！很干净，主人很热情，人不错值得一住！', '短评打分': 5}
{'短评内容': '第一次来乌镇，比较有缘，自驾停车很方便，老板娘很热情，性价比高，推荐。', '短评打分': 5}
{'短评内容': '实惠', '短评打分': 3}
