{'短评内容': '春节期间，能订到这样的也不错啦', '短评打分': 4}
{'短评内容': '过年期间能订到这样的房子也不错了', '短评打分': 4}
{'短评内容': '位置不错 还算宽敞 就是潮湿 设施陈旧了', '短评打分': 3}
{'短评内容': '交通出行方便，房间设施一般，面积较小。', '短评打分': 3}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '服务热情周到，电视有点播功能，各种大片随便看，洗澡舒服，周边景点多又近，环境安静优雅……比前天在杭州住的99连锁强多了，价格也很实惠', '短评打分': 5}
{'短评内容': '酒店环境非常不错，交通很方便，下次一定再次光顾。', '短评打分': 4}
{'短评内容': '很满意，干净，', '短评打分': 5}
{'短评内容': '酒店在路边，较嘈。优点是在市中心，方便。', '短评打分': 3}
{'短评内容': '服务态度可以的，就是里面的房间拥挤了点.。其他的都还可以', '短评打分': 5}
{'短评内容': '清明去的，极其不值！房间设施简陋，房价超高！节日也不能昧着良心啊！', '短评打分': 1}
{'短评内容': '房间结构有点点奇怪，不过还好，床很大软。。。地理位置很好，在市中心，去鲁迅纪念馆神马的都满近，街对面一直走有条古街。。。对面是免费的小公园~~~', '短评打分': 5}
{'短评内容': '我想我这辈子也不会再住这家店了！不想说什么...', '短评打分': 1}
{'短评内容': '房间又小又冷，热水不热！空调不热。什么风情房，日式的，躺在地上，寒气逼人啊!早上起来身体很不舒服！感冒了吧!', '短评打分': 1}
{'短评内容': '房间小的可以，一进去就很压抑，头晕的很。厕所和淋浴在一块儿，会弄的很湿。12点前就得退房，郁闷的是在网上看到的一个圆床房间价格比在酒店看到的还贵10块，天哪！', '短评打分': 1}
{'短评内容': '说实话  性价比很高房间干净还不小  在城市广场旁边  交通便利还方便。不过就是早餐太让人蛋疼了，推荐可以住这里，不过早餐还是自己出去买着吃吧。。。。。', '短评打分': 5}
{'短评内容': '房间狭窄，订的时候明明是电脑房，实际却没有，里面连张椅子都没有，进去后直接就是床垫，价钱不合理，总体来说性价比低！进门就一洗漱的地方，说白了就一单纯睡觉的地方，其他什么事情都不能干。', '短评打分': 1}
{'短评内容': '麻雀虽小五脏俱全。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间比较简洁干净', '短评打分': 3}
{'短评内容': '环境不错，地址也优越，就是早上吃饭服务员态度不好，另淋浴间也比较小！！！', '短评打分': 5}
{'短评内容': '该酒店离绍兴府山和城市广场非常近，而且有公共汽车到达绍兴的鲁迅故里，性价比高，值得推荐', '短评打分': 5}
{'短评内容': '房间不错，而且很舒服!就是面积小了点,其他很好!', '短评打分': 3}
{'短评内容': '这酒店很不错，就是感觉设施有点旧了，而且浴室沐浴露和洗发水也没有。', '短评打分': 5}
{'短评内容': '地理位置理想，性价比高！', '短评打分': 3}
{'短评内容': '极力不建议入住，房间极小，一个豪华大床房，才十几个平方！！！！！！你见过那么小的一个房间吗？！！！4楼没有电梯，得靠走路，因为电梯只到三层。\n房间装饰色彩不合理！！！', '短评打分': 1}
