{'descr': '很好很好很好很好', 'star': 5}
{'descr': '好极啦好极啦好极啦好极啦', 'star': 5}
{'descr': '很好很好很好很好', 'star': 5}
{'descr': '超级棒，对得起这个价格，下次还住这里，', 'star': 5}
{'descr': '这家性价比不是太好', 'star': 4}
{'descr': '接送班车次数太少不太方便，无限网络信号很差。早餐还是不错的，总体上这家皇冠假日中规中矩没太好的地方，价格却偏贵很多。', 'star': 4}
{'descr': '一般般，不怎么样。同样的价格在机场附近不如住郎豪和希尔顿，房间也一般，唯一好的就是下楼不远处有很多吃的。必胜客，等，还有家乐福', 'star': 3}
{'descr': '给老外预定的，很满意，去北京机场一直是住的这家，就是房价基本都是不含早餐的，要是都含早餐那性价比刘更高了。', 'star': 5}
{'descr': '酒店设施比较久', 'star': 3}
{'descr': '很好的酒店', 'star': 5}
{'descr': '第二天大早上飞机 就定了离机场近些的酒店感觉一般般 房间有点旧 就那样吧', 'star': 3}
{'descr': '房间很大，设施很新。服务态度好。早餐也很好。离机场近，不怕赶不上飞机。单位赶飞机一般都选择临空酒店。', 'star': 5}
{'descr': '酒店服务不专业，费用不明晰', 'star': 4}
{'descr': '连锁酒店位置、设施、服务、卫生均不错，就是价格持续在上涨。', 'star': 5}
{'descr': '酒店位于首都机场附近,有班车接送，交通便利，闹中取静，房间很干净，布置得也很温馨，相比同档次酒店，性价比高。', 'star': 5}
{'descr': '酒店位于首都机场附近,有班车接送，交通便利，闹中取静，房间很干净，布置得也很温馨，相比同档次酒店，性价比高。', 'star': 5}
{'descr': '酒店位于首都机场附近，有班车接送,交通便利，闹中取静，房间很干净，布置得也很温馨，相比同档次酒店，性价比高。', 'star': 5}
{'descr': '设施太老旧了，毛巾也旧了。机场班车的司机极其冷漠，在冬天夜间大风里等车，一辆接机组的酒店车拒绝让上车，而且也不告诉你需要给酒店打电话。', 'star': 3}
{'descr': '很不错的酒店', 'star': 5}
{'descr': '北京首都机场附近，为旅途转机非常便利。酒店服务不错，卫生条件可以，总体感觉不错，下一次有机会还会选择', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '还不错 很干净服务到位，入住时有点小麻烦～', 'star': 5}
{'descr': '豪华标准间与高级标准间不知道有和差别？郁闷！用词经营，不太好吧！', 'star': 3}
{'descr': '很好的酒店，员工的英文都不错哦，沟通没障碍，客人很满意', 'star': 3}
{'descr': '北京临空皇冠假日酒店很不错哦，环境我喜欢。离机场近，方便', 'star': 5}
{'descr': '不错，机场区比较高档的了，很方便！每次都住这里～', 'star': 5}
{'descr': '不错的酒店，值得入住', 'star': 3}
{'descr': '酒店位置优点偏, 但离机场很近. 方便去机场, 切去北京周围地区很方便, 不易塞车.设施,服务等都很好, 没任何问题.', 'star': 5}
{'descr': '很好，服务挺好的，餐厅的饭菜口味很适合我们。服务员的态度很认真。', 'star': 5}
{'descr': '离机场和新国展很近，集团管理酒店，品质不错。就是机场接机服务不到位，到机场找不到接机的人，要打电话联系。进市区不方便。', 'star': 5}
{'descr': '服务很好，但是优惠的价格里不包含早餐，很不方便', 'star': 5}
{'descr': '很干净。 近期不太好打车。 很干净。 近期不太好打车。 ', 'star': 5}
{'descr': '房间挺干净的，还算可以这个价格有点小贵，不过整体服务还不错', 'star': 5}
