{'短评内容': '酒店还是不错的', '短评打分': 5}
{'短评内容': '酒店适合带小孩玩！能加床，200多，送一张早餐劵，很划算。早餐那是相当的丰富！早餐真心不错，值得点赞！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '推荐！优点：服务热情、环境宜人，房间的独立温泉很棒。贴心预备了蓝牙音响。早餐菜品中规中矩，比较丰富。尤其点赞的是从保安、门童到保洁和西餐厅员工、都很热情！宾至如归，酒店人力资源管理很到位！缺点：位置略远，且沿途施工路段拥堵、西餐厅晚餐可选性略少、口感欠佳！', '短评打分': 5}
{'短评内容': '酒店绿化挺好 前台服务在国内算很好的了 房间的池子不是很干净 感觉从未洗过 带池子的房间因为没有阳台有点闷 睡一晚起来很疲倦 住两晚的话没有阳台就有点受不了了 闷 ！7百多一晚的酒店应该有阳台', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '带父母和孩子去的，环境挺好的，孩子都没玩够，以后孩子放假再去', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境优雅，周边用餐方便，温泉挺舒服的！', '短评打分': 5}
{'短评内容': '房间不错，天花板还是仿木屋的，室内温泉池也可以，唯一不好的是房间不包温泉门票，看在自带美腿出游的份上还是不错', '短评打分': 5}
{'短评内容': '都挺好，就是离机场远', '短评打分': 5}
{'短评内容': '很不错 环境很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间和服务都很棒，早餐特别丰富。可玩的项目多点就好了。', '短评打分': 5}
{'短评内容': '房间性价比很高，早餐特别棒，很好吃。就是园内可玩的项目少了些。', '短评打分': 5}
{'短评内容': '都可以', '短评打分': 5}
{'短评内容': '干净整洁的5星级酒店，温泉很好玩，鱼疗免费，服务员态度也不错，有礼貌，比市区\n酒店好，唯一缺陷路远，酒店内早餐还行，午饭没吃，无法评价，推荐大床，2*2M, 一家三口住足够了', '短评打分': 5}
{'短评内容': '第一次住，但确实值得。服务员服务热情，设施设备完全达到五星标准，房间内的温泉比较好，值得推荐。', '短评打分': 5}
{'短评内容': '酒店的居住环境非常好，服务也很到位。干净，安静。非常喜欢。', '短评打分': 5}
{'短评内容': '   很好的旅游度假酒店.车辆进入度假村,首先看到的是一片绿,小河流水,两座小山叠在景中.虽然下着蒙蒙细雨,我们一家人却被这美景带进雨中.\n   入住酒店,进入房间放好温泉池中的水,我们便去吃饭,走到大厅一位门童笑着让我们等等,一分钟后酒店的观光车便带上我们去中餐厅,一路上为我们介绍这里的美景,我们还有幸看到了酒店的大棚水果蔬菜.听说这里吃的水果蔬菜都是这个大棚里的.我可要多吃一些了.\n   晚上', '短评打分': 5}
{'短评内容': '可以,環境不錯,收費合理,不過,中西餐都不是很好,可能少人光顧有關', '短评打分': 5}
{'短评内容': '环境挺美，服务到位', '短评打分': 3}
{'短评内容': '设备落实，服务跟不上，和星级酒店比，差太多了，温泉也不知道是真是假！', '短评打分': 1}
{'短评内容': '非常舒服！', '短评打分': 3}
{'短评内容': '除了订房太困难外，是个不错的温泉酒店。值得推荐。', '短评打分': 5}
{'短评内容': '酒店非常不错，环境非常好，室内温泉非常的给力，强力推荐', '短评打分': 5}
{'短评内容': '酒店环境非常好，室内温泉相当舒服。值得来', '短评打分': 5}
{'短评内容': '环境真是不错，让人能一下子沉淀下来。不管是带家人或情人，都是度假的好地方。吃的也不错。', '短评打分': 5}
{'短评内容': '房间很大，装潢很漂亮，室内温泉池可以三个人一起泡。', '短评打分': 5}
{'短评内容': '星级酒店，服务一流，环境可以，有车一族前往的好去处，无车一族免去，交通极不便。', '短评打分': 5}
{'短评内容': '房间里面有很大的泡池，非常舒服。酒店的环境绝对ok，中餐OK，西餐有点简单，服务和东南沿海地区持平，在重庆已经相当不错了。', '短评打分': 5}
{'短评内容': '很不错的酒店，房间里面的温泉池很舒服，就是房间的地毯可以换一下了。', '短评打分': 5}
{'短评内容': '房间很干净，环境非常好，好不容易才订到...', '短评打分': 5}
{'短评内容': '一如既往的好，正好遇见桂花开放，院子里得桂花很香很香。晚上在房间里的池子泡的温泉，池子太大，放水的时间比较久。\n提一点小小的建议，早上服务员在收拾其他房间，相互说话，很容易吵到休息的客人。', '短评打分': 5}
{'短评内容': ' 很满意酒店的房间！', '短评打分': 3}
{'短评内容': '设施还可以，但感觉房间里的温泉池有点脏，用毛巾擦了一下还让赔了15块钱…', '短评打分': 3}
{'短评内容': '环境超好的温泉度假酒店，值得一去，就是对游客来说，交通不方便。', '短评打分': 5}
{'短评内容': '酒店很不错啊', '短评打分': 3}
{'短评内容': '非常满意！很适合度假休养，房间性价比超高，设计独特，意境很好', '短评打分': 5}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '装修的风格很独特，房间里就能泡温泉，这点让我觉得很惊喜。', '短评打分': 5}
{'短评内容': '服务上很周到，房间很大很舒适，还能泡温泉，住的很开心。', '短评打分': 5}
{'短评内容': '非长满意！！！！！！！！！！！！！！！！', '短评打分': 3}
{'短评内容': '很好，很不错的渡假、休闲地方，环境、设施都很不错；就是有一点，购买东西太不方便了，送饮食服务2点结束，2点后想买瓶红酒都不，只有迷你吧的啤酒', '短评打分': 5}
{'短评内容': '酒店环境不错，服务也很好，房间布置的古香古色，打扫也很干净，感觉挺舒适。', '短评打分': 5}
{'短评内容': '酒店各项参数都非常好,只有一处不足.就是没有电召服务.能算得上5星了.私密性很高.温泉还可以.', '短评打分': 5}
{'短评内容': '酒店装修很豪华，具五星级标准；温泉也很不错，但是，餐饮却是不太妙；与天赐相比，餐饮价格也是五星级，大煮干丝除了几条豆腐干丝以外都是汤，黑木耳炒山药，真是少得可怜哦！！这是中餐厅，早餐问了服务员小孩是不是免费，大堂的服务员说1.2米以下免费，一米四以上全，中间的半价，结果带孩子去的时候，说的是0.8米以下半价，可笑；而天赐温泉却是贴近生活，还赠送温泉票，夜宵免费，儿童早餐免费；相对而言，你要是光泡温', '短评打分': 5}
{'短评内容': '酒店完全够得上五星标准，可能是酒店还没有正式评星才会显示四星吧。唯一缺点就是太难预定了点。', '短评打分': 5}
{'短评内容': '该酒店总体来说还是可以，就是环境打造差了点。', '短评打分': 5}
{'短评内容': '房间很大，属于欧式于田园的结合，很不错，房间里还有泡汤的池子，很独特', '短评打分': 5}
{'短评内容': '10.1入住的时候等了约40分钟，安排了大堂休闲吧等待。酒店环境好，交通还算便利，设施很新，风格突出，豪华单间有3-4平米的泡池。喜欢房间的节能设施，夜间房间的地灯方便但不妨碍休息，卫生间的灯光也是自动的。17：00去的温泉中心，128的套票（含78的温泉和68的自助餐），温泉很好，夜里室外有点凉，随时都有工作人员换浴巾，就是自助餐不好吃（糕点还可以）。回到房间，发现有人打扫了的。总的来说还不错，', '短评打分': 5}
