{'短评内容': '很不错，小资，干净，在山里面', '短评打分': 5}
{'短评内容': '公园内，特别安静，适合家庭出游', '短评打分': 5}
{'短评内容': '还可以，房间挺大就是有点旧', '短评打分': 5}
{'短评内容': '还好，房间很大就是有点旧', '短评打分': 5}
{'短评内容': '为了躲避小长假出城拥堵，提前一天出发，找了此地落脚一晚。没想到酒店设施陈旧，而且房间潮湿，被子有点粘乎乎的。最搞笑的是晚上到店居然给了一间没有打扫过的房间，真的是晕死。', '短评打分': 3}
{'短评内容': '亲子游朋友家庭一行一起订了五间，就是有一间房的浴室才一个人先洗了澡，下水道水就下不去，还漫到外面。。。反映后酒店给换了个房间，有些设施不足都可以原谅，但这种设施应该都要弄好的才能开间哈，其他环境服务都不错。', '短评打分': 4}
{'短评内容': '肃静好的，交通啊不方便，距离文化村有点距离', '短评打分': 3}
{'短评内容': '不错，环境挺好的，挺安静！就是早餐太差！服务人员的态度也不错，周边打车的话，要用滴滴之类，不要指望出租车，否则你会气死。总体来说还是ok的，希望喜欢安静的旅客选择这个酒店！！！！！！！！！！！！！！！！！！！！', '短评打分': 3}
{'短评内容': '房间挺大，环境不错，早餐比较简单。', '短评打分': 5}
{'短评内容': '好评，环境不错，紧邻农夫乐园。', '短评打分': 5}
{'短评内容': '房间大，楼下就是饭店，吃饭方便，适合亲子，环境性价比还可以，所有房间超北的感觉不太理想，晒不到太阳。', '短评打分': 4}
{'短评内容': '真是个不错的地方。。。真心好！幽静。。。惬意。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '故地重游了，每次来都有不一样的风景！强烈推荐商务间，喜欢亲水阳台。', '短评打分': 5}
{'短评内容': '非常好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '非常好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '非常安静优雅！房间比较大，价格物有所值，早餐不错耶！推荐朋友来住。', '短评打分': 5}
{'短评内容': '该酒店虽然收费不高，但硬件设施很到位，打扫的也非常干净，真的是性价比很高哦。边上就是农夫乐园，天气太热没有去玩。', '短评打分': 5}
