{'短评内容': '还是挺不错的', '短评打分': 5}
{'短评内容': '很好。。。。。。。。。', '短评打分': 5}
{'短评内容': '很好？。。？。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '周边配套齐全，吃喝不必愁，酒店服务很好', '短评打分': 5}
{'短评内容': '经常住这家酒店，因为离步行街很近，附近都是好吃的，房间价格也不贵，性价比比较高，而且连锁酒店的卫生也是比较让我放心的。我喜欢里面的床，又大又软，床垫很厚，睡在上面很舒服，空调也很好，这么冷的天气，穿着短袖在房间里也不感觉冷，洗澡热水很大，房间还有2瓶免费的矿泉水赠送，前台的美女办事效率挺快，服务周到，退房都不用查房，还了房卡就能走了。不错不错！', '短评打分': 5}
{'短评内容': '还不错，就是楼下有点吵', '短评打分': 5}
{'短评内容': '色情卡片太多', '短评打分': 5}
{'短评内容': '很好啊！！', '短评打分': 5}
{'短评内容': '位置好，环境干净', '短评打分': 5}
{'短评内容': '位置好，价格便宜', '短评打分': 5}
{'短评内容': '店面不好找，周边是菜市场，比较脏乱吵', '短评打分': 4}
{'短评内容': '还不错，119送早餐', '短评打分': 5}
{'短评内容': '隔音不好啊其他还可以吧毕竟便宜菜虽然不是很多但是能吃饱腌菜丰盛啊好多好多种', '短评打分': 5}
{'短评内容': '步行街上面，地段不错。。就是不太好找', '短评打分': 5}
{'短评内容': '新开业便宜、方便~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '总体还不错，就是小了一点点！！卫生方面还可以。毕竟价格比较便宜。性价比还是蛮高的', '短评打分': 5}
{'短评内容': '酒店离步行街很近，晚上去逛街很方便.前台很有礼貌.', '短评打分': 5}
{'短评内容': '不错的酒店  位置很好 靠近市中心  购物很方便', '短评打分': 5}
{'短评内容': '不错的酒店  服务态度很好  为人也很热情 ', '短评打分': 5}
{'短评内容': '   有网线  没电脑     自己带   不方便', '短评打分': 3}
{'短评内容': '干净卫生不是我说了算的来了就知道！附近有吃有玩住着舒服价钱合适不错！', '短评打分': 5}
{'短评内容': '离步行街很近，交通也还方便，给个好评吧。', '短评打分': 5}
{'短评内容': '地理位置不错 房间干净明朗 下次还会选择', '短评打分': 3}
{'短评内容': '不解释，无条件顶！非常好，服务好，房间干净', '短评打分': 5}
{'短评内容': '还可以啊 服务质量还是很高的啊  就是隔音效果不是太好啊', '短评打分': 5}
{'短评内容': '有免费矿泉水喝，，离步行街近，就是周围环境不好。', '短评打分': 5}
{'短评内容': '服务还是可以的  就是隔音效果不是太好啊 连锁酒店都这样啊 ', '短评打分': 5}
{'短评内容': '出差首选', '短评打分': 3}
{'短评内容': '除了隔音有待改善，其他都非常满意。是一家很不错的酒店，实惠，房间也很温馨。以后就住这家了', '短评打分': 5}
{'短评内容': '还是很好的 前台的服务挺周到的  态度也很好', '短评打分': 5}
{'短评内容': '性价比不错，离江阴供电公司挺近的，下次出差还住这家酒店。', '短评打分': 5}
{'短评内容': '电脑没有椅子 要站着上网 坐沙发还不让 无奈啊', '短评打分': 1}
{'短评内容': '是个很不错的酒店  买东西和购物是首先之店啊', '短评打分': 5}
{'短评内容': '我觉得是个不错的酒店 我出差都会住这家酒店', '短评打分': 5}
{'短评内容': '我觉得是个不错的酒店 我每次出差都住这家酒店', '短评打分': 5}
{'短评内容': '非常好的酒店 买东西非常的方便啊  首选酒店啊', '短评打分': 5}
{'短评内容': '还不错了,挺干净的,位置蛮好的,市中心地段', '短评打分': 3}
{'短评内容': '环境还是不错的 房间比较温馨啊  以后还来入住啊', '短评打分': 5}
{'短评内容': '很干净的酒店 位于市中心 买东西和购物的首选之地啊', '短评打分': 5}
{'短评内容': '酒店位置不错，旁边就是步行街，购物逛街很方便，离美食街青果路2、3百米吃饭很方便，酒店房间标间都是1.2米的床不错，院后就是停车场，唯一的不足就是停车场的司机无德半夜按喇叭吵人。至于房间隔音问题，商务连锁酒店通病。', '短评打分': 5}
{'短评内容': '房间整洁、旁边有个停车场，有不道德司机按喇叭，房间隔音一般（各种连锁酒店的通病，隔音都不好）。酒店位置好，就在江阴步行街旁边，离美食街也就是2、3百米，餐饮购物都方便，总起来说不错的酒店', '短评打分': 5}
