{'短评内容': '可以，不错，挺好的', '短评打分': 5}
{'短评内容': '有停车位', '短评打分': 4}
{'短评内容': '还可以了！', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '总体还好，比较安静吧', '短评打分': 4}
{'短评内容': '旱餐好，住五楼没电梯，累得我把行李提上提下……', '短评打分': 4}
{'短评内容': '干净卫生，不错的', '短评打分': 5}
{'短评内容': '很好，好不错', '短评打分': 5}
{'短评内容': '订的单人大床，来就变成双人单床，卫生间连卫生纸都没有，环境还不如50元的招待所，还198元，要不是我有急事，打死我都不会住', '短评打分': 1}
{'短评内容': '非常不错哦。', '短评打分': 5}
{'短评内容': '还有免费早餐，很不错', '短评打分': 5}
{'短评内容': '携程预订好的酒店，酒店不认帐，最后按未预订，柜台普通付费登记了。商家很不诚信！', '短评打分': 3}
{'短评内容': '挺好，房间考靠街，在修路，有点吵', '短评打分': 3}
{'短评内容': '可以可以可以可以可以', '短评打分': 3}
{'短评内容': '房间设施较新，早餐品种比较齐全，菜品微辣。原定双标，登记时已无，艺龙介入后解决改成1.8大床房。', '短评打分': 3}
{'短评内容': '不错，服务、环境都很好，停车也方便。就是酒店门前在修地铁，有点拥堵。', '短评打分': 3}
{'短评内容': '床很短', '短评打分': 3}
{'短评内容': '迎宾楼是我住过的最差的三星级酒店！空调老旧，卫生间抽风机像拖拉机，而且排水不畅。墙壁掉皮，房间发霉。不是免费停车！', '短评打分': 1}
{'短评内容': '住宿停车还要收费，太落伍', '短评打分': 3}
{'短评内容': ' 七月八日入住东岗东路兰州华辰宾馆 感觉非常不好，房间设施老旧，卫生间洗澡水太小，房间气味也不好，总之一句话就是不是好。', '短评打分': 3}
{'短评内容': '酒店卫生服务不错房间设施旧了些，但对不太挑剔的人来说，是个不错的选择。', '短评打分': 3}
{'短评内容': '＋很好很满意，', '短评打分': 3}
{'短评内容': '还不错,挺干净,服务也行.早餐可以.交通也方便，尤其离东部市场近．', '短评打分': 5}
{'短评内容': '还可以，虽然酒店设施稍陈旧，但服务人员很热情，服务态度挺好。', '短评打分': 3}
{'短评内容': ':服务不错，干净卫生，安静舒服，满意', '短评打分': 3}
{'短评内容': '一般,我入住的是贵宾楼,有些配不上贵宾楼的称号,酒店设施比较旧,前台妹妹很漂亮!', '短评打分': 1}
{'短评内容': '入住条件尚可，还带早餐，就是离市区远点，总体来说还不错！\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '性价比不错。交通方便，离高速公路入口近。服务态度不错。', '短评打分': 5}
{'短评内容': '交通不是很方便。还有从性价比来讲，还是有点高了\n', '短评打分': 5}
{'短评内容': '总的来说很不错，只是有的房间的卫生间的水龙头漏水，要注意维修。卫生状况也好。', '短评打分': 5}
{'短评内容': '酒店设施还可以，与价格相称。另外还有免费早餐。', '短评打分': 5}
{'短评内容': '内容服务好', '短评打分': 3}
{'短评内容': '兰州华辰宾馆价位适中，入住条件尚可，还带早餐，比较经济实惠，就是离市区远点，如果在东部办事，就不存在这问题，总体来说还不错！', '短评打分': 3}
{'短评内容': '环境还不错', '短评打分': 3}
{'短评内容': '己入住，还不错。总台没收到你的订单。', '短评打分': 3}
{'短评内容': '宾馆环境不错，门口交通也便利，饭馆也多。', '短评打分': 5}
{'短评内容': '早上登记前台服务员态度差，入住后房间无宽带，经交涉后，换房间，满意。', '短评打分': 3}
{'短评内容': '酒店位置市中心，周边游玩购物交通很便利，服务卫生也很到位，值得推荐。', '短评打分': 5}
{'短评内容': '服务人员办事效率挺快，房间里电视冰箱等设施都有，打扫也挺干净，总体感觉蛮不错。', '短评打分': 5}
{'短评内容': '隔音不好，热水也不是很方便', '短评打分': 3}
{'短评内容': '酒店挺不错，干净舒适，服务周到，设施完善，出行方便，值得推荐。', '短评打分': 5}
{'短评内容': '环境很好，依山傍水的，内部也干净整洁，服务周到，住的挺舒适。', '短评打分': 5}
{'短评内容': '卫生很达标，从地面到床上用品都很干净，这点值得赞一个。', '短评打分': 3}
{'短评内容': '房间挺敞亮的，打扫的挺干净，设施也挺齐全，住的挺舒适。', '短评打分': 5}
{'短评内容': '服务态度挺热情的，客房服务挺勤快，打扫卫生挺及时的，这点感觉不错。', '短评打分': 3}
{'短评内容': '房间挺大的，采光很好，隔音也不错，基本设施都有，感觉很舒适。', '短评打分': 3}
{'短评内容': '服务挺好，随叫随到，也挺有耐心的，卫生挺好，房间收拾的挺干净，位置挺好，周边交通吃饭挺方便的。', '短评打分': 5}
{'短评内容': '外观设计的还挺好，内部空间不是很大，但是设施挺齐全，位置挺好，离火车站挺近，周边交通挺便利。', '短评打分': 5}
