{'短评内容': '酒店，跟平常住的不同，完全居家，跟家一样。', '短评打分': 0}
{'短评内容': '家庭旅馆，卫生条件一般，适合一家人居住', '短评打分': 3}
{'短评内容': '还行，但无wife  ，进屋时有点味。', '短评打分': 4}
{'短评内容': '酒店全部是套间，精装1居室的公寓式酒店，设施较好，就是贵了些。', '短评打分': 5}
{'短评内容': '家庭旅馆房间挺大，有客厅和厨房。但是卫生状况不怎么样，周围环境不是太好。如果你对住要求不是太高，可以去住。', '短评打分': 5}
{'短评内容': '管理太差，设施电视网络插座等都选用的伪劣产品，房间有蚊子无电蚊香，我不会再去住，价格也太贵', '短评打分': 1}
{'短评内容': '很脏，和衣睡了一晚', '短评打分': 3}
{'短评内容': '有家的感觉，很温馨，但是价格还是稍微有点贵', '短评打分': 5}
{'短评内容': '酒店是由小区改造的，2011年6月新开业，房间比较新，适合家庭旅游，不适合短期商务，服务态度还好，没有早餐，但出门6-7分钟可以找到牛肉面馆，酒店没有自己的发票，如需可以在办入住时提出。', '短评打分': 5}
{'短评内容': '酒店是由小区改造的，2011年6月新开业，房间比较新，适合家庭旅游，不适合短期商务，服务态度还好，没有早餐，但出门6-7分钟可以找到牛肉面馆，酒店没有自己的发票，如需可以在办入住时提出。', '短评打分': 5}
{'短评内容': '酒店新，硬件还行，但整体服务还有待提高！加油！', '短评打分': 5}
{'短评内容': '刚开业的酒店，住着挺舒服，需要改进的地方还挺多', '短评打分': 5}
