{'短评内容': '环境不错，就是房间有点小', '短评打分': 5}
{'短评内容': '离火车站很近很方便', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 5}
{'短评内容': '酒店位置离火车站很近，设施也很干净，这个价格能住这个标准的酒店，性价比很高，四星级酒店的标准，另外早餐也比较丰富，传统的湖北早餐为主，还有豆腐脑这点比较惊艳，就是早上没有西式麦片吐司咖啡，只有纯自助类的', '短评打分': 5}
{'短评内容': '房间太小，沿街太吵，性价比低', '短评打分': 3}
{'短评内容': '没啥好说的，来住就是图这个酒店离火车站近，酒店服务人员值得称赞，都是训练有素的，就是酒店设施有些旧了', '短评打分': 4}
{'短评内容': '很不错的酒店！', '短评打分': 5}
{'短评内容': '交通便利，值得推荐。', '短评打分': 5}
{'短评内容': '一般把，价格有点高。门前对着有个酒吧，咚咚响', '短评打分': 4}
{'短评内容': '离火车站近', '短评打分': 4}
{'短评内容': '太失望了，从晚上十点左右开始停水停电，到三四点才来。', '短评打分': 2}
{'短评内容': '环境不错～设施一流～离汽车南站很近', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '环境好，干净整洁！', '短评打分': 5}
{'短评内容': '交通便利，环境不错', '短评打分': 3}
{'短评内容': '很不错的酒店，这次没时间吃到早餐，下次试试。房间很舒服。', '短评打分': 5}
{'短评内容': '很一般啦，就是新点，离火车站近，整天就是火车鸣笛声，早餐差', '短评打分': 1}
{'短评内容': '性价比不错，新装修过。服务还算可以，不错。值得一住，距离火车站真的好近，几分钟就到打的士。', '短评打分': 5}
{'短评内容': '服务好，房间舒适，欧陆风格', '短评打分': 3}
{'短评内容': '酒店设施不错，比较新，环境也还挺好，下次来后会继续入账', '短评打分': 5}
{'短评内容': '消防大队办的宾馆，安全、干净、离火车站近。早餐再好一点就更好了。', '短评打分': 5}
{'短评内容': '房间很新，性价比不错，离火车站很近，值得推荐！', '短评打分': 5}
