{'短评内容': '酒店是中央空调，效果还可以，就是空调比较脏。一开空调就满是灰尘。通过渠道订的房间不能享受会员退房时间，差评', '短评打分': 3}
{'短评内容': '不错的酒店019', '短评打分': 5}
{'短评内容': '021好好好好好好好好好', '短评打分': 5}
{'短评内容': 'high还好还好哈还好还好哈', '短评打分': 5}
{'短评内容': '很干净，空调温度可以', '短评打分': 5}
{'短评内容': '#ud83d#udc4c#ud83d#udc4c好喜欢', '短评打分': 5}
{'短评内容': '&hellip;&hellip;', '短评打分': 5}
{'短评内容': '不错 地理位置还行，周围交通比较便利然后就是吃的也蛮多的这点比较好。很方便。不知道照片去哪儿了总之还是不错的性价比比较高还便宜主要周围很方便前台太度爷还不错????去哪儿都很方便的', '短评打分': 5}
{'短评内容': '好好好好好好，非常好，超级好。要不到台的好。', '短评打分': 5}
{'短评内容': '好，住的舒服，酒店人员服务态度非常好。', '短评打分': 5}
{'短评内容': '确认后告知没房，退钱了！', '短评打分': 1}
{'短评内容': '好评！好评！好评！好评！好评！', '短评打分': 5}
{'短评内容': '不错不错?????？我就去买彩票中了一个', '短评打分': 5}
{'短评内容': '太差了，商务套房摆什么麻将桌，娱乐还是商务呢，一点都不专业！异味也重，晚上睡觉感觉床单也是痒的。前台服务态度也差！总之一句，这是在京东订过最差的酒店，还维也纳呢！', '短评打分': 1}
{'短评内容': '房间干净，价钱偏贵', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '挺好。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '前台的接待能力实在是差！！！', '短评打分': 4}
{'短评内容': '地理位置不错', '短评打分': 5}
{'短评内容': '很方便', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
