{'短评内容': '房间还可以', '短评打分': 4}
{'短评内容': '干净卫生方便', '短评打分': 5}
{'短评内容': '可以，值得推荐', '短评打分': 4}
{'短评内容': '网上看到免费提供停车位，可是我们到的时候说是已经没有了车位，让我们找其他地方停，只给报销10元的停车费，可是我在外面停一晚得20元。', '短评打分': 5}
{'短评内容': '有停车场费用前台报，', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '住的很舒服啊', '短评打分': 5}
{'短评内容': '啊房间很嗨', '短评打分': 5}
{'短评内容': '热水不错，wifi不错，电视可以点播。就是不是很清净，有点闹。可以停车，费用酒店给报，停车场离酒店大概50米。7点半的早餐，因走得早没吃。酒店外观看图片。', '短评打分': 4}
{'短评内容': '价格合适，整体感觉不错', '短评打分': 5}
{'短评内容': '在这个小县城里算可以了，还方便。下次还会住。', '短评打分': 3}
{'短评内容': '相当不错！各方面都给力！', '短评打分': 5}
{'短评内容': '住了很多次了，还行吧', '短评打分': 3}
{'短评内容': '该酒店服务态度还不错，房间卫生业可以，就是周边环境差店', '短评打分': 3}
{'短评内容': '干净利落默默 out 离开咯模型组图', '短评打分': 3}
{'短评内容': '还可以 。。不错的， 前台很负责。。   就是窗外不怎么好看  住的408', '短评打分': 5}
