{'短评内容': '当地最好的酒店了', '短评打分': 5}
{'短评内容': '酒店非常棒 外观富丽大气 室内装潢也非常好酒店设施应有尽有 房间内温暖干净一看就有家的感觉这次入住非常满意', '短评打分': 5}
{'短评内容': '酒店真的不错，前台餐厅服务都很到位，继续支持', '短评打分': 5}
{'短评内容': '已经是鸡西市最好的酒店了，可能还不到四星标准，餐厅菜品口味很有特色', '短评打分': 5}
{'短评内容': '各方面都很好', '短评打分': 5}
{'短评内容': '酒店各方面都很好', '短评打分': 5}
{'短评内容': '住宿干净整洁，性价比超高。早餐很豪华。下次来还会住这。', '短评打分': 5}
{'短评内容': '总体感觉不错，其他一般', '短评打分': 5}
{'短评内容': '还不错，在这种城市级别，这酒店的服务就可以了', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '早餐实在是太差 还不如3星', '短评打分': 3}
{'短评内容': '尚可，距离市区较远，出入不方便', '短评打分': 4}
{'短评内容': '酒店的位置很安静，适合开车来的游客，交通也方便，房间设施都很新，卫生不错，也整洁，装修细节用心。适合家庭出游，早餐也可以，基本满足各方面需求。', '短评打分': 5}
{'短评内容': '还好，虽然有缺点，但鸡西没有更好的了', '短评打分': 5}
{'短评内容': '客房设施设备很好，前台及客房服务比较到位，因事不能按时到店，和店家协商过程也很让人满意。\n', '短评打分': 5}
{'短评内容': '，不错的酒店。', '短评打分': 3}
{'短评内容': '鸡西当地最高档的酒店了，所以房费贵得吓人，装修还是那种国内宾馆的风格。', '短评打分': 5}
{'短评内容': '服务很好,感谢!祝国庆节快乐!', '短评打分': 3}
{'短评内容': '服务还可以，房间的设施有些陈旧，需改善。', '短评打分': 5}
{'短评内容': '还可以 就是房间有点小 总体还不错 这附近也就这一家带星级的酒店了 还是五星的 价格不算高了', '短评打分': 5}
{'短评内容': '这个龙城花园酒店硬件不值580，软件更是皮毛，管理没有完全到位。', '短评打分': 3}
{'短评内容': '在鸡西应该是最好的了,自助早餐很丰盛.房间装修风格比较有点儿老.', '短评打分': 5}
{'短评内容': '一进酒店大堂就感受到劣质装修后残留的怪味，进房间后，装修后留下的味道更重了。酒店应该开业至少1/2年了吧，劣质装修的重味道却仍然刺鼻。至少我不会再住第二次！！', '短评打分': 3}
{'短评内容': ' 一般', '短评打分': 5}
{'短评内容': '价格还是有些贵，卫生设施也很一般的，位置还是很方便的。', '短评打分': 5}
{'短评内容': '环境还可以，酒店房间电器设施有些陈旧了，位置一般，卫生服务还不错，不过价格还是偏高了。', '短评打分': 5}
{'短评内容': '卫生也不错设施也挺好的但是有些陈旧了，位置一般，价格还是有些偏高了，服务还行。', '短评打分': 5}
{'短评内容': '服务还算周到.性价比蛮高的.在当地就算是比较不错的一家酒店了.', '短评打分': 5}
{'短评内容': '这家酒店在当地是唯一一家五星级的酒店，房间面积倒是挺宽敞的，感觉布置的显得有些陈旧了，提供的一些生活用品感觉很差，给人感觉根本不像五星级的标准。 周边环境也很一般，打车不是很好打，整体感觉安全性还是不错的。', '短评打分': 5}
{'短评内容': '性价比一般', '短评打分': 1}
{'短评内容': '说是五星，也就四星的标准吧，早上还没退房，服务员也不敲门，就把门打开了，问退不退房，服务需要加强！', '短评打分': 1}
{'短评内容': '算是这个城市最好的酒店了，软硬件都是很好的，甚至比起北京这类的大城市的一些四五星的酒店的服务和硬件都好很多。，虽然交通不是非常便利，但下次去鸡西还是会选择住在这里。', '短评打分': 5}
