{'短评内容': '。。。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '隔音不好  空调机噪音太大', '短评打分': 5}
{'短评内容': '很安静，房间空间大，停车方便。去飞云机场很方便', '短评打分': 5}
{'短评内容': '很安静，房间空间大，停车方便。去飞云机场很方便', '短评打分': 5}
{'短评内容': '很安静，房间空间大，停车方便。去飞云机场很方便', '短评打分': 5}
{'短评内容': '不是7天的店，别人代理的，不推荐入住', '短评打分': 3}
{'短评内容': '还好  确定了', '短评打分': 5}
{'短评内容': '～～～～～～', '短评打分': 5}
{'短评内容': '啊哈哈哈爱吃好high你民工彼此彼此到let外婆易孕期我自己允许我同', '短评打分': 5}
{'短评内容': '很好，很大，很干净！！！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间很大，周边吃饭出行都很方便，很安静，出差累的话可以选择这里，房价相比来说很便宜了，总体来说很划算', '短评打分': 3}
{'短评内容': '价格合理，宽敞，安静', '短评打分': 4}
{'短评内容': '可以7天', '短评打分': 5}
{'短评内容': '总体一般，周围环境有点乱！', '短评打分': 3}
{'短评内容': '环境好的，服务差，房间大，非常好！', '短评打分': 4}
{'短评内容': '地理位置方便，房间空间挺大，干净', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '要发十五个字的评价真的好难啊啊', '短评打分': 4}
