{'短评内容': '方便', '短评打分': 5}
{'短评内容': '酒店实在是太方便了，在这里一下住了好多天呢，出门左转就是南大街，又转就是毓璜顶医院，对面就是振华商厦', '短评打分': 5}
{'短评内容': '酒店很好很方便，出来大门对面就是振华商场，右转上去就是毓璜顶医院，运转出来就是南大街，可以尽情的购物', '短评打分': 5}
{'短评内容': '酒店就在医院旁边，出来就是，左转南大街，右转医院', '短评打分': 5}
{'短评内容': '离毓璜顶医院很近，周边商场购物也很方便。性价比不错。', '短评打分': 5}
{'短评内容': '无早餐，性价比高。', '短评打分': 3}
{'短评内容': '还不错，住了一晚。', '短评打分': 5}
{'短评内容': '感觉还可以吧，房间挺小的', '短评打分': 5}
{'短评内容': '方便 干净', '短评打分': 5}
{'短评内容': '房间太小了', '短评打分': 5}
{'短评内容': '还可以 房间特别小', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '一般般吧！', '短评打分': 3}
{'短评内容': '房间小的可怜，床也小脏，无窗', '短评打分': 3}
{'短评内容': '酒店位置非常好，临近烟台南大街，与振华购物中心相邻，步行到烟台毓璜顶医院最多十分钟，酒店大堂宽敞设施全，缺点就是房间稍小，还有就是不定时的流水声出现影响睡觉。', '短评打分': 4}
{'短评内容': '在这里住了好多次了，挺好的，价格也便宜', '短评打分': 5}
{'短评内容': '住了海友几次了，挺安静的，也挺舒适', '短评打分': 5}
{'短评内容': '灰常好，推荐哦，推荐哦，嘿嘿', '短评打分': 3}
{'短评内容': '环境干净，客服态度也热情。满意！', '短评打分': 3}
{'短评内容': '性价比很高，就是大床房的床有点小，服务蛮好。', '短评打分': 5}
{'短评内容': ' 离火车站不远，应该很方便。', '短评打分': 3}
{'短评内容': '服务很好很满意 好评', '短评打分': 3}
{'短评内容': '窗户有点迷你，大床房为何洗漱用品只有一套，而且没有刷牙的杯子。。。。挺干净的，交通方便，环境比较安静。。。房间有点小，总体还可以吧', '短评打分': 5}
{'短评内容': '无窗的大床房，挺舒适的，房里无线网速度挺快的，本来说不提供洗漱用品的结果都有，很满意。唯一缺点是隔音效果太差，不好的声音都能听见，表示很无奈。', '短评打分': 5}
{'短评内容': '房间太小，位置还可以，商务的不建议入住！', '短评打分': 5}
{'短评内容': '优点：很适合年轻人集体入住，大厅有供桌球、电脑设备。来了之后可以放松、娱乐一下，房间有免费的WIFI，速度还可以的。\n缺点：房间太小，没窗的一点都不通风，很憋屈，要一直打开通风扇或空调才行，要不然 心脏受不了。房间有点味道，尤其是洗完澡之后，地漏的味道全上来了，很臭。洗刷设备不全，没有杯子，来前最好自带。', '短评打分': 5}
{'短评内容': '去了才知道这个没有窗的不给热水器 其他的都还好 可以在大厅上网 还是不错的  无聊的时候可以去旁边的振华逛逛  去毓璜顶医院挂号住在这里很方便呀 嘿嘿 ', '短评打分': 5}
{'短评内容': '很好的环境和服务 ，交通也很便利 ， 出行方便', '短评打分': 5}
{'短评内容': '娱乐设施很多，可以免费上网。挺不错的，就是床有点小。', '短评打分': 5}
{'短评内容': '挺舒服的，好几次入住了。', '短评打分': 3}
{'短评内容': '真的有点吵，门的隔音效果太差了。空调挺暖和，床单有点脏。不过便宜，呵呵', '短评打分': 5}
{'短评内容': '酒店客房虽然空间小点，但是很温馨，床很软，大厅还有各种娱乐设施，下次还会入住！', '短评打分': 5}
{'短评内容': '地处繁华地段，麻雀虽小五脏俱全，很温馨的，交通也很方便，赞一个', '短评打分': 5}
{'短评内容': '交通便利，有种温馨感，就是晚上走廊太吵了，下次会烟台还会考虑入住。。。', '短评打分': 5}
{'短评内容': '房间不错，挺净舒适的。', '短评打分': 3}
{'短评内容': '性价比很高，实惠，无限网很给力！', '短评打分': 3}
{'短评内容': '这家宾馆不错，无线上网，24小时热水空调，就是窗户太小……总体感觉挺好的……', '短评打分': 3}
{'短评内容': '酒店干净还行，就是很小，大床房109元，我觉得对不起这个价格，不时在。', '短评打分': 3}
{'短评内容': '很适合个人游的年轻人，房间很小，但是睡睡觉是足够了。隔音不好，门外的声音听的清清楚楚。但是无线很给力，玩玩手机不错。位置很好，超市、景区、车站都很近。以后还会入住。推荐', '短评打分': 5}
{'短评内容': '价格便宜,但是窗台有灰,住店时前台小姑娘态度不好,其他的服务员都很好', '短评打分': 1}
{'短评内容': '挺温馨的  适合单人住  就是房间里没有热水得出去打很麻烦而且过道拥挤感觉通风不是很好  其他都相当好了  地理位置好价格实惠', '短评打分': 5}
{'短评内容': '不错，感觉被子不太干净！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '房间很好，很满意', '短评打分': 3}
{'短评内容': '房间虽然有些小，但很干净环境很好。值得推荐。', '短评打分': 1}
{'短评内容': '房间小，窗户小，无拖鞋，无洗漱用品,不过大厅有免费的台球还有各种棋类游戏免费玩', '短评打分': 1}
{'短评内容': '第一次住这个 之前担心会太小 到了以后觉得特别好 环境什么的都有种家的感觉 交通也很便利 周围很繁华 很想常住 以后有机会还会来的', '短评打分': 3}
{'短评内容': '非常不错，很人性化，住得很开心，就是床有点小，空间有点小。但性价比很高。主要是服务员像家人一样。。。极力推荐。', '短评打分': 5}
{'短评内容': '非常不错的地方，很人性化，而且服务人员态度很有人情味。。。', '短评打分': 5}
{'短评内容': '曾居住109元的房间，一次性用品需要自备（入住前会有提示）。因房间偏小（总共实用面积不足10平方米），墙壁只有1个挂衣处及2个衣架，箱包之类只能就地随放，饮用水需自助（房内无饮具），只能单人简单进出，不便会客。优点：简洁卫生、繁华地段、交通便利、免查房、免费无线上网。', '短评打分': 5}
{'短评内容': '房间里面连拖鞋都没有，房间特别闷，只有2条毛巾，', '短评打分': 1}
{'短评内容': '哎呀~真不错。地角又好又便宜，别提了太方便了。很实用干净。满意！！！', '短评打分': 5}
{'短评内容': '不错的紧凑型酒店 隔音不太好', '短评打分': 3}
{'短评内容': '这个酒店很给力~\n1.价格相对来说很便宜，也许是不提供一次性洗漱用品的缘故，连浴巾和拖鞋也么有，只有一个毛巾，因为经常出去，所以基本都是自带的。省银子啊\n2.屋子很小，但是很温馨，应该说内部空间设计的很不错，\n3.值得一提的热水真的很给力，喷头花洒都很棒，洗的很舒服，离火车站也比较近\n4.酒店大堂提供很多的娱乐设施，台球，小网吧，各种桌游，还有个小影院，都是免费的~很人性化~只不过没有时间玩~\n', '短评打分': 5}
{'短评内容': ' 小的不能再小了！早餐最好别提供，有些寒酸了！！', '短评打分': 1}
{'短评内容': '环境很好，不过除了床上用品，其他的都没有，还弄了个自动售货机，嗯嗯，有格调，日常用品需自带！', '短评打分': 3}
{'短评内容': '为了给其他用户提供更有价值的意见 很不错的酒店，适合情侣旅行住宿，还有微波炉用', '短评打分': 5}
{'短评内容': '很满意。', '短评打分': 3}
{'短评内容': '环境不错 房间色调很问馨 整洁 干净  整体感觉很不错', '短评打分': 3}
{'短评内容': '还不错，以后把自己的房子也准备这样装修。', '短评打分': 3}
{'短评内容': '房間雖小 但很乾淨 服務態度好 也有洗衣設備 靠近振華購物中心 到超商購物很便利 距離濱海景點區可搭巴士 幾站就到了 從汽車站打的起步價到 約10分鐘 ', '短评打分': 5}
{'短评内容': '服务很不错，我很喜欢，那里的人比较热情。我觉得有家的感觉呵呵。希望大家都能喜欢，不过里面都没有什么用的都要自己买，要是去的洗漱用具就自己带吧', '短评打分': 5}
{'短评内容': '已成功入住，感觉很好，房间有点小，窗户很小，但氛围不错…', '短评打分': 3}
{'短评内容': '酒店位置好，旁边就是振华商场超市，很方便，房间确实很小，没有配置任何洗漱用品，但很干净，可以免费玩台球，上网。', '短评打分': 5}
{'短评内容': '汉庭旗下很独特的酒店，点背的是第一天去的时候正赶上电脑故障，等了好久才开房卡。不过幸好大厅有台球可供消遣，还有xbox以及桌上足球游戏还有桌游。每个房卡还能在前台上网区免费上网。很方便，附近还有夜市。在烟台游玩的背包族值得入住。', '短评打分': 5}
{'短评内容': '酒店位于烟台繁华地段，交通便利，购物饮食方便。酒店小巧精致，干净卫生。服务设施有9台电脑供客人使用，如果你喜欢台球，这里也有提供，可以在你工作之余，和朋友比试一下啊。。。此外还有电影放映，喜欢的朋友可以多了一个娱乐休息的选择。我下次来，肯定首选这里。你赶快来看看吧', '短评打分': 5}
{'短评内容': '干净卫生床很舒服。浴巾和毛巾有点小，再加双脱鞋就好了。不过这个价位已经可以了。', '短评打分': 3}
{'短评内容': '空间虽小，但很干净，值得入住！设计风格年轻化！', '短评打分': 3}
{'短评内容': '我是网上订的，房间很小，而且没有窗户，不赠送任何洗漱用品，整个房间只有一条毛巾，如果是自己一个人还好，两个人就显得拥挤了，但是房间还算干净整洁。除了小其他的相对满意。', '短评打分': 5}
{'短评内容': '酒店环境不错，比较适合出行旅游的学生，不是很适合商务人士，房间较小。', '短评打分': 5}
{'短评内容': '卫生比较干净，前台服务态度很好！特价房，面积太小！', '短评打分': 5}
{'短评内容': '就是房间有点小，大床房的大床有点勉强。交通比较便利', '短评打分': 5}
{'短评内容': '交通方便,汽车站过去坐2路或5路到南大街鑫荟金行(大概4站路)下右前方就是.附近有超市/商场/快餐店.房间整洁,就是浴室有点小.在前台的楼层可以免费上网,另外还提供自助的洗衣服务.到天后宫和毓璜顶步行即可.不过房间里不能自己烧开水,要到本楼的生活间倒水,生活间里还有电吹风和微波炉,房间里没有一次性用品,连杯子也没有.', '短评打分': 5}
{'短评内容': '玩的东西比较多啊！~适合年轻人~干净！~洗漱用品自备 ', '短评打分': 5}
{'短评内容': '还可以的地方 下次可以住         还可以的地方 下次可以住         ', '短评打分': 5}
{'短评内容': '环境可以~交通便利！服务周到！不错！！！！', '短评打分': 5}
{'短评内容': '房间太太小,简直太小，与价格不匹配吧，网上预订送的现金也没有', '短评打分': 1}
{'短评内容': '宾馆位置不错，服务态度好，也很干净，唯一的缺点是房间有点小，不过也足够了。', '短评打分': 3}
{'短评内容': '交通便利，服务热情。就是空间微小，电视袖珍了点点\n', '短评打分': 5}
{'短评内容': '一般来说还可以,就是烟台市都没有门牌号很难找.', '短评打分': 5}
{'短评内容': '房间有点小，不过很干净，服务态度很好，住了三天，下次来还会住。', '短评打分': 5}
{'短评内容': '环境很好   干净卫生   每天固定时间播放电影    娱乐的游戏较多    有上网的地方   ', '短评打分': 5}
