{'短评内容': '不错不错不错不错不错', '短评打分': 5}
{'短评内容': '可以很干净', '短评打分': 4}
{'短评内容': '不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '地理位置优越，周边吃，住，行都十分方便。到码头，车站步行即可，到东平，西沙，东滩都很方便。在崇明岛是比较好的落脚点。酒店设施比较老旧，但是，卫生，服务都是不错的。', '短评打分': 4}
{'短评内容': '总的来说还可以，挺方便的。', '短评打分': 4}
{'短评内容': '临时订的 在崇明也算不错的酒店之一 停车位比较紧张', '短评打分': 4}
{'短评内容': '如果不是在这边办事真的不要住这里，酒店很旧，地方有点偏僻和荒凉，关键真的真的很远', '短评打分': 2}
{'短评内容': '酒店有点老，其他还不错！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '位置很好，很方便。  有个小冰箱很好，但是电视机竟然连液晶屏都用不上，实在太落伍。  浴室的门都关不拢，比较吃惊，看样子设施比较老旧。  另外空调无法调冷房，非常不方便，房间老是开暖气，闷的不得了。  床太硬，枕头也不舒服，位置也低，不是很好。  总体来说，勉强算是过得去。', '短评打分': 4}
{'短评内容': '不错  比招待所好', '短评打分': 5}
{'短评内容': '设施有点旧了，其他还行', '短评打分': 4}
{'短评内容': '环境不错，位置挺好。早餐一般！', '短评打分': 5}
{'短评内容': '酒店位置极好，饭后可以去江边散步，也可以逛超市，最重要的是周边吃地较多，可以满足不同吃货们的需求。我们前几顿都在与酒店联通的那家餐馆吃的，还不错，后来为了尝试别的口味，于是去了周边，结果还是原先那家餐馆最合适。要说酒店的缺点的确有一个，那就是酒店内没有无线网。其实一家酒店只要买几个路由器放在几个固定的地方，问题不就解决了吗？  查看更多    收起    ', '短评打分': 5}
{'短评内容': '房间一般，还算干净，但有霉味', '短评打分': 3}
{'短评内容': '干净，每次来崇明都在这里住,\n一如既往的好', '短评打分': 5}
{'短评内容': '上海崇明县好偏啊，来这地方出差，累！但这个酒店够3星，不错！算是安慰！', '短评打分': 5}
{'短评内容': '地理位置不错，设施有点老化。酒店卫生比较好，房间里无异味。', '短评打分': 5}
{'短评内容': '地段好,服务态度尚可,就是房间小,下水道堵塞', '短评打分': 1}
{'短评内容': '酒店卫生情况还可以，服务态度也好，就是价格贵了些。个人认为按酒店的设施和配置应不值这个价。', '短评打分': 3}
{'短评内容': '房间两个床，一个超硬，一个弹簧很响，根本没有办法睡觉。另外，不知道别的酒店是不是这样的，这里的床都有点潮，感觉不舒服。房间还有点霉味，其他倒还过得去。', '短评打分': 1}
{'短评内容': '我入住了二楼的标准B型房。\n从南门码头上岛，阳光温馨气候宜人，到达酒店，大堂舒适宽敞，蛮舒心的，似乎外观硬件属OK的三星级标准了。但前台两位让人一下到了冬天。\n两人住房间蛮大的，卫生做的不错，但房间有点霉味，开窗吧，窗外的空调轰隆隆的，还有蚊子（晚上睡觉两只蚊子吵了一宿，房间配有蚊香似乎没用），被子也有点潮湿。\n想想三星的，能要求怎样呢。', '短评打分': 1}
{'短评内容': '酒店车位较满。晚上有个行李员在外面只顾自己聊天。没有帮助客人指挥停车。最后因为停车位置实在难停，就主动要求行李员来帮忙，因为车子撞到一点了。', '短评打分': 1}
{'短评内容': '本来此次定了6间房。订房期间发生了很多问题。才最终确认了三间入住此酒店。入住当晚本人向服务员致电要点冰块，服务员说天热冰块发完了。。。本人此次消费将近1000元连冰块都没办法提供。后开车至很多超市都无法买到。最后一个小时后又回到酒店像酒店前台索取冰块。服务员反问我是谁告知你没有的。。。我说我现在必须要冰块。不然没有办法调酒。之后服务员来送来。第二天，我的家人来酒店找我。像前台查询，并告知前台我的姓', '短评打分': 1}
{'短评内容': '总体来讲酒店服务态度可以，就是房间有点小，被子有点潮湿，感觉马马虎虎！', '短评打分': 1}
{'短评内容': '不错，只是空调机噪音高了些', '短评打分': 3}
{'短评内容': '房间非常干净整洁，早餐反非常丰盛，希望有机会下次再住店', '短评打分': 5}
{'短评内容': '酒店房间和早餐还可以接受，但是前台的水平和态度都是十分的差！', '短评打分': 1}
{'短评内容': '上海顺利大酒店还不错，挺安静的，下次来还会再住！', '短评打分': 5}
{'短评内容': '房间空调噪音太响，房价偏高，性价比不高。', '短评打分': 1}
{'短评内容': '位置离崇明学宫不远，离南门码头也不远。\n标房很大，早点很好。', '短评打分': 5}
{'短评内容': '价格适中风景还不错附近还有海鲜江鲜还可以到江边看看值得推荐\n', '短评打分': 5}
{'短评内容': '每次来都住这家，地理位置不错，性价比蛮高~', '短评打分': 5}
{'短评内容': '酒店性价比很高，就是手续办理的速度还要提升。', '短评打分': 5}
{'短评内容': ' 订单回复太慢', '短评打分': 5}
{'短评内容': '酒店还干净', '短评打分': 5}
{'短评内容': '还可以 服务不错 设施也不错 就是停车场好像小了点', '短评打分': 5}
{'短评内容': '总台小姐的服务态度有点生硬，早餐品种不丰富，餐厅的菜肴性价比不错', '短评打分': 5}
{'短评内容': '宾馆总的来说不错，餐厅的性价比也高，只是我们预订的房间在一楼，被褥感觉有些潮气。', '短评打分': 5}
{'短评内容': '因为过节的原因，崇明的房源很紧张，没有定到最好的酒店，这是看了网站评价后选择的。入住后发现还真不错，属于在当地比较好的了，性价比很高。', '短评打分': 5}
{'短评内容': '性价比较高，服务也蛮到位的！', '短评打分': 5}
{'短评内容': '相对说性价比最高的吧 \r\n\r\n比天鹤 崇南 都值得选择\r\n\r\n崇明岛首推这家', '短评打分': 5}
{'短评内容': '可以，是', '短评打分': 5}
{'短评内容': '好，好，好。', '短评打分': 3}
{'短评内容': '还是比较不错的一家酒店,房间挺好的也很干净设施也不错,服务还是比较满意的,位置也还行,性价比还是比较不错的.', '短评打分': 3}
{'短评内容': '很好的一家酒店，地址很好，很安静，不知道大桥通了会怎么样？', '短评打分': 5}
{'短评内容': '这家酒店还蛮不错的,交通很方便,而且房间也挺干净的,就是价格稍微有点贵.', '短评打分': 5}
{'短评内容': '早餐很不错，而且价格很便宜，服务和地理位置也挺好的', '短评打分': 5}
{'短评内容': '挺好的,就是早餐简单了点.', '短评打分': 5}
