{'短评内容': '挺好的，', '短评打分': 5}
{'短评内容': '非常不错的经济型酒店', '短评打分': 5}
{'短评内容': '非常实惠的经济形酒店，早餐没吃，不能加床，酒店位置很好，有免费的停车房', '短评打分': 5}
{'短评内容': '今天刚离店，给个新鲜点评。位置不错，施州大道上都是些政府机关，相对安静。公交车，出租车都方便，就是餐馆不多。', '短评打分': 4}
{'短评内容': '携程订的巳确认，到总台说没有查到，重新登记，房间老化，有异味，设施简陋，卧具老旧，还没有早餐，总之不咋的，还死贵，最便宜房间378，不值', '短评打分': 3}
{'短评内容': '没有早餐，前台妹妹服务态度挺好，后面有停车场，就是早上离开时发现车被刮花了，因为停车是免费的，只有自认倒霉了', '短评打分': 4}
{'短评内容': '相当不错，闹中取静。', '短评打分': 5}
{'短评内容': '地段好，交通方便，装修时间有点长了', '短评打分': 4}
{'短评内容': '酒店不错，性价比很高，地理位置方便，交通便利，下次如果还有机会到恩施，估计我还是去那里住，这个酒店值得推荐一下。', '短评打分': 5}
{'短评内容': '有些旧了，重新装修一下会更好的。', '短评打分': 4}
{'短评内容': '环境还不错，交通不是很方便，周围很安静', '短评打分': 5}
{'短评内容': '环境很不错，服务态度很好，靠近夜市，和凤凰山公园，值得一住~', '短评打分': 3}
{'短评内容': '好不错', '短评打分': 5}
{'短评内容': '卫生待进步', '短评打分': 4}
{'短评内容': '适合出差住宿、各方面比较满意，价格合理。', '短评打分': 4}
{'短评内容': '酒店硬件设施一般，没有达到三星级的标准，但是交通位置好，停车方便。', '短评打分': 4}
{'短评内容': '房间整体感觉很舒服，唯一不足 的是，噪音真的很大！', '短评打分': 5}
