{'短评内容': '一如既往   还不错的', '短评打分': 5}
{'短评内容': '挺干净的 晚上睡觉也安静', '短评打分': 5}
{'短评内容': '房子还行，便宜 性价比很高啊', '短评打分': 5}
{'短评内容': '还不错，用了3个软件查看，就这里最便宜，买了7天。还不赖，房间大，环境很好，性价比非常高', '短评打分': 5}
{'短评内容': '帮同学定的，酒店住着不错，地理位置也很好。同学很非常满意。', '短评打分': 5}
{'短评内容': '酒店的位置特别好，闹中取静的感觉，有暖气是它最大的特点，如果去天津的话，还会选择去那里住', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间很干净，前台服务员服务很周到，交通很便利，周围小吃很地道。', '短评打分': 5}
{'短评内容': '快捷酒店类，设备还能接受，卫生可以', '短评打分': 4}
{'短评内容': '房间非常棒，干净，舒爽。这是我独自旅行一周来住的最舒服的地方，128绝对物超所值，大赞', '短评打分': 5}
{'短评内容': '房间很干净，服务很周到‘感觉很满意，下次还会来！', '短评打分': 5}
{'短评内容': '交通便利，服务态度好，有免费的早餐。就是设施有的旧。', '短评打分': 5}
{'短评内容': '交通便利，卫生清洁，服务人员态度好。就是设施有些陈旧，网络不好。', '短评打分': 5}
{'短评内容': '服务态度不错，环境也好，还有免费早餐，交通也很方便', '短评打分': 5}
{'短评内容': '酒店地理位置好。去市内各景点都很方便，酒店很安静。价格低。还有双早，好', '短评打分': 5}
{'短评内容': '，酒店还不错。。。。', '短评打分': 3}
{'短评内容': '酒店内部环境很好，床很干净。就是不太好找，也有可能是我们没有走主路的原因。', '短评打分': 5}
{'短评内容': '还行，算是实惠了。有电脑房，适合我这种出门不远背个大本的懒人。', '短评打分': 5}
{'短评内容': ' 一般的服務 要交訂金 不方便啊', '短评打分': 3}
{'短评内容': '设备还行，卫生不好，拖鞋不是一次性的，毛巾也破的一个洞一个洞的', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店一般吧', '短评打分': 3}
{'短评内容': '价钱比较低~适合低消费群体~距离火车站比较近~就是周围看起来太破烂了~\n房间和洗手间只有一卷卷式而且质量特别差~应该在床头再放一卷卷纸方便顾客使用~\n4楼和5楼的房门都有问题虽然可以锁住但是总觉得不安全~', '短评打分': 5}
{'短评内容': '此酒店不好，内部设施陈旧，周边环境也比较差', '短评打分': 1}
{'短评内容': '不卫生，环境差，希望有所改善。', '短评打分': 3}
{'短评内容': '条件一般，于价钱相符~~经济实惠~~经济调经有限的朋友可以选择~', '短评打分': 5}
{'短评内容': '干净，房间偏小', '短评打分': 3}
{'短评内容': '房间装修卫生还可以，位置的话挺好找的，倒是服务管理需要再加强了一下，价格还是稍微贵些。', '短评打分': 3}
{'短评内容': '服务态度很好，经济，实惠，就是卫生间不好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '服务态度一般，住的房间电视有问题也不给解决看不了', '短评打分': 3}
{'短评内容': '酒店服务员热情周到，而且说话也很客气，对客人总是面带微笑。让人感觉很亲切.', '短评打分': 5}
{'短评内容': '客房配置不是很好，设施有些陈旧了，而且房间显得比较旧一些.这方面有待提高.', '短评打分': 5}
{'短评内容': '酒店位置不错，不过周边比较杂乱一些，车流量大，人也比较多，显得有些乱.住着舒适度还好.', '短评打分': 5}
{'短评内容': '酒店的硬件配置还算不错，而且提供的餐饮也很好，种类比较齐全.口味还不错.', '短评打分': 5}
{'短评内容': '酒店感觉比较松散，缺乏管理.感觉随便什么人都能进入，安全性没有保障.下次不敢住了.', '短评打分': 5}
{'短评内容': '房间卫生做得很好.干净整洁，而且还为客人准备了些零食之类的，挺贴心的.比较人性化.', '短评打分': 5}
{'短评内容': '酒店客房条件还算不错，主要是服务人员特别热情.很贴心，整体条件不错的酒店.', '短评打分': 5}
{'短评内容': '酒店给我的印象不是很好，客房卫生做得平平，而且也没有特别之处，住着感觉不太干净.', '短评打分': 3}
{'短评内容': '客房隔音不是很好，走廊声音在房间有时都能听得到，隔音方面还是需要再提高一些.', '短评打分': 5}
{'短评内容': '客房的隔音不是很好，走廊的声音房间有时都能听得到，感觉很不放心也不踏实休息，其它各方面都还可以.', '短评打分': 3}
