{'短评内容': '酒店比价安静，适合休闲度假，到景区3公里，还是比较近', '短评打分': 5}
{'短评内容': '很好好的很好好的很好好的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '代人预定，还不错。', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 1}
{'短评内容': '人生第一次差评送给你了，每年都出来玩好几次，从来没住过这么差劲的酒店，前台的服务员说话就像吃了枪药，火气不要太大，没有电梯，热水不热，最夸张的是没有牙具，停电。早餐，拿着自己的早餐券才给你发一个鸡蛋，然后馒头，榨菜，没有更差，只有最差，住过就只有后悔', '短评打分': 2}
{'短评内容': '虽然离沟口远一点需要打车，不过酒店安静对面就是山，早上起来风景不错，心情好', '短评打分': 5}
{'短评内容': '早饭不好吃……还都是凉的。设施挺好的，性价比高。', '短评打分': 5}
{'短评内容': '对九寨沟的印象比第一次好多了，第一次自己在网上订酒店，感觉物超所值，值得推荐', '短评打分': 5}
{'短评内容': '设施很新，服务也好，早餐有待改善', '短评打分': 5}
{'短评内容': '舒适，离沟口稍远了点', '短评打分': 5}
{'短评内容': '环境清幽，服务还行', '短评打分': 5}
{'短评内容': '酒店不错，房间很新，很舒适', '短评打分': 5}
