{'短评内容': '涵江区唯一一个快捷酒店，唉&hellip;&hellip;', '短评打分': 3}
{'短评内容': '各方面都不错', '短评打分': 5}
{'短评内容': '各方面都不错', '短评打分': 5}
{'短评内容': '房间卫生很差，空调n年没清洗过', '短评打分': 2}
{'短评内容': '房间设施齐全，附近交通便利。', '短评打分': 4}
{'短评内容': '房间有点集，设备差了一些。', '短评打分': 4}
{'短评内容': '莆田涵江唯一连锁快捷酒店，服务中规中矩。', '短评打分': 4}
{'短评内容': '舒适，干净，方便。不错的一次订单。', '短评打分': 5}
{'短评内容': '环境卫生都非常好', '短评打分': 5}
{'短评内容': '很好比较干净。', '短评打分': 5}
{'短评内容': '干净，卫生，很舒适。', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '还行吧 在那里也没发现什么好酒店', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '房间窗户对着马路，有点吵，布草旧了点，还有先前的客人把饮用水消费了，后面说我们消费的，赖我们头上，自己退房不清点清楚。', '短评打分': 3}
{'短评内容': '不错，价格合理，第二次入住了！', '短评打分': 4}
{'短评内容': '挺好的、               下次还会考虑', '短评打分': 4}
{'短评内容': '干净，整洁。服务良好，推荐来涵江区办事的可以来此店住宿，离市中心距离较远。', '短评打分': 5}
{'短评内容': '整体不错~~~~好评·~,价格实惠，停车方便，房间的卫生也好，服务热情', '短评打分': 5}
{'短评内容': '住在靠马路的房间有点吵，总体不错！！值得推荐', '短评打分': 5}
{'短评内容': '超值', '短评打分': 3}
{'短评内容': '干净', '短评打分': 3}
{'短评内容': '酒店新开的，感觉还是不错的，就是有点小贵，呵呵', '短评打分': 5}
