{'短评内容': '服务好  早餐好 很赞', '短评打分': 5}
{'短评内容': '房间还可以吧', '短评打分': 5}
{'短评内容': '房间还可以吧', '短评打分': 5}
{'短评内容': '酒店环境很好，很安静，客服非常热情，提前一天打电话指导我们预定通往鼓浪屿的游轮票。房间是个上下层，楼上是卧室，楼下是沙发洗手间等，孩子非常喜欢，房间里也很干净。总之，很愉快的住宿。下次来鼓浪屿还来这家。', '短评打分': 5}
{'短评内容': '挺好 安静的', '短评打分': 5}
{'短评内容': '蛮舒服的', '短评打分': 5}
{'短评内容': '蛮好，就是价格稍贵，不过在鼓浪屿住价格都普遍贵。民宿都差不多，不要抱有太大的期望。不过服务态度超级好。', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '帮朋友订的。朋友很喜欢', '短评打分': 4}
{'短评内容': '个人非常喜欢鼓浪屿，整体感觉都比厦门要好很多。再来说说花庭吧，房间装修风格也是我喜欢的，各种细节都可以看出酒店的用心经营，还有免费矿泉水饮用。一进门也被床上的布置温馨到了。晚上洗澡水也够热。电视夜景屏幕，天猫盒子！反正就是各种喜欢，唯一不足就是床有点小了！假钱在那放着了，如果下次来还会订这一家的。真的是喜欢的不要不要的。对了前台美女还给我讲了哪里好玩好吃，给了两份地图。来鼓浪屿的朋友放心订这里吧。', '短评打分': 5}
{'短评内容': '酒店很漂亮的一小栋洋楼，装修也是我的菜，暖暖的田园风。所以一看见图片就决定要住这里。想定的房间没有了，店家打电话来让换了温馨大床房。但是！非常后悔！房间很小很小，几乎无法转身的程度！一楼的房间就在路边上，每个人走过都能听到声音，脚步声，小孩哭声，一清二楚！除了十一点到凌晨六点，其他时间连我睡眠这么好的人都无法入睡。对了，房号是102，这样路边转角的位置根本就不应该硬装一个房间出来。', '短评打分': 4}
{'短评内容': '全五分好评。但是并不代表没有问题，最大的问题就是隔音效果太差，或许是老房子的缘故吧。其他都挺好的。旅馆环境很符合鼓浪屿的气质。', '短评打分': 5}
{'短评内容': '安静', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '说实话真心不便宜啊，十一去的，提前一个月定，500左右的几乎没有了，住在一楼，位置还不错，离哪都不远。就是房间有点小', '短评打分': 5}
{'短评内容': '地利外没有什么优势，下次会在廈门住，只到鼓浪屿玩，但不会住岛上。', '短评打分': 4}
{'短评内容': '布置很漂亮,很文艺的感觉,还有一个小院子,我们请了一个跟拍,在小院子里就能取景拍照.  前台MM很甜美,服务态度也很好,还有一个前台帅哥,服务相当热情.  总体性价比不错,毕竟鼓浪屿寸土寸金.  位置不错,到了厦门二中走下去就到了.  理小吃街龙头路很近,吃饭什么的超级方便.', '短评打分': 5}
{'短评内容': '很不错的酒店，房间虽小，可还是很小清新的，枕边的绣花都凸显着每个小细节的用心！', '短评打分': 5}
{'短评内容': '很不错，前台人员也很热情…下次去还会选择', '短评打分': 5}
{'短评内容': '房间挺干净，适合住宿', '短评打分': 3}
{'短评内容': '住的地方挺不错的....就是手机信号有点差，不知道是啥原因....还有住过的人没必要这么黑这家旅馆吧，岛上这样价位的房间很不错了，有钱你可以去住别墅么，那环境更好。\nPS：旅馆养的大金毛太有爱了，很乖很乖~~~', '短评打分': 5}
{'短评内容': '酒店不太好找', '短评打分': 3}
{'短评内容': '感觉不错~院子很有feel~我们5个人住的是大话西游和蜡笔小新~大话西游有点小~喜欢蜡笔小新~因为外面有个阳台~但阳台的门坏了~但还是很喜欢~', '短评打分': 5}
{'短评内容': '好小好小的房间，1.2的床，也很矮，也许岛上所谓特色民宿都这样吧。不投诉，但也不建议。酒店服务还不错；酒店位置得费点心找。', '短评打分': 1}
{'短评内容': '一楼的房间不推荐', '短评打分': 3}
{'短评内容': '还不错。 住的复式小楼 。只是浴缸有点小', '短评打分': 5}
{'短评内容': '领地感觉很好阿！后悔只住1晚拉～我们住的是蜡笔小新～还有阳台～地理位置又好！呵呵～唯一缺点就是厕所是玻璃～没门咯', '短评打分': 3}
{'短评内容': '地理位置有点偏僻，没有床垫床不好睡，不过布置不错', '短评打分': 3}
{'短评内容': '鼓浪屿上的房间好抢手啊，还好最后找到了房间和价格都合适的领地旅馆的卧虎藏龙房。就是前台态度冷冷的。一楼房间真心暗啊，信号好差啊，漏掉了重要电话了都', '短评打分': 1}
{'短评内容': '离中心是挺近的，不过觉得前台和网吧位置的人好嘈，而且楼上的一直搬东西的声音，嘈死了，叫人去说一下还是没有改变。房间还算一般，', '短评打分': 1}
{'短评内容': '领地很漂亮。喜欢……哈哈……有机会再来想住西西公主。', '短评打分': 3}
{'短评内容': '还不错，住的是花样年华', '短评打分': 3}
{'短评内容': '挺有味道的酒店，就是地脚有点偏，不是很好找。还有，朋友入住之后，第二天早上8点前都找不到人，想办理退房手续都没人办，电话直接拔掉线，前台喊人喊不到。后来押金100是导游在10点多的时候帮我们给推掉的，希望店家以后这方面注意一下，总体不错。', '短评打分': 5}
{'短评内容': '坑爹啊！！！！！！！！！！！！！！！！！！！！400多的房间什么都没有啊！！！！！！！！！！！！又脏又乱又臭！！！！！！！！！！！！前台像个大爷一样的坐着什么也不干啊！！！！！！！！11点回去就关门了啊！！！！！！！！！！不打扫房间！不更新洗漱用具！！！！！！！！！还有那个坑爹的星空天窗，就是他妈的一个小玻璃窗户，什么都没有！！！！！！！！！！隔音效果差的那个厉害啊！！！！！！晚上全是隔壁的叫啊叫', '短评打分': 1}
{'短评内容': '还可以，房间是复式的，离码头不算太远，去哪都很方便，就是屋里灯光有点暗。', '短评打分': 5}
{'短评内容': '地理位置距离龙头路不算远，酒店的复式房比较有特色。楼下的小庭院 ，可以在逛累的时候坐坐，拍拍照~', '短评打分': 5}
{'短评内容': '4月8-11日，给爸爸妈妈预定了3个晚上的蜡笔小新房，结果他们回来以后非常不满意。没人搞卫生，没人整理房间，没人倒垃圾。而且，不给开发票。说是章在税务局年审。到今天了依然没有开发票给我。', '短评打分': 1}
{'短评内容': '喜欢二楼的房间，二楼的通道，上楼的楼梯~~~~哇哈哈~~~就是喜欢二楼比较多', '短评打分': 5}
{'短评内容': '服务员的脸上再加多点笑笑就更好啦！感觉不错~', '短评打分': 5}
{'短评内容': '缺点：前台服务不好，冷淡。房间太小了，虽然住在2楼虽然空气好点。淋浴和马桶就在一起的，洗手台也没有镜子，不太方便小姑娘涂涂抹抹。洗完澡床边地板都是湿的。。床很硬，以硬件来看，不咋地。\n优点：从轮渡到领地10来分钟，离龙头路很近，但又比较安静，电视里的IPTV满给力的，房价比其他要便宜点。\n以后再来厦门的话，会选贵一点的。。。', '短评打分': 1}
{'短评内容': '地理位置倒是很好，楼下就是小吃一条街，但房间的窗户很小，空气不流通，住着很闷，第二天起来，跟朋友两个人不约而同的觉得身上痒，还起了大包。', '短评打分': 1}
{'短评内容': '房间不怎么样，比较小，与图片不相符，服务还可以。', '短评打分': 1}
{'短评内容': '周围的环境还可以，就是厕所小了点，不方便', '短评打分': 5}
{'短评内容': '真实环境与图片有点出入，不过大床房还可以。', '短评打分': 5}
{'短评内容': '甜蜜蜜房间很棒哦，房间蛮有赶脚的，房间很宽敞。不错的选择哦', '短评打分': 3}
{'短评内容': '【英雄本色】房间，真是很小。卫生间更是狭小。如果洗澡，站都站不舒服。\n服务倒还不错。前台小伙子挺热情，屋子里冷，向他借被子，一下给我们抱来两床。', '短评打分': 1}
{'短评内容': '在安海路上，环境比较清幽，表示路痴很难找到，不过不错~', '短评打分': 5}
