{'短评内容': '连续住了好几天，服务太多好，环境卫生。', '短评打分': 5}
{'短评内容': '没发现服务。。。', '短评打分': 4}
{'短评内容': '就那样吧，最贵的商务双人房只有一个可怜的小内窗。', '短评打分': 4}
{'短评内容': '周边配套比较齐全，距离地铁站也非常近！', '短评打分': 5}
{'短评内容': '位置地点都还不错，没早餐，停车场方便', '短评打分': 5}
{'短评内容': '还可以吧，周围交通便利，购物方便', '短评打分': 4}
{'短评内容': '我真是没话说，酒店你们定位离那么远，我说取消，还不给我取消，北京又冷，一个出租还黑我钱，说了今天住不了，改明天，他还不给我改，草，垃圾网站', '短评打分': 1}
{'短评内容': '666666666666', '短评打分': 5}
{'短评内容': '好可以', '短评打分': 5}
{'短评内容': '好可以', '短评打分': 5}
{'短评内容': '期待下次', '短评打分': 5}
{'短评内容': '额', '短评打分': 5}
{'短评内容': '6', '短评打分': 5}
{'短评内容': '门外各种小饭店，臭烘烘的，房间也挺一般的。不如在二环住的百时快捷。', '短评打分': 5}
{'短评内容': '还不错，经济型酒店中规中矩吧', '短评打分': 5}
{'短评内容': '干净整洁，位置好', '短评打分': 5}
{'短评内容': '环境挺好的，服务也不错。', '短评打分': 5}
{'短评内容': '环境不错啊，价格也很实惠。', '短评打分': 5}
{'短评内容': '不错干净舒适，服务也很好', '短评打分': 5}
{'短评内容': '。。。。。。。。', '短评打分': 5}
{'短评内容': '还不睡觉', '短评打分': 5}
{'短评内容': '还不睡觉', '短评打分': 5}
{'短评内容': '很不错哦', '短评打分': 5}
{'短评内容': '很不错！', '短评打分': 5}
{'短评内容': '堪称完美！', '短评打分': 5}
{'短评内容': '还不错吧', '短评打分': 5}
{'短评内容': '交通便利，房间设施挺新的，服务有待提高。', '短评打分': 4}
{'短评内容': '不好', '短评打分': 3}
{'短评内容': '窗户真大！', '短评打分': 4}
{'短评内容': '卡坏的，每次要保安开门。十二点后有温水，没热水.经济房型牙刷也不提供。没暖气。奇差无比。', '短评打分': 3}
{'短评内容': '网上预定的，前台美女给我房卡结果上去屋里竟然有人，大半夜的不止吓我一跳估计屋里客人也给吓着了；前台又给调了一间，进去环境特差，热水也慢，最主要是窗外是一大的垃圾通道，网订最失败的一次……', '短评打分': 3}
{'短评内容': '很快捷，很方便！推荐入住', '短评打分': 3}
