{'短评内容': '总体评价良好，服务及卫生比较满意！', '短评打分': 5}
{'短评内容': '房间挺好，实惠', '短评打分': 5}
{'短评内容': '酒店位置很好，对面是教堂，坐车两站地是“大昭寺，小昭寺”，民族风情街吃饭很方便', '短评打分': 5}
{'短评内容': '很好，很满意，送的京豆也很及时，非常棒', '短评打分': 5}
{'短评内容': '停车很方便', '短评打分': 5}
{'短评内容': '酒店在伊斯兰风情街上，透过房间的窗子可以看到对面清真大寺的全貌，楼下是德克士，过十字路口有一家快餐，周边繁华，购物方便，走路到大召无量寺大约20分钟，也可以公交车2站地。酒店房间很小，卫生间超小，网络不错，国庆节期间126元的价格很便宜啦！', '短评打分': 4}
{'短评内容': '挺好的，，，。', '短评打分': 5}
{'短评内容': '位置不错，挺好', '短评打分': 5}
{'短评内容': '住过一次，不想住第二次', '短评打分': 1}
{'短评内容': '位置优越，地处商业中心', '短评打分': 5}
{'短评内容': '交通方便，卫生好', '短评打分': 5}
{'短评内容': '给的房间太小', '短评打分': 3}
{'短评内容': '位置不错是在回民区买东西很方便，离大召也不远', '短评打分': 4}
{'短评内容': '郁闷，飞机11点到，明明给的是高级大床房，最后说没房给了个没床的标间，我也是醉了，就冲着窗外的景色来的，结果太让人失望，重点是服务员给错房号导致刷卡进入别人的房子，隔音差', '短评打分': 3}
{'短评内容': '每次来呼市我都住九鹏宾馆，比较干净整齐，服务也好，我会一直一下去。', '短评打分': 3}
{'短评内容': '酒店地理位置好，出行很方便，方间设施也不错！', '短评打分': 3}
{'短评内容': '不错，性价比较高', '短评打分': 3}
{'短评内容': '房间卫生较差，刚进去有明显得烟味，很难闻，只有位置比较好交通方便', '短评打分': 1}
{'短评内容': '卫生间异味很重，地滑洗澡很容易摔倒。空调不安定因素。', '短评打分': 1}
{'短评内容': '三人间', '短评打分': 3}
{'短评内容': '酒店设施太陈旧了，卫生间实在是看不下去啊。', '短评打分': 1}
{'短评内容': '洗澡水不热，卫生间不干净，房间太破，太小。', '短评打分': 1}
{'短评内容': '九鹏宾馆地理位置较好，但设施条件很差，热水不热，没有宽带上网，服务态度一般', '短评打分': 3}
{'短评内容': '硬件服务设施和这个价格可称物美价廉，服务态度有待加强！', '短评打分': 5}
{'短评内容': '网络实在是个问题。昨天上午刚住下时，能上线。下午再开机，无论如何上不了了，酒店网管来搞也没办法，就是上不了。今天早上再试着上线，这不，现在又能上线了。这对于商务出差的人员，实在不是好印象。\n价格还算一般，房型很小。', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 3}
{'短评内容': '酒店挺干净也很安静。', '短评打分': 3}
{'短评内容': '不错~~~性价比还是比较高的！地理位置不错~~就是稍微旧了点，不过价格在那摆着呢！', '短评打分': 5}
{'短评内容': '九鹏宾馆的空调声音太大了。而且房间有点冷', '短评打分': 1}
{'短评内容': '服务态度不错，酒店环境可以，隔音一般，大概也是分房间等级吧', '短评打分': 5}
{'短评内容': '很一般，特别是早餐，太简单，服务也不怎么样', '短评打分': 1}
{'短评内容': '酒店位置不错,离大昭寺很近。酒店卫生也不错，也挺干净的。', '短评打分': 5}
{'短评内容': '地理位置比较方便 餐饮娱乐比较便利 卫生条件好 也比较安静 性价比不错 值得入住', '短评打分': 5}
{'短评内容': '房间的条件实在有点差 ,没办法又加了点钱后调了个条件好些的 ', '短评打分': 3}
{'短评内容': '因为是特价房，就住一晚，还可以吧，房间设施比较旧，卫生间味大，空调性能不错。', '短评打分': 3}
{'短评内容': '酒店设备相当陈旧，房间内异味非常难闻，总体来说，性价比一般', '短评打分': 1}
{'短评内容': '服务员的态度 不好、 住的话、 五层以上条件就很不好了、 ', '短评打分': 1}
{'短评内容': '我们住的是特价房、  还可以 只能说可以 淋浴器里的不是热水', '短评打分': 1}
{'短评内容': '宾馆比较干净就是家具有些陈旧，因为我们是三个人需要三人间所以觉得还能接受。', '短评打分': 5}
{'短评内容': '酒店处于回民区，很有民族特色，想光临西部异域风情住在这里很不错，就是酒店装修有点老，显得旧！', '短评打分': 5}
{'短评内容': '因为住的的特价房，所以说总体感觉一般，性价比还是很高的', '短评打分': 5}
{'短评内容': '+比较简陋，卫生一般。', '短评打分': 5}
{'短评内容': '标准间的房间新装修了，比以前干净多了。性价比高', '短评打分': 3}
{'短评内容': '新装修的房间还可以，比较干净。因为是旅游季节，团比较多', '短评打分': 5}
{'短评内容': '还是很不错的，我上次去的时候是晚上12点到的，也没有仔细看，倒下就睡觉了，还是很不错。', '短评打分': 5}
{'短评内容': '酒店位置很好，但是管理极差，我们预订的房间，8月7日按时到店后，发现服务员在房间洗澡，房间里一片狼藉，据说是工作人员在这里打麻将。我们要求尽快更换床上用品后，很长时间没有反应，还对我们提出的要求表示不理解。在此情况下，我们换了一家酒店入住。', '短评打分': 1}
{'短评内容': '我喜欢，我下次还会去的。', '短评打分': 5}
{'短评内容': '酒店还行吧，位置相当不错，但是其他的不怎么样了，对的起这个价格了', '短评打分': 5}
{'短评内容': '还可以，就是这个特价房没有网线，比较郁闷', '短评打分': 5}
{'短评内容': '这次住了个景观房，很好。', '短评打分': 5}
{'短评内容': '卫生差，床单、被子不干净，地面脏。网络很慢，电视有时候没台，这样的酒店，最多80块', '短评打分': 1}
{'短评内容': '还有，忘记说了，就是浴巾和毛巾都是湿的，还有很浓的药水味道，让人不敢用。', '短评打分': 3}
{'短评内容': '先说优点吧，位置很好，距离主要商业街区比较近，周边环境还不错。缺点就比较多了，比如，门的问题，隔音的问题，设施的问题，隔音很差，基本上吵得人睡不着；设施很差，卫生间的墙上的插座都脱落了，让人感觉很不安全；门也一样，风一吹就晃悠，很担心会突然打开。', '短评打分': 5}
{'短评内容': '酒店位置不错，快捷酒店来说，含有早餐，下次出差还住，挺好的。', '短评打分': 5}
{'短评内容': '总体性价还可以，只是面巾洗得不够干净。', '短评打分': 3}
{'短评内容': '还可以了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店的味道很多，大厅有味道，楼道有味道，房间也有味道，而且设施很旧，地毯比较脏。以后不会再考虑', '短评打分': 1}
{'短评内容': '由于是老酒店，房间卫生情况不错，但是地毯由于长时间没有更换，颜色有点脏，必须穿鞋才踏实。前台服务非常好，服务员也很敬业。房间内设施由于是老酒店，比较陈旧，但是，功能性都很好，热水随时都有。电视也很清楚。地理位置非常的好，距离清真大寺一分钟，距离大昭寺和席力图召走路15分钟，属于城市中心繁华地带。床很舒服，比较硬，长时间劳顿后睡稍微硬一点的床对腰好。早餐差点，但是就这价钱，没有早餐都正常。停车有专门', '短评打分': 5}
{'短评内容': '总体性价较高，服务、卫生、设施、舒适度较好，但入住期间刚好是酒店装修，所以噪音较大，还有是面巾洗得不够干净。', '短评打分': 5}
{'短评内容': '还可以！推荐入住！', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '离我办事的地方都不远，还有车票代售点。\r\n住的还可以，就是弄了个照不到阳光的房间。', '短评打分': 5}
{'短评内容': '性价比较高，还回去', '短评打分': 5}
{'短评内容': '房间很小，退房后重新找了一家酒店，差不多设施价格是80元', '短评打分': 1}
{'短评内容': '性价比可以', '短评打分': 3}
{'短评内容': '对于呼市 这个价位 已经很不错了', '短评打分': 5}
{'短评内容': '位置尚可，其他一般', '短评打分': 5}
{'短评内容': '价格适中，地理位置不错，适合1-2天短住。', '短评打分': 5}
{'短评内容': '酒店周边环境还可以, 比较安静,房间空间也蛮大的,感觉比较舒适,性价比还不错.', '短评打分': 3}
{'短评内容': '位置挺方便的，出行还可以，房间的卫生还行，设施一般，服务还可以，整体感觉这家酒店的性价比还是比较高的', '短评打分': 3}
{'短评内容': '当时订的时候是含双早的,但是前台人员说餐厅承包给别人了,所以不送早餐了,感觉信誉度不是很高,不过酒店的住宿条件还是比较理想的,安全性也蛮高的.', '短评打分': 3}
{'短评内容': '前台服务很不行，简直就是差。还有那个噪音，疯了。24小时流水声。', '短评打分': 1}
{'短评内容': '除位置位于呼几个旅游景点距离最近外，其余均不可取，设施差，早餐差，价格偏高。', '短评打分': 1}
{'短评内容': '酒店建筑具有浓郁的民族风情，地理位置较好。设施较为陈旧，停车场太小。总体来说还可以。', '短评打分': 5}
{'短评内容': '酒店设施比较陈旧比较老,卫生和服务都还可以,在呼市来说算是不错的了,性价比比较好.位置很好.', '短评打分': 5}
